Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_left_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_spotup_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,10,3,1,33.3333,6,3,50.0,2,0,0.0,50.0,1.0,0.0,playerefficiency.csv,,
Jordan Haggard,Nazareth College Golden Flyers,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,playerefficiencyleft.csv,,
Jordan Haggard,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,playerefficiencyright.csv,,
,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_efficiency.csv,Jordan Haggard,Logan Blankenberg
,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_pop_efficiency.csv,Jordan Haggard,Logan Blankenberg
,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Jordan Haggard,Logan Blankenberg
,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_post_cut_efficiency.csv,Jordan Haggard,Logan Blankenberg
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_rollman_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_rollman_pop_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_rollman_rightdrive_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_rollman_rightdrive_pop_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,twoplayer_pnrbhright_rollman_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanpops_efficiency.csv,Jordan Haggard,Logan Blankenberg
,Nazareth College Golden Flyers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_iso_cut_efficiency.csv,Solomon Mcfarlane,Jordan Haggard
,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Luke Insley,Jordan Haggard
,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,twoplayer_pnrbhright_rollmanpops_efficiency.csv,Luke Insley,Jordan Haggard
