Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_rejectpick_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_bhleft_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_bhleft_rejectpick_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,4,1,0,0.0,2,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,3,0,0,,2,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,0,0,,0,0,,0,0,,,1.0,1.0,player_post_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_rightshoulder_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_post_middle_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_rightshoulder_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,4,1,0,0.0,3,1,33.3333,0,0,,25.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,16,13,5,38.4615,3,1,33.3333,0,0,,53.125,0.0,0.0,player_spotup_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,12,12,5,41.6667,0,0,,0,0,,62.5,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,3,1,1,100.0,2,1,50.0,0,0,,83.33333,0.0,0.0,player_transition_bh_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_transition_leftwing_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,30,18,7,38.8889,8,3,37.5,0,0,,51.92308,2.0,2.0,playerefficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,3,0,0,,2,1,50.0,0,0,,50.0,1.0,0.0,playerefficiencyleft.csv,,
Avery Eugster,Rensselaer Polytechnic,4,2,1,50.0,1,0,0.0,0,0,,50.0,0.0,1.0,playerefficiencyright.csv,,
,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Avery Eugster,Dyland Matchett
