Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_basket_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_post_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_faceup_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_faceup_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightblock_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightblock_rightshoulder_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightshoulder_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,4,0,0,,2,1,50.0,0,0,,50.0,1.0,1.0,playerefficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyright.csv,,
,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Nate Tawiah-Boateng,Yechiel Stewart
