Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Jackson Otis,Rochester Institute of Technology Tigers,14,0,0,,10,7,70.0,0,0,,70.0,3.0,1.0,player_cut_basket_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,28,0,0,,21,14,66.6667,0,0,,66.66667,3.0,4.0,player_cut_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,3,0,0,,1,1,100.0,0,0,,100.0,0.0,2.0,player_cut_flash_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,11,0,0,,10,6,60.0,0,0,,60.0,0.0,1.0,player_cut_screen_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhright_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,5,1,0,0.0,0,0,,0,0,,0.0,4.0,0.0,player_misc_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_post_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_post_leftblock_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_post_leftshoulder_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,7,1,0,0.0,5,2,40.0,1,0,0.0,33.33333,1.0,0.0,player_spotup_drive_efficiency.csv,,
Jackson Otis,Rochester Institute of Technology Tigers,41,31,11,35.4839,9,4,44.4444,5,2,40.0,51.25,1.0,0.0,player_spotup_efficiency.csv,,
