Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_bhright_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_bhright_rejectpick_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,3,0,0,,2,0,0.0,2,0,0.0,0.0,1.0,0.0,player_pnr_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,7,0,0,,6,2,33.3333,2,0,0.0,33.33333,1.0,0.0,playerefficiency.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyleft.csv,,
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1.0,0.0,playerefficiencyright.csv,,
