Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Jack Plesser,Union (NY) Dutchmen,5,0,0,,3,2,66.6667,0,0,,66.66667,0.0,2.0,player_cut_basket_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,7,0,0,,5,2,40.0,0,0,,40.0,0.0,2.0,player_cut_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_misc_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,5,0,0,,4,2,50.0,0,0,,50.0,0.0,1.0,player_post_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,4,0,0,,3,1,33.3333,0,0,,33.33333,0.0,1.0,player_post_leftblock_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,4,0,0,,3,1,33.3333,0,0,,33.33333,0.0,1.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,5,0,0,,4,2,50.0,0,0,,50.0,0.0,1.0,player_post_leftshoulder_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_rightblock_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_rightblock_leftshoulder_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,3,0,0,,3,2,66.6667,1,1,100.0,66.66667,0.0,0.0,player_spotup_drive_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,4,0,0,,4,2,50.0,2,1,50.0,50.0,0.0,0.0,player_spotup_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_transition_trailer_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,24,0,0,,18,10,55.5556,3,2,66.6667,55.55556,2.0,4.0,playerefficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,8,0,0,,6,4,66.6667,1,1,100.0,66.66667,1.0,1.0,playerefficiencyleft.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyright.csv,,
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Jack Plesser,Connor Cepiel
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Jack Plesser,Connor Cepiel
,Union (NY) Dutchmen,4,0,0,,2,2,100.0,0,0,,100.0,1.0,1.0,player_rollman_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_efficiency.csv,Connor Cepiel,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_leftdrive_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_leftdrive_pop_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_pop_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_rollman_roll_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_roll_efficiency.csv,Connor Cepiel,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,player_rollman_slip_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_cuts_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,3,0,0,,2,2,100.0,0,0,,100.0,1.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Connor Cepiel,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhleft_rollman_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnrbhleft_spotupjumper_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhhigh_rollmanpops_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanrolls_efficiency.csv,Tanner Tedesco,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhhigh_rollmanrolls_efficiency.csv,Connor Cepiel,Jack Plesser
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhleft_rollmanslips_efficiency.csv,Tanner Tedesco,Jack Plesser
