Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_basket_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,1,0,0.0,1,1,100.0,0,0,,50.0,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,4,2,0,0.0,0,0,,0,0,,0.0,2.0,0.0,player_handoffs_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,5,2,0,0.0,1,1,100.0,0,0,,33.33333,2.0,0.0,player_handoffs_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_stationary_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_straight_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,6,0,0,,5,3,60.0,2,2,100.0,60.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,17,11,5,45.4545,5,3,60.0,2,2,100.0,65.625,1.0,0.0,player_spotup_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,11,11,5,45.4545,0,0,,0,0,,68.18182,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,4,0,0,,3,2,66.6667,1,1,100.0,66.66667,1.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,2,1,50.0,1,1,100.0,50.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,2,2,100.0,0,0,,0,0,,150.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,1,1,100.0,0,0,,50.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,32,18,8,44.4444,9,7,77.7778,2,2,100.0,70.37037,5.0,0.0,playerefficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,8,2,0,0.0,4,3,75.0,1,1,100.0,50.0,2.0,0.0,playerefficiencyleft.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,4,1,1,100.0,2,1,50.0,1,1,100.0,83.33333,1.0,0.0,playerefficiencyright.csv,,
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Luke Mcgarrity,Connor Cepiel
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Luke Mcgarrity,Brendan Reid
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Luke Mcgarrity,Connor Cepiel
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Luke Mcgarrity,Brendan Reid
,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Lemar Fulmore Jr,Luke Mcgarrity
,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Connor Cepiel,Luke Mcgarrity
,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Tanner Tedesco,Luke Mcgarrity
,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Matthew Garside,Luke Mcgarrity
,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Tanner Tedesco,Luke Mcgarrity
,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Lemar Fulmore Jr,Luke Mcgarrity
