Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Logan Dunbar,Alfred State Pioneers,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Dylan Perry,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Paris Jamison,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Cody Schneider,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,0.0,1.0,player_cut_efficiency.csv,,
Logan Dunbar,Alfred State Pioneers,3,0,0,,1,0,0.0,0,0,,0.0,1.0,1.0,player_cut_efficiency.csv,,
Dylan Perry,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Paris Jamison,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Cody Schneider,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Logan Dunbar,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_screen_efficiency.csv,,
Dylan Perry,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Paris Jamison,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
