Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Andrew Deppe,Rensselaer Polytechnic,2,0,0,,0,0,,0,0,,,1.0,1.0,player_cut_basket_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_basket_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_cut_efficiency.csv,,
Andrew Deppe,Rensselaer Polytechnic,2,0,0,,0,0,,0,0,,,1.0,1.0,player_cut_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_efficiency.csv,,
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_efficiency.csv,,
Pat White,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Pat White,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_flash_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_flash_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_screen_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,3,1,1,100.0,2,0,0.0,2,0,0.0,50.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,3,1,1,100.0,2,0,0.0,2,0,0.0,50.0,0.0,0.0,player_handoffs_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_stationary_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,,2,0,0.0,0,0,,0.0,1.0,0.0,player_iso_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_right_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_iso_top_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_top_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,,0,0,,0,0,,,3.0,0.0,player_misc_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Ben Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,0.0,1.0,player_misc_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_flare_efficiency.csv,,
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_flare_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_pnr_bhhigh_efficiency.csv,,
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Ben Eugster,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
