Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Aren Cummings,Union (NY) Dutchmen,5,0,0,,4,3,75.0,0,0,,75.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,5,0,0,,3,2,66.6667,0,0,,66.66667,0.0,2.0,player_cut_basket_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_cut_basket_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_basket_efficiency.csv,,
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_basket_efficiency.csv,,
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,7,0,0,,5,3,60.0,0,0,,60.0,1.0,1.0,player_cut_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,7,0,0,,5,2,40.0,0,0,,40.0,0.0,2.0,player_cut_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,player_cut_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,player_cut_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_efficiency.csv,,
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_efficiency.csv,,
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_flash_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,3,0,0,,3,1,33.3333,0,0,,33.33333,0.0,0.0,player_cut_screen_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,1,0,0.0,1,1,100.0,0,0,,50.0,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,4,2,0,0.0,0,0,,0,0,,0.0,2.0,0.0,player_handoffs_dribble_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,2,0,0,,0,0,,0,0,,,2.0,0.0,player_handoffs_dribble_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,0.0,1.0,player_handoffs_dribble_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,5,2,0,0.0,1,1,100.0,0,0,,33.33333,2.0,0.0,player_handoffs_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,2,0,0,,0,0,,0,0,,,2.0,0.0,player_handoffs_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,0.0,1.0,player_handoffs_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_stationary_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_stationary_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,player_handoffs_top_dribble_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_top_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0.0,1.0,player_handoffs_top_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_top_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_top_stationary_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,3,1,0,0.0,2,1,50.0,0,0,,33.33333,0.0,0.0,player_iso_efficiency.csv,,
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_iso_efficiency.csv,,
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_left_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_iso_right_efficiency.csv,,
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_top_efficiency.csv,,
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_iso_top_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_iso_top_efficiency.csv,,
Christian Dufort,Union (NY) Dutchmen,3,0,0,,0,0,,0,0,,,3.0,0.0,player_misc_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,2,0,0,,0,0,,0,0,,,1.0,1.0,player_misc_efficiency.csv,,
Lemar Fulmore Jr,Union (NY) Dutchmen,2,0,0,,1,1,100.0,1,1,100.0,100.0,1.0,0.0,player_misc_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Jack Plesser,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_misc_efficiency.csv,,
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Connor Cepiel,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_straight_efficiency.csv,,
Luke Mcgarrity,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_offscreens_straight_efficiency.csv,,
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Matthew Garside,Union (NY) Dutchmen,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Tanner Tedesco,Union (NY) Dutchmen,7,0,0,,4,3,75.0,2,1,50.0,75.0,1.0,2.0,player_pnr_bhhigh_efficiency.csv,,
