Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
John Bangel,Wells,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Ivan OduroDompreh,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Terrance Clayton-Murphy,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Billy Mccrae,Wells,6,0,0,,5,2,40.0,0,0,,40.0,0.0,1.0,player_cut_efficiency.csv,,
John Bangel,Wells,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_cut_efficiency.csv,,
Joe Bangel,Wells,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Terrance Clayton-Murphy,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Ivan OduroDompreh,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Chase Welch,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Billy Mccrae,Wells,5,0,0,,4,1,25.0,0,0,,25.0,0.0,1.0,player_cut_screen_efficiency.csv,,
Joe Bangel,Wells,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_screen_efficiency.csv,,
Chase Welch,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
John Bangel,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Chase Welch,Wells,2,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_iso_efficiency.csv,,
Ivan OduroDompreh,Wells,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_efficiency.csv,,
Terrance Clayton-Murphy,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_right_efficiency.csv,,
Terrance Clayton-Murphy,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Chase Welch,Wells,2,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_iso_top_efficiency.csv,,
Ivan OduroDompreh,Wells,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_top_efficiency.csv,,
Chase Welch,Wells,2,0,0,,0,0,,0,0,,,2.0,0.0,player_misc_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_misc_efficiency.csv,,
Terrance Clayton-Murphy,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_misc_efficiency.csv,,
James Lucey,Wells,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Donye Johnson,Wells,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Terrance Clayton-Murphy,Wells,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Terrance Clayton-Murphy,Wells,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhright_rejectpick_efficiency.csv,,
Terrance Clayton-Murphy,Wells,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_pnr_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_efficiency.csv,,
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_efficiency.csv,,
Terrance Clayton-Murphy,Wells,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Evan Hauser,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Billy Mccrae,Wells,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_post_efficiency.csv,,
John Bangel,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_faceup_efficiency.csv,,
Billy Mccrae,Wells,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_efficiency.csv,,
John Bangel,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_leftblock_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_faceup_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_leftshoulder_efficiency.csv,,
John Bangel,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_post_leftshoulder_efficiency.csv,,
