Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
IC,RIT,Ithaca College,2pMa,To Basket,Evan Cabral,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2024
IC,RIT,Rochester Institute of Technology Tigers,2pMa,N/A,Josiah Turner,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2024
IC,RIT,Ithaca College,3pMa,Dribble Jumper,Triston Wennersten,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2024
IC,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,3.0,2024
IC,RIT,Ithaca College,2pmi,To Basket,Evan Cabral,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2024
IC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2024
IC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024
IC,RIT,Ithaca College,2pmi,Dribble Jumper,Evan Cabral,PNR,High,Off,Cole Wissink,Spot Ups,Right,Drive,Liberty League,Liberty League,10,3.0,2024
IC,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Josiah Turner,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2024
IC,RIT,Ithaca College,2pMa,To Basket,Cole Wissink,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2024
