Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
WEL,RIT,Wells,3pmi,Dribble Jumper,Chase Welch,PNR,High,Off,Terrance Clayton-Murphy,Spot Ups,Left,Drive,UNKNOWN,Liberty League,1,4.0,2024
WEL,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Kenny Wilburn,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,2.0,2024
WEL,RIT,Wells,2pmi,To Basket,Chase Welch,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,3,1.0,2024
WEL,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,1.0,2024
WEL,RIT,Wells,2pmi,To Basket,Terrance Clayton-Murphy,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,1.0,2024
WEL,RIT,Rochester Institute of Technology Tigers,2pMa,N/A,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,1.0,2024
WEL,RIT,Wells,2pmi,Dribble Jumper,Chase Welch,Iso,Top,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,7,2.0,2024
WEL,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brock Bowen,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,1.0,2024
WEL,RIT,Wells,Foul,To Basket,Billy Mccrae,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2024
WEL,RIT,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,13,3.0,2024
WEL,RIT,Wells,2pMa,Dribble Jumper,Donye Johnson,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,3.0,2024
