Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,ASU,Alfred State Pioneers,Foul,To Basket,Dylan Perry,PNR,High,Off,Cody Schneider,P&R Roll Man,N/A,Slips,Liberty League,UNKNOWN,1,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,4,1.0,2024
RIT,ASU,Alfred State Pioneers,2pMa,Dribble Jumper,Ryan Rosa,Post,Left,Left Shoulder,Cody Schneider,Spot Ups,Right,Drive,Liberty League,UNKNOWN,5,3.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Brody Brown,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,6,4.0,2024
RIT,ASU,Alfred State Pioneers,2pMa,Dribble Jumper,Ryan Rosa,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,2.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Right,N/A,Kenny Wilburn,Cuts,N/A,Basket,Liberty League,UNKNOWN,8,1.0,2024
RIT,ASU,Alfred State Pioneers,2pMa,To Basket,Paris Jamison,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,9,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,10,1.0,2024
RIT,ASU,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,11,4.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,1.0,2024
RIT,ASU,Alfred State Pioneers,2pMa,To Basket,Dylan Perry,PNR,Right,Off,Ryan Rosa,Spot Ups,Right,Drive,Liberty League,UNKNOWN,13,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Pop,Liberty League,UNKNOWN,14,4.0,2024
RIT,ASU,Alfred State Pioneers,2pmi,To Basket,Dylan Perry,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,15,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,16,2.0,2024
RIT,ASU,Alfred State Pioneers,2pMa,To Basket,Dylan Perry,PNR,High,Off,Ryan Rosa,Spot Ups,Left,Drive,Liberty League,UNKNOWN,17,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,18,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pmi,Drop Step,Kenny Wilburn,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,20,1.0,2024
RIT,ASU,Alfred State Pioneers,Turnover,N/A,Paris Jamison,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,21,1.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,22,1.0,2024
RIT,ASU,Alfred State Pioneers,2pmi,Dribble Jumper,Cody Schneider,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,23,3.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,24,1.0,2024
RIT,ASU,Alfred State Pioneers,3pmi,No Dribble Jumper,Zy Switzer,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,25,4.0,2024
RIT,ASU,Rochester Institute of Technology Tigers,2pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,27,2.0,2024
RIT,ASU,Alfred State Pioneers,3pMa,No Dribble Jumper,Paris Jamison,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,28,4.0,2024
