Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,2.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Isaiah Washington,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,PNR,Right,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,2.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,Drop Step,Carter Meshanic,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024
RIT,HOB,Hobart College Statesmen,And1,To Basket,Pat Healy,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,Liberty League,12,4.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2024
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,2.0,2024
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Ryan Lucey,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,4.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,4.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,PNR,Left,Off,Pat Healy,Spot Ups,Left,Drive,Liberty League,Liberty League,21,2.0,2024
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Ryan Lucey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Kenny Wilburn,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,2.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Jackson Otis,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,25,4.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Foul,To Basket,Brock Bowen,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Pat Healy,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Brock Bowen,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,2.0,2024
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Pat Healy,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,4.0,2024
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Hunter Meshanic,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,4.0,2024
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Carter Meshanic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,36,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Brody Brown,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,41,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Ronnie Toole,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,42,1.0,2024
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,44,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Isaiah Washington,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Ronnie Toole,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,46,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,51,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Brody Brown,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,52,1.0,2024
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Alex Moesch,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,53,4.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Iso,Right,N/A,Keegan Ocorr,Cuts,N/A,Basket,Liberty League,Liberty League,54,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Hunter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,55,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,56,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Post,Middle,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,58,1.0,2024
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Carter Meshanic,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,59,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,62,2.0,2024
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Alex Moesch,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,63,4.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Foul,To Basket,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,64,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Alex Moesch,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,67,2.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brody Brown,PNR,Left,Off,Jackson Otis,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,68,4.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,69,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,70,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,71,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,N/A,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,72,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,74,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,75,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Aidan Rodgers,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,77,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,78,1.0,2024
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Ryan Lucey,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,79,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,Foul,To Basket,Brock Bowen,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,80,1.0,2024
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,83,1.0,2024
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,84,1.0,2024
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,85,4.0,2024
