Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,SLS,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2024
RIT,SLS,St. Lawrence Saints,Turnover,N/A,Gavin Macaulay,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,3.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2024
RIT,SLS,St. Lawrence Saints,2pmi,Drop Step,Andrew Cowan,Post,Middle,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Post,Right,Right Shoulder,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,Liberty League,7,4.0,2024
RIT,SLS,St. Lawrence Saints,Turnover,N/A,Gavin Macaulay,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024
RIT,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Aiden Macaulay,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2024
RIT,SLS,St. Lawrence Saints,2pMa,To Basket,Andrew Cowan,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,4.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,4.0,2024
RIT,SLS,St. Lawrence Saints,Turnover,N/A,Trey Syroka,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,Turnover,N/A,Jackson Otis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2024
RIT,SLS,St. Lawrence Saints,2pmi,To Basket,Andrew Cowan,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2024
RIT,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Aiden Macaulay,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,4.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2024
RIT,SLS,St. Lawrence Saints,3pMa,No Dribble Jumper,Trey Syroka,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,4.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2024
RIT,SLS,St. Lawrence Saints,2pmi,To Basket,Aiden Macaulay,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,1.0,2024
RIT,SLS,Rochester Institute of Technology Tigers,2pmi,To Basket,Jackson Otis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,1.0,2024
