#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Pat Healy,,,,"Spot Up, Turnover",Turnover,00:00:20.5,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,19:43,Pat Healy,3 Pat Healy > Spot-Up > Drives Left > Turnover,
2,Chase Dickens,,,,"Iso, 2FGm, Def Reb",Miss 2 Pts,00:00:25.9,,,Rochester Institute of Technology Tigers,RIT@HOB,01/27/2024,1,19:16,"Chase Dickens, Isaiah Washington",11 Chase Dickens > ISO > Left > Drives Left > To Basket > Miss 2 Pts,
3,Isaiah Washington,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:31.5,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,18:52,Isaiah Washington,22 Isaiah Washington > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
4,Carter Meshanic,,,,"Off Reb, Off Reb",Run Offense,00:00:07.6,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,,Carter Meshanic,23 Carter Meshanic > Offensive Rebound > Short > Run Offense,
5,Pat Healy,,,,"P&R BH, 2FGm",Miss 2 Pts,00:00:24.6,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,18:35,Pat Healy,3 Pat Healy > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
6,Pat Healy,,,,"Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:07.7,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,18:35,Pat Healy,3 Pat Healy > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
7,Kenny Wilburn,,,,"P&R BH, P&R Roll Man, 2FGM, Assist",Make 2 Pts,00:00:13.9,,,Rochester Institute of Technology Tigers,RIT@HOB,01/27/2024,1,18:15,"Kenny Wilburn, Chase Dickens",11 Chase Dickens > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > P&R Roll Man > Rolls to Basket > Make 2 Pts,
8,Carter Meshanic,,,,"Spot Up, 2FGM",Make 2 Pts,00:00:22.7,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,17:52,Carter Meshanic,23 Carter Meshanic > Spot-Up > Drives Right > To Basket > Make 2 Pts,
9,Keegan Ocorr,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:15.1,,,Rochester Institute of Technology Tigers,RIT@HOB,01/27/2024,1,17:36,"Keegan Ocorr, Pat Healy",1 Keegan Ocorr > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
10,Ryan Lucey,,,,"Off Screen, Foul",Foul,00:00:22.0,,,Hobart College Statesmen,RIT@HOB,01/27/2024,1,17:10,"Kenny Wilburn, Ryan Lucey",1 Ryan Lucey > Off Screen > To Shooter's Right > Straight > To Basket > Foul,
