#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Chris Dougherty,,,,"Turnover, Steal",Turnover,00:00:22.2,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,19:42,"Chris Dougherty, Laz Panagiotounis",Cut,32 Chris Dougherty > Cut > Flash > Turnover
2,Azriel Almodovar,,,,2FGM,Make 2 Pts,00:00:10.0,,,Bard College,Bar@SLC,11/08/2024,1,19:36,Azriel Almodovar,Transition,4 Azriel Almodovar > Transition > Leak Outs > To Basket > Make 2 Pts
3,Eamon Kelly,,,,Foul,Foul,00:00:25.4,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,19:09,"Azriel Almodovar, Eamon Kelly","P&R BH, Spot Up",1 Lemar Fulmore > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Eamon Kelly > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Foul
4,Eamon Kelly,,,,FTM,Free Throw,00:00:10.5,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,,5 Eamon Kelly > Non Possession > Free Throw
5,Eamon Kelly,,,,FTM,Free Throw,00:00:10.0,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,,5 Eamon Kelly > Non Possession > Free Throw
6,Laz Panagiotounis,,,,Turnover,Turnover,00:00:17.4,,,Bard College,Bar@SLC,11/08/2024,1,18:56,Laz Panagiotounis,,15 Laz Panagiotounis > No Play Type > Turnover
7,Chris Dougherty,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.2,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,18:37,"Chris Dougherty, Sean Wilcox","P&R BH, P&R Roll Man",2 Andrew Kim > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Chris Dougherty > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
8,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.9,,,Bard College,Bar@SLC,11/08/2024,1,18:28,"Laz Panagiotounis, Andrew Kim",Spot Up,15 Laz Panagiotounis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
9,Lemar Fulmore,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.6,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,18:12,"Ahmad Rauf, Lemar Fulmore",Spot Up,1 Lemar Fulmore > Spot-Up > Drives Right > To Basket > Miss 2 Pts
10,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.3,,,Bard College,Bar@SLC,11/08/2024,1,18:05,"Laz Panagiotounis, Lemar Fulmore",Transition,15 Laz Panagiotounis > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
