#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Finn Cork,,,,"Turnover, Steal",Turnover,00:00:18.1,,,Clarkson University Golden Knights,CU@VSUL,11/20/2024,1,19:48,"Finn Cork, Brett Roy",,40 Finn Cork > No Play Type > Turnover
2,Victor Kukta Reyes,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:35.8,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,19:24,"Victor Kukta Reyes, Matt Doyle",P&R BH,30 Victor Kukta Reyes > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
3,Matt Doyle,,,,"2FGM, Assist",Make 2 Pts,00:00:20.7,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,19:06,"Victor Kukta Reyes, Matt Doyle",Spot Up,44 Matt Doyle > Spot-Up > Drives Right > To Basket > Make 2 Pts
4,Lorenzo Rappa,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:13.1,,,Clarkson University Golden Knights,CU@VSUL,11/20/2024,1,18:49,"Lorenzo Rappa, Brett Roy, Matt Doyle","Post Up, Spot Up",40 Finn Cork > Post-Up > Left Block > Defense Commits > Ball Delivered > 0 Lorenzo Rappa > Spot-Up > Drives Left > To Basket > Miss 2 Pts
5,Gregory Gonyea Jr,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.5,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,18:30,"Gregory Gonyea Jr, Finn Cork",Off Screen,0 Gregory Gonyea Jr > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
6,Steve DeRegis,,,,"3FGM, Assist",Make 3 Pts,00:00:08.6,,,Clarkson University Golden Knights,CU@VSUL,11/20/2024,1,18:21,"Finn Cork, Steve DeRegis",Handoff,5 Steve DeRegis > Hand Off > From Stationary > Right > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
7,Gregory Gonyea Jr,,,,Turnover,Turnover,00:00:19.2,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,18:02,Gregory Gonyea Jr,Spot Up,0 Gregory Gonyea Jr > Spot-Up > Drives Right > Turnover
8,Steve DeRegis,,,,"3FGM, Assist",Make 3 Pts,00:00:10.9,,,Clarkson University Golden Knights,CU@VSUL,11/20/2024,1,17:50,"Ben Rappa, Steve DeRegis",Off Screen,5 Steve DeRegis > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Matt Doyle,,,,,No Violation,00:00:16.4,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,,Matt Doyle,,44 Matt Doyle > Non Possession > No Violation
10,Brett Roy,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.7,,,Vermont State University Lyndon,CU@VSUL,11/20/2024,1,17:21,"Brett Roy, Finn Cork","P&R BH, Spot Up",30 Victor Kukta Reyes > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 45 Brett Roy > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
