#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Seidina Doukoure,,,,2FGM,Make 2 Pts,00:00:25.1,,,Utica,IC@UTI,11/20/2024,1,19:40,Seidina Doukoure,,21 Seidina Doukoure > No Play Type > To Basket > Make 2 Pts
2,Jaylon O'Neal,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.3,,,Ithaca College,IC@UTI,11/20/2024,1,19:23,"Jaylon O'Neal, Damien Call",Handoff,2 Jaylon O'Neal > Hand Off > From Stationary > Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
3,Dayion Thompson,,,,3FGm,Miss 3 Pts,00:00:21.5,,,Utica,IC@UTI,11/20/2024,1,19:10,Dayion Thompson,"P&R BH, Spot Up",0 Hagen Foley > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 1 Dayion Thompson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Seidina Doukoure,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:10.4,,,Utica,IC@UTI,11/20/2024,1,19:10,"Evan Cabral, Seidina Doukoure",Off Reb,21 Seidina Doukoure > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
5,Laurence Brady,,,,3FGm,Miss 3 Pts,00:00:18.3,,,Ithaca College,IC@UTI,11/20/2024,1,18:58,Laurence Brady,Transition,12 Laurence Brady > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
6,Chris Leysath,,,,Off Reb,Run Offense,00:00:09.8,,,Ithaca College,IC@UTI,11/20/2024,1,,Chris Leysath,Off Reb,30 Chris Leysath > Offensive Rebound > Long > Run Offense
7,Chris Leysath,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.1,,,Ithaca College,IC@UTI,11/20/2024,1,18:45,"Chris Leysath, Hagen Foley",Iso,30 Chris Leysath > ISO > Right > Drives Left > To Basket > Miss 2 Pts
8,Hagen Foley,,,,"3FGM, Assist",Make 3 Pts,00:00:34.5,,,Utica,IC@UTI,11/20/2024,1,18:16,"Damien Call, Hagen Foley",Off Screen,0 Hagen Foley > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Evan Cabral,,,,Foul,Foul,00:00:15.6,,,Ithaca College,IC@UTI,11/20/2024,1,18:02,"Dayion Thompson, Evan Cabral",Off Screen,15 Evan Cabral > Off Screen > To Shooter's Left > Straight > To Basket > Foul
10,Evan Cabral,,,,FTM,Free Throw,00:00:07.0,,,Ithaca College,IC@UTI,11/20/2024,1,,Evan Cabral,,15 Evan Cabral > Non Possession > Free Throw
11,Evan Cabral,,,,FTM,Free Throw,00:00:05.9,,,Ithaca College,IC@UTI,11/20/2024,1,,Evan Cabral,,15 Evan Cabral > Non Possession > Free Throw
12,Dayion Thompson,,,,2FGm,Miss 2 Pts,00:00:28.8,,,Utica,IC@UTI,11/20/2024,1,17:36,Dayion Thompson,"Post Up, Spot Up",15 Damien Call > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 1 Dayion Thompson > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts
13,Jaylon O'Neal,,,,Foul,Foul,00:00:28.7,,,Ithaca College,IC@UTI,11/20/2024,1,17:04,"Damien Call, Jaylon O'Neal",Cut,2 Jaylon O'Neal > Cut > Basket > Foul
14,Jaylon O'Neal,,,,FTm,Free Throw,00:00:07.2,,,Ithaca College,IC@UTI,11/20/2024,1,,Jaylon O'Neal,,2 Jaylon O'Neal > Non Possession > Free Throw
15,Jaylon O'Neal,,,,FTM,Free Throw,00:00:06.1,,,Ithaca College,IC@UTI,11/20/2024,1,,Jaylon O'Neal,,2 Jaylon O'Neal > Non Possession > Free Throw
16,Damien Call,,,,"2FGM, Assist",Make 2 Pts,00:00:14.7,,,Utica,IC@UTI,11/20/2024,1,16:48,"Hagen Foley, Damien Call","P&R BH, Cut",0 Hagen Foley > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Damien Call > Cut > Screen > Make 2 Pts
17,Jaylon O'Neal,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.7,,,Ithaca College,IC@UTI,11/20/2024,1,16:30,"Levi Spina, Jaylon O'Neal",Off Screen,2 Jaylon O'Neal > Off Screen > To Shooter's Left > Straight > To Basket > Miss 2 Pts
18,Levi Spina,,,,"2FGM, Assist",Make 2 Pts,00:00:26.5,,,Utica,IC@UTI,11/20/2024,1,16:10,"Levi Spina, Damien Call","Post Up, Spot Up",15 Damien Call > Post-Up > Right Block > Defense Commits > Ball Delivered > 10 Levi Spina > Spot-Up > Drives Left > To Basket > Make 2 Pts
19,Evan Cabral,,,,"Turnover, Steal",Turnover,00:00:12.5,,,Ithaca College,IC@UTI,11/20/2024,1,15:55,"Evan Cabral, Damien Call",P&R BH,15 Evan Cabral > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
20,Hagen Foley,,,,Foul,Non Shooting Foul,00:00:19.1,,,,IC@UTI,11/20/2024,1,,Evan Cabral,,0 Hagen Foley > Non Possession > Non Shooting Foul
21,Damien Call,,,,Turnover,Turnover,00:00:09.4,,,Utica,IC@UTI,11/20/2024,1,15:41,Damien Call,,15 Damien Call > No Play Type > Turnover
22,Evan Cabral,,,,"3FGM, Assist",Make 3 Pts,00:00:14.5,,,Ithaca College,IC@UTI,11/20/2024,1,15:27,"Evan Cabral, Chris Leysath",Handoff,15 Evan Cabral > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
23,Levi Spina,,,,"2FGM, Foul",1 Pts,00:00:09.8,,,Utica,IC@UTI,11/20/2024,1,15:14,"Levi Spina, Logan Wendell",P&R BH,10 Levi Spina > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts Foul > 1 Pts
24,Levi Spina,,,,FTM,Free Throw,00:00:06.1,,,Utica,IC@UTI,11/20/2024,1,,Levi Spina,,10 Levi Spina > Non Possession > Free Throw
25,Jaylon O'Neal,,,,"Turnover, Steal",Turnover,00:00:09.1,,,Ithaca College,IC@UTI,11/20/2024,1,15:04,"Jaylon O'Neal, Levi Spina",,2 Jaylon O'Neal > No Play Type > Turnover
26,Hagen Foley,,,,"Turnover, Steal",Turnover,00:00:09.7,,,Utica,IC@UTI,11/20/2024,1,14:59,"Jaylon O'Neal, Hagen Foley",Transition,0 Hagen Foley > Transition > Leak Outs > Turnover
27,Evan Cabral,,,,,Miss 3 Pts,00:00:16.5,,,Ithaca College,IC@UTI,11/20/2024,1,,Evan Cabral,,15 Evan Cabral > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
28,Jaylon O'Neal,,,,"Off Reb, Foul",Foul,00:00:11.4,,,Ithaca College,IC@UTI,11/20/2024,1,14:54,"Jaylon O'Neal, Liam Teague",Off Reb,2 Jaylon O'Neal > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
29,Jaylon O'Neal,,,,FTM,Free Throw,00:00:07.2,,,Ithaca College,IC@UTI,11/20/2024,1,,Jaylon O'Neal,,2 Jaylon O'Neal > Non Possession > Free Throw
30,Jaylon O'Neal,,,,FTM,Free Throw,00:00:07.4,,,Ithaca College,IC@UTI,11/20/2024,1,,Jaylon O'Neal,,2 Jaylon O'Neal > Non Possession > Free Throw
31,Isaiah Smith,,,,2FGM,Make 2 Pts,00:00:11.5,,,Utica,IC@UTI,11/20/2024,1,14:42,Isaiah Smith,P&R BH,6 Isaiah Smith > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
32,Cole Wissink,,,,3FGM,Make 3 Pts,00:00:12.3,,,Ithaca College,IC@UTI,11/20/2024,1,14:30,Cole Wissink,Handoff,0 Cole Wissink > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
33,Hagen Foley,,,,3FGM,Make 3 Pts,00:00:09.7,,,Utica,IC@UTI,11/20/2024,1,14:18,Hagen Foley,"P&R BH, Spot Up",10 Levi Spina > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Hagen Foley > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
34,Cole Wissink,,,,Turnover,Turnover,00:00:17.5,,,Ithaca College,IC@UTI,11/20/2024,1,14:02,Cole Wissink,P&R BH,0 Cole Wissink > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
35,Levi Spina,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:21.3,,,Utica,IC@UTI,11/20/2024,1,13:41,"Levi Spina, Chris Leysath",Spot Up,10 Levi Spina > Spot-Up > Drives Right > To Basket > Miss 2 Pts
36,Levi Spina,,,,,No Violation,00:00:11.6,,,Utica,IC@UTI,11/20/2024,1,,Levi Spina,,10 Levi Spina > Non Possession > No Violation
37,Hagen Foley,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:07.4,,,Utica,IC@UTI,11/20/2024,1,13:35,"Hagen Foley, Chris Leysath",Handoff,0 Hagen Foley > Hand Off > From Stationary > Left > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
38,Logan Wendell,,,,"3FGM, Assist",Make 3 Pts,00:00:15.6,,,Ithaca College,IC@UTI,11/20/2024,1,13:18,"Logan Wendell, Cole Wissink",Handoff,1 Logan Wendell > Hand Off > From Dribble > Top > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
39,Levi Spina,,,,Foul,Non Shooting Foul,00:00:16.6,,,,IC@UTI,11/20/2024,1,,Cole Wissink,,10 Levi Spina > Non Possession > Non Shooting Foul
40,Hagen Foley,,,,"3FGM, Assist",Make 3 Pts,00:00:20.5,,,Utica,IC@UTI,11/20/2024,1,12:47,"Hagen Foley, Ethan Rivers","Post Up, Spot Up",15 Damien Call > Post-Up > Left Block > Defense Commits > Ball Delivered > 0 Hagen Foley > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
41,Logan Wendell,,,,"2FGM, Assist",Make 2 Pts,00:00:14.5,,,Ithaca College,IC@UTI,11/20/2024,1,12:33,"Logan Wendell, Laurence Brady",Cut,1 Logan Wendell > Cut > Basket > Make 2 Pts
42,Hagen Foley,,,,"3FGM, Assist",Make 3 Pts,00:00:17.5,,,Utica,IC@UTI,11/20/2024,1,12:12,"Damien Call, Hagen Foley",Off Screen,0 Hagen Foley > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
43,Logan Wendell,,,,Foul,Non Shooting Foul,00:00:12.3,,,,IC@UTI,11/20/2024,1,,Levi Spina,,1 Logan Wendell > Non Possession > Non Shooting Foul
44,Aidan Holmes,,,,,Miss 3 Pts,00:00:18.5,,,Ithaca College,IC@UTI,11/20/2024,1,,Aidan Holmes,,3 Aidan Holmes > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
45,Liam Teague,,,,Foul,Foul,00:00:17.2,,,Utica,IC@UTI,11/20/2024,1,11:37,"Aidan Holmes, Liam Teague",Transition,22 Liam Teague > Transition > Trailer > To Basket > Foul
46,Liam Teague,,,,FTM,Free Throw,00:00:07.1,,,Utica,IC@UTI,11/20/2024,1,,Liam Teague,,22 Liam Teague > Non Possession > Free Throw
47,Liam Teague,,,,FTM,Free Throw,00:00:06.5,,,Utica,IC@UTI,11/20/2024,1,,Liam Teague,,22 Liam Teague > Non Possession > Free Throw
48,Jose Padilla,,,,"3FGM, Assist",Make 3 Pts,00:00:23.3,,,Ithaca College,IC@UTI,11/20/2024,1,11:16,"Thomas Mckiernan, Jose Padilla",Spot Up,13 Jose Padilla > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
49,Seidina Doukoure,,,,2FGm,Miss 2 Pts,00:00:16.0,,,Utica,IC@UTI,11/20/2024,1,11:00,Seidina Doukoure,Iso,21 Seidina Doukoure > ISO > Left > Drives Left > To Basket > Miss 2 Pts
50,Seidina Doukoure,,,,"2FGM, Off Reb, Foul",0 Pts,00:00:10.5,,,Utica,IC@UTI,11/20/2024,1,11:00,"Seidina Doukoure, Aidan Holmes",Off Reb,21 Seidina Doukoure > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts Foul > 0 Pts
51,Seidina Doukoure,,,,"FTm, Def Reb",Free Throw,00:00:07.3,,,Utica,IC@UTI,11/20/2024,1,,"Seidina Doukoure, Aidan Holmes",,21 Seidina Doukoure > Non Possession > Free Throw
52,Aidan Holmes,,,,"Turnover, Steal",Turnover,00:00:14.5,,,Ithaca College,IC@UTI,11/20/2024,1,10:39,"Aidan Holmes, Jordan Cain","P&R BH, Spot Up",13 Jose Padilla > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Aidan Holmes > Spot-Up > Drives Right > Turnover
53,Ethan Rivers,,,,"Turnover, Steal",Turnover,00:00:11.2,,,Utica,IC@UTI,11/20/2024,1,10:33,"Ethan Rivers, Aidan Holmes",,4 Ethan Rivers > No Play Type > Turnover
54,Aidan Holmes,,,,2FGM,Make 2 Pts,00:00:11.6,,,Ithaca College,IC@UTI,11/20/2024,1,10:29,Aidan Holmes,Transition,3 Aidan Holmes > Transition > Ballhandler > To Basket > Make 2 Pts
55,Seidina Doukoure,,,,,No Violation,00:00:04.7,,,Utica,IC@UTI,11/20/2024,1,,Seidina Doukoure,,21 Seidina Doukoure > Non Possession > No Violation
56,Ethan Rivers,,,,2FGm,Miss 2 Pts,00:00:26.7,,,Utica,IC@UTI,11/20/2024,1,10:01,Ethan Rivers,,4 Ethan Rivers > No Play Type > To Basket > Miss 2 Pts
57,Seidina Doukoure,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:11.9,,,Utica,IC@UTI,11/20/2024,1,10:01,Seidina Doukoure,Off Reb,21 Seidina Doukoure > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
58,Seidina Doukoure,,,,"Off Reb, Turnover",Turnover,00:00:11.9,,,Utica,IC@UTI,11/20/2024,1,9:57,Seidina Doukoure,Off Reb,21 Seidina Doukoure > Offensive Rebound > Short > Turnover
59,Thomas Mckiernan,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.0,,,Ithaca College,IC@UTI,11/20/2024,1,9:39,"Thomas Mckiernan, Dayion Thompson",Spot Up,11 Thomas Mckiernan > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
60,Dayion Thompson,,,,Foul,Foul,00:00:22.9,,,Utica,IC@UTI,11/20/2024,1,9:24,"Cole Wissink, Dayion Thompson",Spot Up,1 Dayion Thompson > Spot-Up > Drives Right > To Basket > Foul
61,Dayion Thompson,,,,FTM,Free Throw,00:00:07.7,,,Utica,IC@UTI,11/20/2024,1,,Dayion Thompson,,1 Dayion Thompson > Non Possession > Free Throw
62,Dayion Thompson,,,,"FTm, Def Reb",Free Throw,00:00:06.5,,,Utica,IC@UTI,11/20/2024,1,,"Evan Cabral, Dayion Thompson",,1 Dayion Thompson > Non Possession > Free Throw
63,Evan Cabral,,,,3FGm,Miss 3 Pts,00:00:32.3,,,Ithaca College,IC@UTI,11/20/2024,1,8:56,Evan Cabral,"P&R BH, Spot Up",13 Jose Padilla > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Evan Cabral > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
64,Liam Teague,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:28.4,,,Utica,IC@UTI,11/20/2024,1,8:29,"Evan Cabral, Liam Teague",Cut,22 Liam Teague > Cut > Flash > Miss 2 Pts
65,Jose Padilla,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.9,,,Ithaca College,IC@UTI,11/20/2024,1,8:22,"Jose Padilla, Dayion Thompson",Handoff,13 Jose Padilla > Hand Off > From Dribble > Right > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
66,Jordan Cain,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:15.0,,,Utica,IC@UTI,11/20/2024,1,8:13,"Jordan Cain, Jose Padilla, Chris Leysath",Transition,13 Jordan Cain > Transition > Right Wing > To Basket > Miss 2 Pts
67,Jose Padilla,,,,Foul,Non Shooting Foul,00:00:10.9,,,,IC@UTI,11/20/2024,1,,Jordan Cain,,13 Jose Padilla > Non Possession > Non Shooting Foul
