#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Danny Fleming,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.9,,,Rowan University,RU@IC,11/09/2024,1,19:47,"Danny Fleming, Jaylon O'Neal",Cut,33 Danny Fleming > Cut > Basket > Miss 2 Pts
2,Evan Cabral,,,,"2FGM, Assist",Make 2 Pts,00:00:14.3,,,Ithaca College,RU@IC,11/09/2024,1,19:40,"Evan Cabral, Jaylon O'Neal",Transition,15 Evan Cabral > Transition > Left Wing > To Basket > Make 2 Pts
3,Brycen Williams,,,,"3FGM, Assist",Make 3 Pts,00:00:20.9,,,Rowan University,RU@IC,11/09/2024,1,19:26,"Brycen Williams, Tyrese Myrick",Spot Up,5 Brycen Williams > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
4,Jaylon O'Neal,,,,"2FGM, Assist",Make 2 Pts,00:00:21.7,,,Ithaca College,RU@IC,11/09/2024,1,19:08,"Jaylon O'Neal, Chris Leysath","Post Up, Cut",30 Chris Leysath > Post-Up > Right Block > Defense Commits > Ball Delivered > 2 Jaylon O'Neal > Cut > Basket > Make 2 Pts
5,Danny Fleming,,,,"2FGM, Assist",Make 2 Pts,00:00:30.1,,,Rowan University,RU@IC,11/09/2024,1,18:43,"Danny Fleming, Tyrese Myrick","Iso, Cut",1 Tyrese Myrick > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 33 Danny Fleming > Cut > Flash > Make 2 Pts
6,Chris Leysath,,,,"Foul, Turnover",Turnover,00:00:20.1,,,Ithaca College,RU@IC,11/09/2024,1,18:23,Chris Leysath,,30 Chris Leysath > No Play Type > Turnover
7,Brycen Williams,,,,"2FGM, Assist",Make 2 Pts,00:00:32.6,,,Rowan University,RU@IC,11/09/2024,1,17:58,"Brycen Williams, Taz Cantey",Spot Up,5 Brycen Williams > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
8,Logan Wendell,,,,Foul,Foul,00:00:15.9,,,Ithaca College,RU@IC,11/09/2024,1,17:39,"Danny Fleming, Logan Wendell","P&R BH, Cut",15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Logan Wendell > Cut > Flash > Foul
9,Logan Wendell,,,,FTM,Free Throw,00:00:05.7,,,Ithaca College,RU@IC,11/09/2024,1,,Logan Wendell,,1 Logan Wendell > Non Possession > Free Throw
10,Logan Wendell,,,,FTM,Free Throw,00:00:05.9,,,Ithaca College,RU@IC,11/09/2024,1,,Logan Wendell,,1 Logan Wendell > Non Possession > Free Throw
