#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Andrew Deppe,,,,"2FGM, Assist",0 Pts,00:00:20.4,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,19:40,"Andrew Deppe, Chuck Clemons","P&R BH, P&R Roll Man",4 Chuck Clemons > P&R Ball Handler > High P&R > Defense Commits > Ball Delivered > 41 Andrew Deppe > P&R Roll Man > Slips the Pick > To Basket > Make 2 Pts Foul > 0 Pts
2,Andrew Deppe,,,,"FTm, Def Reb",Free Throw,00:00:07.7,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,,"Andrew Deppe, Joel Davis",,41 Andrew Deppe > Non Possession > Free Throw
3,Kendall Arcuri,,,,2FGM,Make 2 Pts,00:00:27.0,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,18:51,Kendall Arcuri,"P&R BH, P&R Roll Man",0 Isaiah Austin > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 40 Kendall Arcuri > P&R Roll Man > Slips the Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
4,Avery Eugster,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.5,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,18:41,"Avery Eugster, Isaiah Austin",Spot Up,12 Avery Eugster > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
5,Isaiah Austin,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.1,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,18:25,"Isaiah Austin, Andrew Deppe","Post Up, Spot Up",23 Joel Davis > Post-Up > Right Block > Post Pin > Dribble Move > Defense Commits > Ball Delivered > 0 Isaiah Austin > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
6,Avery Eugster,,,,2FGM,Make 2 Pts,00:00:12.0,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,18:13,Avery Eugster,Post Up,12 Avery Eugster > Post-Up > Right Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts
7,Kendall Arcuri,,,,3FGM,Make 3 Pts,00:00:12.7,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,17:57,Kendall Arcuri,Handoff,40 Kendall Arcuri > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
8,Dylan Matchett,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:28.9,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,17:28,"Dylan Matchett, Joel Davis","P&R BH, Spot Up",4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Dylan Matchett > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
9,Joel Davis,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:28.0,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,17:00,"Joel Davis, Avery Eugster",Cut,23 Joel Davis > Cut > Flash > Miss 2 Pts
10,PJ Scalisi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.5,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,16:49,"PJ Scalisi, Kendall Arcuri",Transition,23 PJ Scalisi > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
11,Jaylen Warmack,,,,"Turnover, Steal",Turnover,00:00:13.9,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,16:39,"Jaylen Warmack, Chuck Clemons",Transition,2 Jaylen Warmack > Transition > Ballhandler > Turnover
12,Andrew Deppe,,,,Foul,Foul,00:00:11.2,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,16:39,"Jaylen Warmack, Andrew Deppe",Transition,41 Andrew Deppe > Transition > Right Wing > To Basket > Foul
13,Andrew Deppe,,,,FTm,Free Throw,00:00:06.7,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,,Andrew Deppe,,41 Andrew Deppe > Non Possession > Free Throw
14,Andrew Deppe,,,,"FTm, Def Reb",Free Throw,00:00:07.8,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,,"Kendall Arcuri, Andrew Deppe",,41 Andrew Deppe > Non Possession > Free Throw
15,Isaiah Austin,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:27.9,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,16:13,"Isaiah Austin, Avery Eugster",Iso,0 Isaiah Austin > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts
16,Andrew Deppe,,,,"3FGM, Assist",Make 3 Pts,00:00:15.3,,,Rensselaer Polytechnic,SCD@RPI,11/08/2024,1,16:04,"Chuck Clemons, Andrew Deppe",Transition,41 Andrew Deppe > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
17,Jaylen Warmack,,,,Foul,Non Shooting Foul,00:00:18.5,,,,SCD@RPI,11/08/2024,1,,Avery Eugster,,2 Jaylen Warmack > Non Possession > Non Shooting Foul
18,Aaron Coston,,,,,Miss 3 Pts,00:00:20.5,,,SUNY Cortland Dragons,SCD@RPI,11/08/2024,1,,Aaron Coston,,40 Kendall Arcuri > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Aaron Coston > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
