#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Daimarr Miller,,,,,Miss 3 Pts,00:00:33.5,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
2,Aiden Macaulay,,,,,Miss 3 Pts,00:00:22.2,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
3,Andrew Cowan,,,,,Run Offense,00:00:07.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Andrew Cowan,,24 Andrew Cowan > Offensive Rebound > Short > Run Offense
4,Aiden Macaulay,,,,,Turnover,00:00:13.3,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Spot-Up > Drives Right > Turnover
5,Cheickne Toure,,,,,Miss 2 Pts,00:00:15.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Transition > Trailer > To Basket > Miss 2 Pts
6,Daimarr Miller,,,,,Turnover,00:00:05.7,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > No Play Type > Turnover
7,Gavin Macaulay,,,,,Make 2 Pts,00:00:21.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Gavin Macaulay,,13 Gavin Macaulay > Cut > Basket > Make 2 Pts
8,Daimarr Miller,,,,,Miss 3 Pts,00:00:26.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
9,Andrew Cowan,,,,,Non Shooting Foul,00:00:24.5,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Andrew Cowan,,24 Andrew Cowan > Non Possession > Non Shooting Foul
10,Andrew Cowan,,,,,Turnover,00:00:17.3,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Andrew Cowan,,24 Andrew Cowan > Spot-Up > Drives Right > Turnover
11,Jackson Casey,,,,,Make 2 Pts,00:00:17.5,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Jackson Casey,,5 Jackson Casey > Spot-Up > Drives Right > To Basket > Make 2 Pts
12,Adam Dudzinski,,,,,Make 2 Pts,00:00:29.0,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts
13,Trevor Hofer,,,,,Miss 3 Pts,00:00:34.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
14,Trevor Hofer,,,,,Miss 2 Pts,00:00:10.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Offensive Rebound > Long > Scoring Attempt > At Basket > Miss 2 Pts
15,Robert Perocolosi,,,,,Run Offense,00:00:10.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Robert Perocolosi,,21 Robert Perocolosi > Offensive Rebound > Short > Run Offense
16,Daimarr Miller,,,,,Miss 3 Pts,00:00:16.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
17,Robert Perocolosi,,,,,Run Offense,00:00:08.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Robert Perocolosi,,21 Robert Perocolosi > Offensive Rebound > Long > Run Offense
18,Trevor Hofer,,,,,No Violation,00:00:17.2,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Non Possession > No Violation
19,Cheickne Toure,,,,,Miss 3 Pts,00:00:22.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
20,Jackson Casey,,,,,Shot Clock Violation,00:00:05.7,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Jackson Casey,,5 Jackson Casey > Non Possession > Shot Clock Violation
21,Chris Downs Jr.,,,,,Miss 2 Pts,00:00:22.8,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
22,Chris Downs Jr.,,,,,Miss 2 Pts,00:00:23.5,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > Cut > Basket > Miss 2 Pts
23,Daimarr Miller,,,,,Miss 2 Pts,00:00:21.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > Drives Left > To Basket > Miss 2 Pts
24,Aiden Macaulay,,,,,Miss 3 Pts,00:00:14.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
25,Daimarr Miller,,,,,Turnover,00:00:16.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,0 Trevor Hofer > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 11 Daimarr Miller > Spot-Up > Drives Left > Turnover
26,Dan Anderson,,,,,Miss 2 Pts,00:00:28.2,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Dan Anderson,,10 Dan Anderson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
27,Chris Downs Jr.,,,,,Miss 2 Pts,00:00:06.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
28,Trey Syroka,,,,,Run Offense,00:00:06.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Trey Syroka,,2 Trey Syroka > Offensive Rebound > Short > Run Offense
29,Chris Downs Jr.,,,,,Turnover,00:00:14.9,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > Cut > Flash > Turnover
30,Cheickne Toure,,,,,Miss 2 Pts,00:00:12.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Spot-Up > Drives Left > To Basket > Miss 2 Pts
31,Cheickne Toure,,,,,Make 2 Pts,00:00:05.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
32,Adam Dudzinski,,,,,Miss 2 Pts,00:00:21.8,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Spot-Up > Drives Right > To Basket > Miss 2 Pts
33,Adam Dudzinski,,,,,Run Offense,00:00:05.9,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Offensive Rebound > Short > Run Offense
34,Adam Dudzinski,,,,,Non Shooting Foul,00:00:09.3,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Non Possession > Non Shooting Foul
35,Troy McPherson,,,,,Make 2 Pts,00:00:21.5,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Troy McPherson,,1 Alexi Twahili > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Troy McPherson > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts
36,Alex Schmidt,,,,,Turnover,00:00:20.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Alex Schmidt,,12 Alex Schmidt > Cut > Flash > Turnover
37,Adam Dudzinski,,,,,Miss 3 Pts,00:00:20.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,2 Trey Syroka > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Adam Dudzinski > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
38,Troy McPherson,,,,,Run Offense,00:00:08.8,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Troy McPherson,,4 Troy McPherson > Offensive Rebound > Short > Run Offense
39,Alexi Twahili,,,,,Miss 3 Pts,00:00:16.0,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Alexi Twahili,,1 Alexi Twahili > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
40,Trevor Hofer,,,,,Make 2 Pts,00:00:13.4,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Transition > Ballhandler > To Basket > Make 2 Pts
41,Adam Dudzinski,,,,,Make 2 Pts,00:00:20.0,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Post-Up > Right Block > Post Pin > No Dribble Move > To Basket > Make 2 Pts
42,Cheickne Toure,,,,,Turnover,00:00:11.5,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Spot-Up > Drives Left > Turnover
43,Alexi Twahili,,,,,Miss 2 Pts,00:00:20.9,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Alexi Twahili,,1 Alexi Twahili > Spot-Up > Drives Right > To Basket > Miss 2 Pts
44,Trevor Hofer,,,,,No Violation,00:00:11.8,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Non Possession > No Violation
45,Daimarr Miller,,,,,Non Shooting Foul,00:00:23.3,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Non Possession > Non Shooting Foul
46,Alec Bartone,,,,,Foul,00:00:17.6,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Alec Bartone,,32 Alec Bartone > Cut > Basket > Foul
47,Alec Bartone,,,,,Free Throw,00:00:04.7,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Alec Bartone,,32 Alec Bartone > Non Possession > Free Throw
48,Alec Bartone,,,,,Free Throw,00:00:04.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Alec Bartone,,32 Alec Bartone > Non Possession > Free Throw
49,Troy McPherson,,,,,Miss 2 Pts,00:00:22.4,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Troy McPherson,,4 Troy McPherson > Off Screen > To Shooter's Left > Curl > To Basket > Miss 2 Pts
50,Robert Perocolosi,,,,,Make 3 Pts,00:00:16.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Robert Perocolosi,,21 Robert Perocolosi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
51,Gavin Macaulay,,,,,Non Shooting Foul,00:00:18.8,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Gavin Macaulay,,13 Gavin Macaulay > Non Possession > Non Shooting Foul
52,Andrew Cowan,,,,,Miss 2 Pts,00:00:10.4,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Andrew Cowan,,24 Andrew Cowan > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
53,Cheickne Toure,,,,,Make 2 Pts,00:00:12.2,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Spot-Up > Drives Left > To Basket > Make 2 Pts
54,Gavin Macaulay,,,,,Miss 2 Pts,00:00:19.0,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Gavin Macaulay,,13 Gavin Macaulay > ISO > Top > Drives Right > To Basket > Miss 2 Pts
55,Daimarr Miller,,,,,Miss 3 Pts,00:00:19.5,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
56,Daimarr Miller,,,,,Make 3 Pts,00:00:08.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Daimarr Miller,,11 Daimarr Miller > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
57,Adam Dudzinski,,,,,Make 2 Pts,00:00:26.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,2 Trey Syroka > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Adam Dudzinski > Spot-Up > Drives Left > To Basket > Make 2 Pts
58,Robert Perocolosi,,,,,Make 2 Pts,00:00:22.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Robert Perocolosi,,21 Robert Perocolosi > Cut > Flash > Make 2 Pts
59,Adam Dudzinski,,,,,Make 2 Pts,00:00:21.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Adam Dudzinski,,33 Adam Dudzinski > Hand Off > From Dribble > Right > Dribble Jumper > Short to < 17' > Make 2 Pts
60,Trevor Hofer,,,,,Miss 2 Pts,00:00:14.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
61,Jackson Casey,,,,,Turnover,00:00:09.0,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Jackson Casey,,5 Jackson Casey > No Play Type > Turnover
62,Aiden Macaulay,,,,,Foul,00:00:08.7,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Transition > Right Wing > To Basket > Foul
63,Aiden Macaulay,,,,,Free Throw,00:00:06.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Non Possession > Free Throw
64,Aiden Macaulay,,,,,Free Throw,00:00:06.9,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Non Possession > Free Throw
65,Cheickne Toure,,,,,Make 2 Pts,00:00:21.1,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Cheickne Toure,,1 Cheickne Toure > Cut > Flash > Make 2 Pts
66,Trey Syroka,,,,,Miss 2 Pts,00:00:25.9,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Trey Syroka,,2 Trey Syroka > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts
67,Aiden Macaulay,,,,,Run Offense,00:00:07.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Offensive Rebound > Long > Run Offense
68,Chris Downs Jr.,,,,,Miss 3 Pts,00:00:11.7,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
69,Trevor Hofer,,,,,Miss 2 Pts,00:00:29.9,,,St. Lawrence Saints,SUP@SLS,12/03/2024,1,,Trevor Hofer,,0 Trevor Hofer > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
70,Aiden Macaulay,,,,,No Violation,00:00:07.1,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Aiden Macaulay,,23 Aiden Macaulay > Non Possession > No Violation
71,Chris Downs Jr.,,,,,Miss 2 Pts,00:00:20.2,,,SUNY Polytechnic Wildcats,SUP@SLS,12/03/2024,1,,Chris Downs Jr.,,21 Chris Downs Jr. > Spot-Up > Drives Left > To Basket > Miss 2 Pts
