#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Aiden Macaulay,,,,3FGm,Miss 3 Pts,00:00:27.7,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,19:41,Aiden Macaulay,Spot Up,23 Aiden Macaulay > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
2,Dan Anderson,,,,"2FGM, Off Reb",Make 2 Pts,00:00:09.1,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,19:41,Dan Anderson,Off Reb,10 Dan Anderson > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
3,Sebastian Pacheco,,,,,Kicked Ball,00:00:13.5,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,,Sebastian Pacheco,,25 Sebastian Pacheco > Non Possession > Kicked Ball
4,Michael Gentile,,,,Turnover,Turnover,00:00:17.9,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,19:07,Michael Gentile,Cut,22 Michael Gentile > Cut > Basket > Turnover
5,Aiden Macaulay,,,,"2FGM, Assist",Make 2 Pts,00:00:20.6,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,18:44,"Aiden Macaulay, Dan Anderson","P&R BH, Cut",10 Dan Anderson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Aiden Macaulay > Cut > Basket > Make 2 Pts
6,Drew Morrow,,,,"2FGM, Assist",Make 2 Pts,00:00:15.5,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,18:29,"Drew Morrow, Robert Perocolosi",Spot Up,24 Drew Morrow > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts
7,Andrew Cowan,,,,"Turnover, Steal",Turnover,00:00:10.5,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,18:14,"Michael Gentile, Andrew Cowan",,24 Andrew Cowan > No Play Type > Turnover
8,Sebastian Pacheco,,,,3FGm,Miss 3 Pts,00:00:33.7,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,17:49,Sebastian Pacheco,Spot Up,25 Sebastian Pacheco > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
9,Robert  Perocolosi,,,,Off Reb,Run Offense,00:00:08.1,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,,Robert Perocolosi,Off Reb,21 Robert Perocolosi > Offensive Rebound > Short > Run Offense
10,Sebastian Pacheco,,,,2FGm,Miss 2 Pts,00:00:14.7,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,17:43,Sebastian Pacheco,Cut,25 Sebastian Pacheco > Cut > Flash > Miss 2 Pts
11,Dan Anderson,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.2,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,17:20,"Dan Anderson, Robert Perocolosi","Post Up, Spot Up",24 Andrew Cowan > Post-Up > Flash Middle > Defense Commits > Ball Delivered > 10 Dan Anderson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
12,Drew Morrow,,,,Foul,Non Shooting Foul,00:00:29.5,,,,SLS@SGK,11/23/2024,1,,Aiden Macaulay,,24 Drew Morrow > Non Possession > Non Shooting Foul
13,Michael Gentile,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.6,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,16:47,"Michael Gentile, Dan Anderson",Off Screen,22 Michael Gentile > Off Screen > To Shooter's Left > Flare > Dribble Jumper > Short to < 17' > Miss 2 Pts
14,Andrew Cowan,,,,"Turnover, Steal",Turnover,00:00:13.7,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,16:38,"Andrew Cowan, Josh Garelle",Transition,24 Andrew Cowan > Transition > Right Wing > Turnover
15,Drew Morrow,,,,"2FGM, Assist",Make 2 Pts,00:00:15.6,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,16:31,"Drew Morrow, Michael Gentile",Transition,24 Drew Morrow > Transition > First Middle > To Basket > Make 2 Pts
16,Adam Dudzinski,,,,2FGM,Make 2 Pts,00:00:23.6,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,16:10,Adam Dudzinski,Post Up,33 Adam Dudzinski > Post-Up > Flash Middle > Right Shoulder > Dribble Move > To Hook > Make 2 Pts
17,Robert  Perocolosi,,,,2FGm,Miss 2 Pts,00:00:25.4,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,15:45,Robert Perocolosi,Cut,21 Robert Perocolosi > Cut > Flash > Miss 2 Pts
18,Robert  Perocolosi,,,,Off Reb,Run Offense,00:00:07.0,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,,Robert Perocolosi,Off Reb,21 Robert Perocolosi > Offensive Rebound > Short > Run Offense
19,Michael Gentile,,,,"3FGM, Assist",Make 3 Pts,00:00:09.5,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,15:38,"Robert Perocolosi, Michael Gentile",Spot Up,22 Michael Gentile > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
20,Aiden Macaulay,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.1,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,15:22,"Aiden Macaulay, Sebastian Pacheco",Off Screen,23 Aiden Macaulay > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
21,Michael Gentile,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.8,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,15:11,"Michael Gentile, Dan Anderson",Spot Up,22 Michael Gentile > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
22,Gavin Macaulay,,,,2FGm,Miss 2 Pts,00:00:16.1,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,15:01,Gavin Macaulay,Transition,13 Gavin Macaulay > Transition > Ballhandler > To Basket > Miss 2 Pts
23,Adam Dudzinski,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.7,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,14:59,"Adam Dudzinski, Josh Garelle","P&R BH, P&R Roll Man",10 Dan Anderson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Adam Dudzinski > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
24,Michael Gentile,,,,Foul,Non Shooting Foul,00:00:10.9,,,,SLS@SGK,11/23/2024,1,,Dan Anderson,,22 Michael Gentile > Non Possession > Non Shooting Foul
25,Drew Morrow,,,,"2FGM, Assist",Make 2 Pts,00:00:23.4,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,14:30,"Drew Morrow, Josh Garelle",Cut,24 Drew Morrow > Cut > Flash > Make 2 Pts
26,Gavin Macaulay,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.2,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,14:08,"Gavin Macaulay, Josh Garelle","P&R BH, P&R Roll Man",4 Troy McPherson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Gavin Macaulay > P&R Roll Man > Slips the Pick > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
27,Josh  Garelle,,,,,No Violation,00:00:10.8,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,,Josh Garelle,,2 Josh Garelle > Non Possession > No Violation
28,Kaelan Leak,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.2,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,13:41,"Adam Dudzinski, Kaelan Leak",Spot Up,23 Kaelan Leak > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
29,Trey Syroka,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.3,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,13:34,"Trey Syroka, Josh Garelle",Transition,2 Trey Syroka > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Miss 2 Pts
30,Josh  Garelle,,,,Foul,Non Shooting Foul,00:00:11.9,,,,SLS@SGK,11/23/2024,1,,Gavin Macaulay,,2 Josh Garelle > Non Possession > Non Shooting Foul
31,Kaelan Leak,,,,,No Violation,00:00:23.5,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,,Kaelan Leak,,23 Kaelan Leak > Non Possession > No Violation
32,Kaelan Leak,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:11.1,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,13:05,"Kaelan Leak, Troy McPherson",Spot Up,23 Kaelan Leak > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
33,Colton Suriano,,,,"2FGm, Foul",Miss 2 Pts,00:00:27.8,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,12:46,"Colton Suriano, Adam Dudzinski","P&R BH, Cut",4 Troy McPherson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Colton Suriano > Cut > Flash > Miss 2 Pts
34,Colin Gentile,,,,"2FGM, Assist",Make 2 Pts,00:00:16.2,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,12:36,"Colin Gentile, Josh Garelle",Cut,33 Colin Gentile > Cut > Basket > Make 2 Pts
35,Colton Suriano,,,,"Turnover, Steal",Turnover,00:00:10.6,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,12:20,"Sebastian Pacheco, Colton Suriano",,25 Colton Suriano > No Play Type > Turnover
36,Ethan  Meisel,,,,"2FGM, Assist",Make 2 Pts,00:00:12.1,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,12:14,"Ethan Meisel, Sebastian Pacheco",Transition,20 Ethan Meisel > Transition > Right Wing > To Basket > Make 2 Pts
37,Alexi Twahili,,,,"3FGM, Assist",Make 3 Pts,00:00:17.4,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,11:58,"Alexi Twahili, Adam Dudzinski","P&R BH, Spot Up",33 Adam Dudzinski > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 1 Alexi Twahili > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
38,Josh  Garelle,,,,"Turnover, Steal",Turnover,00:00:24.5,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,11:28,"Josh Garelle, Troy McPherson",Cut,2 Josh Garelle > Cut > Basket > Turnover
39,Trey Syroka,,,,"2FGM, Assist",Make 2 Pts,00:00:13.7,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,11:23,"Trey Syroka, Colton Suriano",Transition,2 Trey Syroka > Transition > Leak Outs > To Basket > Make 2 Pts
40,Josh  Garelle,,,,"Turnover, Steal",Turnover,00:00:06.8,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,11:13,"Josh Garelle, Adam Dudzinski",Spot Up,2 Josh Garelle > Spot-Up > Drives Right > Turnover
41,Trey Syroka,,,,"Turnover, Steal",Turnover,00:00:27.3,,,St. Lawrence Saints,SLS@SGK,11/23/2024,1,10:53,"Trey Syroka, Sebastian Pacheco",P&R BH,2 Trey Syroka > P&R Ball Handler > Left P&R > Side > Split > Defense Commits > Turnover
42,Sebastian Pacheco,,,,2FGM,Make 2 Pts,00:00:12.1,,,SUNY Geneseo Knights,SLS@SGK,11/23/2024,1,10:42,Sebastian Pacheco,Transition,25 Sebastian Pacheco > Transition > Ballhandler > To Basket > Make 2 Pts
