#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,josh Lopez,,,,Foul,Non Shooting Foul,00:00:09.5,,,,UNY@SJC,11/26/2024,1,,Jaden Jauregui,,23 josh Lopez > Non Possession > Non Shooting Foul
2,Maximus Michalski,,,,"2FGM, Assist",Make 2 Pts,00:00:09.0,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,19:51,"Eric Kegler, Maximus Michalski",Post Up,32 Maximus Michalski > Post-Up > Flash Middle > Left Shoulder > No Dribble Move > To Basket > Make 2 Pts
3,Tanner Tedesco,,,,"Turnover, Steal",Turnover,00:00:18.6,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,19:28,"Tanner Tedesco, josh Lopez",Spot Up,5 Tanner Tedesco > Spot-Up > Drives Left > Turnover
4,Parker Rey,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.2,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,19:14,"Parker Rey, Brendan Reid","P&R BH, Cut",1 Maxwell Schneider > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Parker Rey > Cut > Flash > Miss 2 Pts
5,Jack Plesser,,,,Foul,Non Shooting Foul,00:00:08.9,,,,UNY@SJC,11/26/2024,1,,Parker Rey,,33 Jack Plesser > Non Possession > Non Shooting Foul
6,Christian Dufort,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:09.2,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,19:05,"Eric Kegler, Christian Dufort",Off Screen,24 Christian Dufort > Off Screen > To Shooter's Left > Straight > To Basket > Miss 2 Pts
7,Tanner Tedesco,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.7,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,19:00,"Tanner Tedesco, josh Lopez",Spot Up,5 Tanner Tedesco > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
8,Parker Rey,,,,Turnover,Turnover,00:00:25.4,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,18:31,Parker Rey,"P&R BH, P&R Roll Man",23 josh Lopez > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Parker Rey > P&R Roll Man > Rolls to Basket > Turnover
9,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:10.6,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,18:19,"Jack Plesser, Tanner Tedesco",Cut,33 Jack Plesser > Cut > Screen > Make 2 Pts
10,Maxwell Schneider,,,,3FGm,Miss 3 Pts,00:00:21.4,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,17:58,Maxwell Schneider,Handoff,1 Maxwell Schneider > Hand Off > From Dribble > Right > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
11,Parker Rey,,,,Off Reb,Run Offense,00:00:09.4,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,,Parker Rey,Off Reb,24 Parker Rey > Offensive Rebound > Long > Run Offense
12,Maximus Michalski,,,,2FGM,Make 2 Pts,00:00:18.7,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,17:44,Maximus Michalski,"P&R BH, P&R Roll Man",23 josh Lopez > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Maximus Michalski > P&R Roll Man > Rolls to Basket > Make 2 Pts
13,Tanner Tedesco,,,,2FGm,Miss 2 Pts,00:00:14.4,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,17:35,Tanner Tedesco,Transition,5 Tanner Tedesco > Transition > Ballhandler > To Basket > Miss 2 Pts
14,Tanner Tedesco,,,,Off Reb,Run Offense,00:00:09.4,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,,Tanner Tedesco,Off Reb,5 Tanner Tedesco > Offensive Rebound > Short > Run Offense
15,Brendan Reid,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:09.4,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,17:32,"Brendan Reid, josh Lopez",Cut,32 Brendan Reid > Cut > Basket > Miss 2 Pts
16,josh Lopez,,,,Turnover,Turnover,00:00:10.1,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,17:27,josh Lopez,Transition,23 josh Lopez > Transition > Ballhandler > Turnover
17,Jaden Jauregui,,,,2FGM,Make 2 Pts,00:00:18.8,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,17:12,Jaden Jauregui,P&R BH,13 Jaden Jauregui > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
18,Eric Kegler,,,,Foul,Non Shooting Foul,00:00:12.0,,,,UNY@SJC,11/26/2024,1,,Christian Dufort,,10 Eric Kegler > Non Possession > Non Shooting Foul
19,Connor Williams,,,,2FGM,Make 2 Pts,00:00:11.6,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,16:49,Connor Williams,,50 Connor Williams > No Play Type > To Basket > Make 2 Pts
20,Brendan Reid,,,,"3FGM, Assist",Make 3 Pts,00:00:20.3,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,16:28,"Brendan Reid, Tanner Tedesco","P&R BH, Spot Up",5 Tanner Tedesco > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Brendan Reid > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
21,Connor Williams,,,,2FGm,Miss 2 Pts,00:00:20.3,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,16:05,Connor Williams,Post Up,50 Connor Williams > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
22,josh Lopez,,,,2FGM,Make 2 Pts,00:00:20.4,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,15:45,josh Lopez,"P&R BH, Spot Up",10 Eric Kegler > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 23 josh Lopez > Spot-Up > Drives Left > To Basket > Make 2 Pts
23,Jaden Jauregui,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.4,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,15:29,"Jaden Jauregui, Connor Williams",Spot Up,13 Jaden Jauregui > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
24,Connor Williams,,,,"Foul, Turnover",Turnover,00:00:22.2,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,15:12,Connor Williams,Post Up,50 Connor Williams > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Turnover
25,Jack Plesser,,,,"2FGm, Foul",Miss 2 Pts,00:00:15.0,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,15:02,"Jack Plesser, Brendan Reid","P&R BH, P&R Roll Man",5 Tanner Tedesco > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Jack Plesser > P&R Roll Man > Slips the Pick > To Basket > Miss 2 Pts
26,Connor Williams,,,,2FGM,Make 2 Pts,00:00:21.1,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,14:35,Connor Williams,Post Up,50 Connor Williams > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts
27,Jaden Jauregui,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.8,,,Union (NY) Chargers,UNY@SJC,11/26/2024,1,14:20,"Jaden Jauregui, Maxwell Schneider","P&R BH, Spot Up",5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Jaden Jauregui > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
28,Maximus Michalski,,,,2FGm,Miss 2 Pts,00:00:34.5,,,St. John Fisher Cardinals,UNY@SJC,11/26/2024,1,13:56,Maximus Michalski,Post Up,32 Maximus Michalski > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Miss 2 Pts
