Team,Opponent,Team_Pts,Opponent_Pts,TotalPts,Differential,O_CutPlays,O_Cut2PA,O_Cut2PM,O_Cut2P%,O_CutTO,O_CutFouls,O_PnrPlays,O_Pnr3PA,O_Pnr3PM,O_Pnr3P%,O_Pnr2PA,O_Pnr2PM,O_Pnr2P%,O_PnrMiA,O_PnrMiM,O_PnrMi%,O_PnrEFG%,O_PnrTO,O_PnrFouls,O_PostPlays,O_Post2PA,O_Post2PM,O_Post2P%,O_PostTO,O_PostFouls,O_RollPlays,O_Roll3PA,O_Roll3PM,O_Roll3P%,O_Roll2PA,O_Roll2PM,O_Roll2P%,O_RollMiA,O_RollMiM,O_RollMi%,O_RollEFG%,O_RollTO,O_RollFouls,O_SUShotPlays,O_SUShot3PA,O_SUShot3PM,O_SUShot3P%,O_SUShotMiA,O_SUShotMiM,O_SUShotMi%,O_SUShotTO,O_SUShotFouls,O_SUDrivePlays,O_SUDriveMiA,O_SUDriveMiM,O_SUDriveMi%,O_SUDrive2PA,O_SUDrive2PM,O_SUDrive2P%,O_SUDriveTO,O_SUDriveFouls,O_IsoPlays,O_Iso3PA,O_Iso3PM,O_Iso3P%,O_Iso2PA,O_Iso2PM,O_Iso2P%,O_IsoMiA,O_IsoMiM,O_IsoMi%,O_IsoEFG%,O_IsoTO,O_IsoFouls,O_TransitionPlays,O_Transition3PA,O_Transition3PM,O_Transition3P%,O_Transition2PA,O_Transition2PM,O_Transition2P%,O_TransitionMiA,O_TransitionMiM,O_TransitionMi%,O_TransitionEFG%,O_TransitionTO,O_TransitionFouls,O_OfscPlays,O_Ofsc3PA,O_Ofsc3PM,O_Ofsc3P%,O_Ofsc2PA,O_Ofsc2PM,O_Ofsc2P%,O_OfscMiA,O_OfscMiM,O_OfscMi%,O_OfscEFG%,O_OfscTO,O_OfscFouls,O_HaOfPlays,O_HaOf3PA,O_HaOf3PM,O_HaOf3P%,O_HaOf2PA,O_HaOf2PM,O_HaOf2P%,O_HaOfMiA,O_HaOfMiM,O_HaOfMi%,O_HaOfEFG%,O_HaOfTO,O_HaOfFouls,D_CutPlays,D_Cut2PA,D_Cut2PM,D_Cut2P%,D_CutTO,D_CutFouls,D_PnrPlays,D_Pnr3PA,D_Pnr3PM,D_Pnr3P%,D_Pnr2PA,D_Pnr2PM,D_Pnr2P%,D_PnrMiA,D_PnrMiM,D_PnrMi%,D_PnrEFG%,D_PnrTO,D_PnrFouls,D_PostPlays,D_Post2PA,D_Post2PM,D_Post2P%,D_PostTO,D_PostFouls,D_RollPlays,D_Roll3PA,D_Roll3PM,D_Roll3P%,D_Roll2PA,D_Roll2PM,D_Roll2P%,D_RollMiA,D_RollMiM,D_RollMi%,D_RollEFG%,D_RollTO,D_RollFouls,D_SUShotPlays,D_SUShot3PA,D_SUShot3PM,D_SUShot3P%,D_SUShotMiA,D_SUShotMiM,D_SUShotMi%,D_SUShotTO,D_SUShotFouls,D_SUDrivePlays,D_SUDriveMiA,D_SUDriveMiM,D_SUDriveMi%,D_SUDrive2PA,D_SUDrive2PM,D_SUDrive2P%,D_SUDriveTO,D_SUDriveFouls,D_IsoPlays,D_Iso3PA,D_Iso3PM,D_Iso3P%,D_Iso2PA,D_Iso2PM,D_Iso2P%,D_IsoMiA,D_IsoMiM,D_IsoMi%,D_IsoEFG%,D_IsoTO,D_IsoFouls,D_TransitionPlays,D_Transition3PA,D_Transition3PM,D_Transition3P%,D_Transition2PA,D_Transition2PM,D_Transition2P%,D_TransitionMiA,D_TransitionMiM,D_TransitionMi%,D_TransitionEFG%,D_TransitionTO,D_TransitionFouls,D_OfscPlays,D_Ofsc3PA,D_Ofsc3PM,D_Ofsc3P%,D_Ofsc2PA,D_Ofsc2PM,D_Ofsc2P%,D_OfscMiA,D_OfscMiM,D_OfscMi%,D_OfscEFG%,D_OfscTO,D_OfscFouls,D_HaOfPlays,D_HaOf3PA,D_HaOf3PM,D_HaOf3P%,D_HaOf2PA,D_HaOf2PM,D_HaOf2P%,D_HaOfMiA,D_HaOfMiM,D_HaOfMi%,D_HaOfEFG%,D_HaOfTO,D_HaOfFouls,Date
Hobart College Statesmen,St. John Fisher Cardinals,68,63,131,5,8,4,6,0.67,1,1,8,0,0,0.0,7,4,0.57,1,1,1,0.57,0,1,2,1,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,nan,1,0,9,8,3,0.38,0,0,0,0,1,8,3,2,0.67,6,3,0.5,2,0,3,0,0,0,2,1,0.5,0,0,0,0.5,1,0,17,3,2,0.67,10,6,0.6,0,0,0,0.69,2,2,5,2,0,0.0,2,1,0.5,1,0,0.0,0.25,1,0,1,0,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0,6,1,3,0.33,0,3,15,3,1,0.33,8,3,0.38,1,1,1.0,0.41,4,0,7,5,3,0.6,0,2,1,0,0,0.0,1,1,1,0,0,0,1.0,0,0,8,8,2,0.25,0,0,0,0,0,7,0,0,0,4,2,0.5,1,2,5,0,0,0,2,1,0.5,1,0,0.0,0.5,3,0,9,3,1,0.33,3,3,1.0,1,1,1,0.75,1,2,1,0,0,0.0,1,0,0,0,0,0,0.0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2024-11-13
Hobart College Statesmen,Union (NY) Chargers,65,55,120,10,8,4,7,0.57,0,1,4,1,0,0.0,3,1,0.33,1,0,0.0,0.25,0,0,8,5,1,0.2,0,3,1,0,0,0.0,1,0,0.0,0,0,0,0.0,0,0,13,13,2,0.15,0,0,0.0,0,0,10,4,1,0.25,8,2,0.25,0,2,2,0,0,0,0,0,0.0,0,0,0.0,nan,0,2,15,2,1,0.5,11,7,0.64,0,0,0,0.65,2,0,3,2,0,0.0,1,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,0.0,0,0,0,0.0,0,0,4,2,4,0.5,0,0,12,3,1,0.33,6,1,0.17,5,1,0.2,0.28,3,0,4,3,2,0.67,0,1,5,1,0,0.0,3,3,1.0,0,0,0,0.75,1,0,13,13,1,0.08,0,0,0,0,0,6,1,1,1.0,4,1,0.25,0,2,2,0,0,0,1,0,0.0,0,0,0,0.0,1,0,14,3,1,0.33,4,2,0.5,1,0,0.0,0.5,5,2,6,5,2,0.4,1,1,1.0,0,0,0.0,0.67,0,0,4,2,0,0.0,2,0,0.0,1,0,0.0,0.0,0,0,2024-12-06
Hobart College Statesmen,Rochester (NY) Yellowjackets,66,61,127,5,5,3,4,0.75,1,0,8,4,0,0.0,4,2,0.5,2,0,0.0,0.25,0,0,7,3,2,0.67,3,1,1,1,0,0.0,0,0,0.0,0,0,0,0.0,0,0,15,14,4,0.29,1,0,0,0,0,11,2,0,0.0,9,6,0.67,1,1,3,0,0,0,3,1,0.33,0,0,0,0.33,0,0,7,1,1,1.0,3,2,0.67,0,0,0.0,0.88,2,1,5,3,0,0.0,2,1,0.5,0,0,0.0,0.2,0,0,5,3,1,0.33,1,1,1.0,1,1,1.0,0.62,1,0,7,2,6,0.33,0,1,12,5,2,0.4,3,1,0.33,1,0,0.0,0.5,2,2,12,10,3,0.3,2,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,10,10,5,0.5,0,0,0.0,0,0,7,0,0,0.0,5,4,0.8,1,1,2,0,0,0,2,1,0.5,2,1,0.5,0.5,0,0,9,3,0,0.0,5,0,0.0,1,0,0,0.0,0,1,5,3,0,0.0,2,1,0.5,2,1,0.5,0.2,0,0,5,2,1,0.5,1,0,0.0,0,0,0,0.5,1,1,2024-11-26
Hobart College Statesmen,York (PA) Spartans,59,65,124,-6,6,2,5,0.4,0,1,10,1,0,0.0,5,0,0.0,1,0,0.0,0.0,3,1,8,5,3,0.6,3,0,4,1,0,0.0,3,2,0.67,0,0,0,0.5,0,0,6,5,3,0.6,1,1,1,0,0,11,0,0,0.0,8,4,0.5,1,2,4,0,0,0,1,1,1.0,0,0,0,1.0,1,2,16,2,0,0.0,9,4,0.44,1,1,1.0,0.36,3,2,4,1,0,0.0,2,0,0.0,1,0,0.0,0.0,1,0,3,1,1,1.0,1,0,0.0,1,0,0.0,0.75,1,0,4,1,3,0.33,1,0,11,6,2,0.33,1,1,1.0,0,0,0.0,0.57,3,1,5,3,2,0.67,1,1,3,2,0,0.0,1,1,1.0,0,0,0,0.33,0,0,9,9,2,0.22,0,0,0.0,0,0,9,2,1,0.5,7,6,0.86,2,0,2,1,1,1,0,0,0.0,0,0,0.0,1.5,0,1,5,2,2,1.0,2,2,1.0,0,0,0,1.25,1,0,6,4,1,0.25,1,0,0.0,1,0,0.0,0.3,1,0,3,1,0,0.0,2,1,0.5,0,0,0,0.33,0,0,2024-11-09
Hobart College Statesmen,PennState-Behrend,60,53,113,7,4,0,2,0.0,1,1,2,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,13,10,4,0.4,1,2,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,11,10,4,0.4,1,0,0.0,0,0,9,1,0,0.0,7,3,0.43,0,2,5,0,0,0,4,2,0.5,1,0,0.0,0.5,1,0,8,1,0,0.0,3,1,0.33,0,0,0,0.25,4,0,7,3,1,0.33,3,0,0.0,2,0,0.0,0.25,0,1,1,0,0,0.0,1,1,1.0,0,0,0,1.0,0,0,5,3,3,1.0,1,1,8,0,0,0.0,4,1,0.25,0,0,0.0,0.25,4,0,1,0,0,0.0,1,0,3,1,1,1.0,1,0,0.0,1,0,0,0.75,1,0,20,20,7,0.35,0,0,0,0,0,14,3,1,0.33,9,2,0.22,2,2,2,0,0,0,1,0,0.0,0,0,0,0.0,1,0,8,3,0,0.0,3,3,1.0,0,0,0.0,0.5,1,1,2,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,1,0,0,0.0,1,1,1.0,0,0,0.0,1.0,0,0,2024-11-23
Hobart College Statesmen,Utica,77,66,143,11,10,3,7,0.43,2,1,5,0,0,0.0,4,2,0.5,2,2,1.0,0.5,1,0,6,3,1,0.33,2,1,2,0,0,0.0,2,0,0.0,0,0,0,0.0,0,0,12,12,6,0.5,0,0,0.0,0,0,6,1,1,1.0,4,2,0.5,1,0,3,0,0,0,3,1,0.33,0,0,0.0,0.33,0,0,13,4,2,0.5,6,4,0.67,0,0,0.0,0.7,1,2,3,1,0,0.0,2,1,0.5,2,1,0.5,0.33,0,0,2,1,1,1.0,1,0,0.0,1,0,0.0,0.75,0,0,5,2,4,0.5,1,0,8,0,0,0.0,6,0,0.0,2,0,0.0,0.0,2,0,2,2,0,0.0,0,0,4,1,0,0.0,1,0,0.0,0,0,0,0.0,2,0,16,15,8,0.53,1,1,1.0,0,0,9,1,1,1.0,6,4,0.67,2,0,5,0,0,0,4,1,0.25,2,0,0.0,0.25,1,0,11,2,0,0.0,7,4,0.57,0,0,0.0,0.44,1,1,3,3,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,5,1,1,1.0,3,1,0.33,0,0,0.0,0.62,1,0,2024-12-16
Hobart College Statesmen,Rensselaer Polytechnic,55,72,127,-17,4,2,3,0.67,1,0,10,2,1,0.5,4,1,0.25,3,0,0.0,0.42,2,2,5,2,2,1.0,1,2,1,0,0,0.0,1,1,1.0,0,0,0,1.0,0,0,8,8,0,0.0,0,0,0.0,0,0,12,2,1,0.5,7,3,0.43,4,1,6,2,1,0.5,2,2,1.0,0,0,0.0,0.88,1,1,12,5,3,0.6,3,0,0.0,0,0,0.0,0.56,1,3,8,5,2,0.4,2,1,0.5,1,1,1.0,0.57,0,1,4,1,0,0.0,2,1,0.5,0,0,0.0,0.33,0,1,7,3,4,0.75,3,0,3,2,0,0.0,1,0,0.0,0,0,0.0,0.0,0,0,16,12,2,0.17,3,1,3,0,0,0.0,3,2,0.67,0,0,0,0.67,0,0,9,9,6,0.67,0,0,0.0,0,0,6,0,0,0.0,3,1,0.33,3,0,1,0,0,0,0,0,0.0,0,0,0.0,nan,0,1,13,4,2,0.5,5,3,0.6,0,0,0.0,0.67,1,3,1,1,1,1.0,0,0,0.0,0,0,0.0,1.5,0,0,1,0,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0,2024-11-19
Hobart College Statesmen,Keuka,75,61,136,14,8,1,6,0.17,0,2,1,0,0,0.0,0,0,0.0,0,0,0.0,nan,1,0,7,5,4,0.8,2,0,2,0,0,0.0,2,1,0.5,0,0,0,0.5,0,0,16,16,7,0.44,0,0,0.0,0,0,11,2,0,0.0,9,4,0.44,2,0,1,0,0,0.0,0,0,0.0,0,0,0.0,nan,0,1,18,5,3,0.6,9,4,0.44,0,0,0.0,0.61,4,0,4,3,2,0.67,1,1,1.0,0,0,0.0,1.0,0,0,1,1,1,1.0,0,0,0.0,0,0,0.0,1.5,0,0,4,2,3,0.67,0,1,7,0,0,0.0,7,5,0.71,3,3,1.0,0.71,0,0,0,0,0,0.0,0,0,3,1,0,0.0,2,1,0.5,0,0,0,0.33,0,0,14,12,4,0.33,2,1,0.5,0,0,18,9,3,0.33,15,6,0.4,3,0,1,0,0,0,1,1,1.0,0,0,0.0,1.0,0,0,17,6,2,0.33,7,1,0.14,1,0,0.0,0.31,3,1,5,1,0,0.0,3,1,0.33,2,1,0.5,0.25,1,0,3,1,1,1.0,1,0,0.0,0,0,0.0,0.75,1,0,2024-11-22
Hobart College Statesmen,Vassar Brewers,78,80,158,-2,8,4,7,0.57,0,1,6,0,0,0.0,5,2,0.4,1,0,0.0,0.4,0,1,6,4,2,0.5,2,0,1,0,0,0.0,1,1,1.0,0,0,0,1.0,0,0,11,11,5,0.45,0,0,0.0,0,0,16,3,1,0.33,9,3,0.33,5,2,5,0,0,0,4,3,0.75,1,0,0.0,0.75,0,1,14,4,1,0.25,4,2,0.5,0,0,0.0,0.44,1,5,2,0,0,0.0,1,0,0.0,0,0,0.0,0.0,1,0,3,0,0,0.0,2,0,0.0,0,0,0.0,0.0,0,1,6,2,5,0.4,0,1,20,1,0,0.0,13,3,0.23,6,0,0.0,0.21,3,3,2,2,1,0.5,0,0,6,1,0,0.0,5,4,0.8,0,0,0,0.67,0,0,12,12,5,0.42,0,0,0.0,0,0,9,2,0,0.0,6,1,0.17,1,1,4,0,0,0.0,4,1,0.25,0,0,0.0,0.25,0,0,9,2,0,0.0,7,4,0.57,0,0,0.0,0.44,0,0,1,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,7,3,1,0.33,1,1,1.0,0,0,0.0,0.62,0,3,2024-12-07
Hobart College Statesmen,Rensselaer Polytechnic,61,50,111,11,2,1,1,1.0,1,0,3,0,0,0.0,3,0,0.0,2,0,0.0,0.0,0,0,2,2,2,1.0,0,0,8,7,2,0.29,1,1,1.0,0,0,0,0.5,0,0,9,9,6,0.67,0,0,0.0,0,0,14,7,3,0.43,10,3,0.3,1,0,9,0,0,0,6,1,0.17,2,0,0.0,0.17,3,0,8,0,0,0.0,4,2,0.5,0,0,0.0,0.5,2,2,4,4,2,0.5,0,0,0.0,0,0,0.0,0.75,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,4,2,3,0.67,0,1,12,2,0,0.0,8,2,0.25,5,1,0.2,0.2,1,1,11,7,1,0.14,2,2,4,2,0,0.0,1,0,0.0,0,0,0,0.0,1,0,12,10,2,0.2,2,1,0.5,0,0,4,2,0,0.0,3,0,0.0,0,1,4,0,0,0.0,3,1,0.33,2,0,0.0,0.33,1,0,9,4,2,0.5,2,0,0.0,0,0,0.0,0.5,1,2,1,0,0,0.0,1,0,0.0,0,0,0.0,0.0,0,0,1,1,1,1.0,0,0,0.0,0,0,0.0,1.5,0,0,2025-01-04
