Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
IC,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025
IC,Bar,Ithaca College,2pmi,To Basket,Aidan Holmes,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025
IC,Bar,Ithaca College,3pmi,No Dribble Jumper,Jaylon O'Neal,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2025
IC,Bar,Bard College,3pMa,No Dribble Jumper,Rowan Heinze,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2025
IC,Bar,Ithaca College,Turnover,N/A,Jaylon O'Neal,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2025
IC,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,4.0,2025
IC,Bar,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025
IC,Bar,Bard College,3pMa,No Dribble Jumper,Ahmad Rauf,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,4.0,2025
IC,Bar,Ithaca College,Foul,To Basket,Jaylon O'Neal,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2025
IC,Bar,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,4.0,2025
