index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,2.0,2024-12-06
1,RIT,Bar,Bard College,Turnover,N/A,Rowan Heinze,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2024-12-06
3,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2024-12-06
4,RIT,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,4.0,2024-12-06
5,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Matt Caggiano,PNR,Left,Off,Brock Bowen,Spot Ups,Left,Drive,Liberty League,Liberty League,6,4.0,2024-12-06
6,RIT,Bar,Bard College,2pMa,To Basket,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,1.0,2024-12-06
7,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2024-12-06
8,RIT,Bar,Bard College,2pmi,To Basket,Ahmad Rauf,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024-12-06
9,RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2024-12-06
10,RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2024-12-06
11,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,PNR,High,Off,Matt Caggiano,Spot Ups,N/A,N/A,Liberty League,Liberty League,12,1.0,2024-12-06
12,RIT,Bar,Bard College,2pMa,N/A,Sean Wilcox,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,1.0,2024-12-06
14,RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,4.0,2024-12-06
15,RIT,Bar,Bard College,2pmi,To Basket,Rowan Heinze,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2024-12-06
16,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2024-12-06
17,RIT,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2024-12-06
18,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Nolan Smih,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,4.0,2024-12-06
19,RIT,Bar,Bard College,3pMa,No Dribble Jumper,Azriel Almodovar,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,4.0,2024-12-06
20,RIT,Bar,Rochester Institute of Technology Tigers,2pMa,N/A,Kenny Wilburn,Post,Right,Face Up,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2024-12-06
21,RIT,Bar,Bard College,3pmi,Dribble Jumper,Laz Panagiotounis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,4.0,2024-12-06
22,RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,1.0,2024-12-06
23,RIT,Bar,Bard College,2pmi,To Basket,Laz Panagiotounis,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2024-12-06
24,RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Nolan Smih,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2024-12-06
25,RIT,Bar,Bard College,Foul,To Basket,Laz Panagiotounis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2024-12-06
28,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,PNR,High,Off,Nolan Smih,Spot Ups,N/A,Shot,Liberty League,Liberty League,29,4.0,2024-12-06
29,RIT,Bar,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,4.0,2024-12-06
30,RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,2.0,2024-12-06
32,RIT,Bar,Bard College,Turnover,N/A,Jalen Umstead,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,1.0,2024-12-06
34,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,4.0,2024-12-06
36,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,4.0,2024-12-06
37,RIT,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,PNR,High,Off,Ahmad Rauf,Spot Ups,N/A,Shot,Liberty League,Liberty League,38,4.0,2024-12-06
38,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,39,1.0,2024-12-06
39,RIT,Bar,Bard College,2pMa,To Basket,Laz Panagiotounis,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,1.0,2024-12-06
40,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Luke Granto,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,41,4.0,2024-12-06
41,RIT,Bar,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,42,4.0,2024-12-06
43,RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,44,1.0,2024-12-06
44,RIT,Bar,Bard College,Turnover,N/A,Lucas Tovar,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,1.0,2024-12-06
45,RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Luke Granto,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,46,1.0,2024-12-06
46,RIT,Bar,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,PNR,High,Off,Jalen Umstead,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,47,4.0,2024-12-06
47,RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Brody Brown,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,3.0,2024-12-06
48,RIT,Bar,Bard College,3pmi,Dribble Jumper,Lucas Tovar,PNR,Right,Off,Laz Panagiotounis,P&R Roll Man,N/A,Slips,Liberty League,Liberty League,49,4.0,2024-12-06
49,RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Luke Granto,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,4.0,2024-12-06
