Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SAG,Bar,Sage Colleges,2pmi,To Basket,Deavion Springsteen,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,1,1.0,2025
SAG,Bar,Sage Colleges,2pmi,To Basket,Todd Williamson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,2,1.0,2025
SAG,Bar,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Empire 8,Liberty League,3,4.0,2025
SAG,Bar,Sage Colleges,3pMa,No Dribble Jumper,Noah Girard,PNR,Left,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,4,4.0,2025
SAG,Bar,Bard College,3pmi,No Dribble Jumper,Azriel Almodovar,PNR,Left,Off,Laz Panagiotounis,Spot Ups,N/A,Shot,Empire 8,Liberty League,5,4.0,2025
SAG,Bar,Sage Colleges,2pmi,Dribble Jumper,Trevor Green G,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,6,2.0,2025
SAG,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,7,1.0,2025
SAG,Bar,Sage Colleges,2pmi,To Basket,Todd Williamson,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,8,1.0,2025
SAG,Bar,Bard College,2pmi,To Basket,Azriel Almodovar,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,9,1.0,2025
SAG,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,11,1.0,2025
SAG,Bar,Sage Colleges,2pmi,Dribble Jumper,Noah Girard,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,12,2.0,2025
SAG,Bar,Bard College,2pMa,To Basket,Azriel Almodovar,PNR,High,Away,N/A,N/A,N/A,N/A,Empire 8,Liberty League,13,1.0,2025
SAG,Bar,Sage Colleges,3pMa,Dribble Jumper,Deavion Springsteen,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,14,4.0,2025
SAG,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,16,4.0,2025
SAG,Bar,Bard College,3pmi,No Dribble Jumper,Azriel Almodovar,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,18,4.0,2025
SAG,Bar,Sage Colleges,2pmi,Drop Step,Avery Oduro-Dompreh,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,19,1.0,2025
SAG,Bar,Bard College,2pmi,To Basket,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,20,1.0,2025
SAG,Bar,Sage Colleges,2pMa,To Basket,Trevor Green G,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,21,1.0,2025
SAG,Bar,Bard College,3pMa,Dribble Jumper,Laz Panagiotounis,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,22,4.0,2025
SAG,Bar,Sage Colleges,2pmi,Dribble Jumper,Trevor Green G,PNR,High,Away,N/A,N/A,N/A,N/A,Empire 8,Liberty League,23,3.0,2025
SAG,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,24,1.0,2025
SAG,Bar,Sage Colleges,Turnover,To Basket,Avery Oduro-Dompreh,Post,Left,Left Shoulder,Ivan OduroDompreh,Cuts,N/A,Basket,Empire 8,Liberty League,26,1.0,2025
SAG,Bar,Bard College,Turnover,N/A,Lucas Tovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,27,1.0,2025
SAG,Bar,Sage Colleges,2pmi,To Basket,Adam Myers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,28,1.0,2025
SAG,Bar,Bard College,2pMa,To Basket,Rowan Heinze,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,29,1.0,2025
SAG,Bar,Sage Colleges,2pMa,Dribble Jumper,Noah Girard,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,30,2.0,2025
