index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SKD,Bar,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,4.0,2025-01-24
1,SKD,Bar,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,4.0,2025-01-24
2,SKD,Bar,Skidmore Thoroughbreds,2pmi,No Dribble Jumper,Alexei Downie,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,3.0,2025-01-24
3,SKD,Bar,Bard College,3pMa,No Dribble Jumper,Ahmad Rauf,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2025-01-24
4,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,4.0,2025-01-24
6,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Hakeem Daphnis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-24
7,SKD,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-24
8,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,4.0,2025-01-24
9,SKD,Bar,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2025-01-24
10,SKD,Bar,Bard College,2pmi,To Basket,Azriel Almodovar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-24
11,SKD,Bar,Skidmore Thoroughbreds,2pmi,To Basket,Hakeem Daphnis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-24
12,SKD,Bar,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-24
13,SKD,Bar,Bard College,2pmi,Dribble Jumper,Laz Panagiotounis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,3.0,2025-01-24
14,SKD,Bar,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,4.0,2025-01-24
15,SKD,Bar,Bard College,2pMa,To Basket,Rowan Heinze,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2025-01-24
16,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Joey Skoric,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,4.0,2025-01-24
17,SKD,Bar,Bard College,2pMa,To Basket,Rowan Heinze,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-24
18,SKD,Bar,Skidmore Thoroughbreds,Turnover,N/A,Joey Skoric,Post,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2025-01-24
19,SKD,Bar,Bard College,2pMa,To Basket,Laz Panagiotounis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2025-01-24
20,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Alexei Downie,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,4.0,2025-01-24
21,SKD,Bar,Bard College,2pmi,To Basket,Rowan Heinze,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2025-01-24
22,SKD,Bar,Skidmore Thoroughbreds,Turnover,N/A,Hakeem Daphnis,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,1.0,2025-01-24
23,SKD,Bar,Bard College,2pmi,To Basket,Ahmad Rauf,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025-01-24
25,SKD,Bar,Bard College,3pmi,Dribble Jumper,Laz Panagiotounis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,4.0,2025-01-24
26,SKD,Bar,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,4.0,2025-01-24
27,SKD,Bar,Bard College,2pmi,To Basket,Jalen Umstead,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,1.0,2025-01-24
31,SKD,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,4.0,2025-01-24
32,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Weisberg,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,4.0,2025-01-24
33,SKD,Bar,Bard College,3pMa,No Dribble Jumper,Jalen Umstead,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,4.0,2025-01-24
34,SKD,Bar,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Charlie Fantom,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,3.0,2025-01-24
35,SKD,Bar,Bard College,3pmi,No Dribble Jumper,Jalen Umstead,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,36,4.0,2025-01-24
36,SKD,Bar,Skidmore Thoroughbreds,2pmi,To Basket,Charlie Weisberg,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,1.0,2025-01-24
37,SKD,Bar,Bard College,3pMa,No Dribble Jumper,Sean Wilcox,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,38,4.0,2025-01-24
40,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Weisberg,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,41,4.0,2025-01-24
42,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Nick Padilla,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,4.0,2025-01-24
44,SKD,Bar,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Weisberg,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,4.0,2025-01-24
45,SKD,Bar,Bard College,2pMa,To Basket,Sean Wilcox,Iso,Left,N/A,Max Frei,Cuts,N/A,Basket,Liberty League,Liberty League,46,1.0,2025-01-24
46,SKD,Bar,Skidmore Thoroughbreds,2pmi,To Basket,Charlie Weisberg,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,1.0,2025-01-24
47,SKD,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,4.0,2025-01-24
48,SKD,Bar,Skidmore Thoroughbreds,Foul,No Dribble Jumper,Charlie Weisberg,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,4.0,2025-01-24
52,SKD,Bar,Bard College,2pMa,No Dribble Jumper,Laz Panagiotounis,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,53,3.0,2025-01-24
53,SKD,Bar,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Hakeem Daphnis,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,2.0,2025-01-24
55,SKD,Bar,Skidmore Thoroughbreds,2pmi,To Basket,Nick Padilla,PNR,High,Off,Ethan Madeiros,Cuts,N/A,Basket,Liberty League,Liberty League,56,1.0,2025-01-24
56,SKD,Bar,Bard College,3pmi,Dribble Jumper,Laz Panagiotounis,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,4.0,2025-01-24
57,SKD,Bar,Skidmore Thoroughbreds,Turnover,N/A,Nick Padilla,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,58,1.0,2025-01-24
59,SKD,Bar,Bard College,2pmi,To Basket,Laz Panagiotounis,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,60,1.0,2025-01-24
60,SKD,Bar,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,Post,Left,Left Shoulder,Joey Skoric,Spot Ups,N/A,Shot,Liberty League,Liberty League,61,4.0,2025-01-24
61,SKD,Bar,Skidmore Thoroughbreds,2pmi,To Basket,Jack LaGarde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,62,1.0,2025-01-24
62,SKD,Bar,Bard College,Turnover,To Basket,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,63,1.0,2025-01-24
