index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SLS,Bar,St. Lawrence Saints,2pmi,Dribble Jumper,Aiden Macaulay,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,3.0,2025-01-11
1,SLS,Bar,Bard College,2pmi,To Basket,Rowan Heinze,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-11
2,SLS,Bar,St. Lawrence Saints,2pmi,To Basket,Trey Syroka,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-11
4,SLS,Bar,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2025-01-11
5,SLS,Bar,St. Lawrence Saints,2pMa,To Basket,Adam Dudzinski,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-11
6,SLS,Bar,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,1.0,2025-01-11
8,SLS,Bar,St. Lawrence Saints,2pMa,Dribble Jumper,Trey Syroka,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,3.0,2025-01-11
9,SLS,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2025-01-11
10,SLS,Bar,St. Lawrence Saints,3pmi,No Dribble Jumper,Adam Dudzinski,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,4.0,2025-01-11
13,SLS,Bar,St. Lawrence Saints,3pmi,Dribble Jumper,Adam Dudzinski,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,4.0,2025-01-11
15,SLS,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2025-01-11
16,SLS,Bar,St. Lawrence Saints,Foul,To Basket,Aiden Macaulay,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-11
19,SLS,Bar,Bard College,2pMa,To Basket,Azriel Almodovar,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2025-01-11
20,SLS,Bar,St. Lawrence Saints,3pmi,No Dribble Jumper,Adam Dudzinski,Iso,Top,N/A,Troy McPherson,Spot Ups,N/A,Shot,Liberty League,Liberty League,21,4.0,2025-01-11
21,SLS,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2025-01-11
22,SLS,Bar,St. Lawrence Saints,2pmi,To Basket,Chris Downs Jr.,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,1.0,2025-01-11
23,SLS,Bar,St. Lawrence Saints,2pmi,To Basket,Adam Dudzinski,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025-01-11
24,SLS,Bar,St. Lawrence Saints,2pmi,To Basket,Adam Dudzinski,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2025-01-11
25,SLS,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2025-01-11
26,SLS,Bar,St. Lawrence Saints,Turnover,N/A,Alexi Twahili,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2025-01-11
