index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,UMM,Bar,US Merchant Marine Academy,3pmi,No Dribble Jumper,Clark Castleberry,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,4.0,2025-01-02
1,UMM,Bar,Bard College,Turnover,N/A,Rowan Heinze,Post,Left,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,1.0,2025-01-02
2,UMM,Bar,US Merchant Marine Academy,Turnover,N/A,Clark Castleberry,Post,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,3,1.0,2025-01-02
3,UMM,Bar,Bard College,Turnover,N/A,Sean Wilcox,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,1.0,2025-01-02
4,UMM,Bar,US Merchant Marine Academy,3pMa,Dribble Jumper,Mason Lavergne,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,4.0,2025-01-02
5,UMM,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,4.0,2025-01-02
6,UMM,Bar,US Merchant Marine Academy,3pmi,No Dribble Jumper,Isaac Vencel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,7,4.0,2025-01-02
7,UMM,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,8,1.0,2025-01-02
8,UMM,Bar,US Merchant Marine Academy,Turnover,N/A,Max Koeppl,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,1.0,2025-01-02
9,UMM,Bar,Bard College,2pmi,To Basket,Sean Wilcox,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2025-01-02
11,UMM,Bar,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,12,4.0,2025-01-02
13,UMM,Bar,US Merchant Marine Academy,2pmi,To Basket,Mason Lavergne,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,14,1.0,2025-01-02
