Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
ASU,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Lorenzo Rappa,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,4.0,2025
ASU,CU,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,4.0,2025
ASU,CU,Alfred State Pioneers,3pmi,No Dribble Jumper,Darius Cunningham Jr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,4.0,2025
ASU,CU,Alfred State Pioneers,Foul,To Basket,Mason Putnam,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,1.0,2025
ASU,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,4.0,2025
ASU,CU,Alfred State Pioneers,Turnover,N/A,Mason Putnam,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2025
ASU,CU,Clarkson University Golden Knights,2pMa,To Basket,Lorenzo Rappa,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,1.0,2025
ASU,CU,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,PNR,Right,Off,Dylan Perry,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,12,4.0,2025
ASU,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,13,4.0,2025
ASU,CU,Alfred State Pioneers,3pmi,No Dribble Jumper,Dylan Perry,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,14,4.0,2025
ASU,CU,Alfred State Pioneers,2pmi,To Basket,Michael Miller,Iso,Left,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,1.0,2025
