index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,Right,Off,Brody Brown,Spot Ups,N/A,Shot,Liberty League,Liberty League,1,4.0,2025-01-24
1,RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Finn Cork,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-24
2,RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2025-01-24
3,RIT,CU,Rochester Institute of Technology Tigers,Foul,To Basket,Nolan Smih,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-24
6,RIT,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-24
7,RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,8,4.0,2025-01-24
9,RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2025-01-24
11,RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-24
12,RIT,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-24
13,RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,4.0,2025-01-24
14,RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025-01-24
15,RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Iso,Right,N/A,Nolan Smih,Cuts,N/A,Basket,Liberty League,Liberty League,16,1.0,2025-01-24
16,RIT,CU,Clarkson University Golden Knights,2pMa,To Basket,Lorenzo Rappa,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-24
17,RIT,CU,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-24
