Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SCK,CU,Clarkson University Golden Knights,Turnover,N/A,Braeden Burns,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,1,1.0,2025
SCK,CU,SUNY Canton Kangaroos,2pmi,To Basket,Kevin Goode Jr,PNR,High,Off,Jevonte Williams,Spot Ups,Left,Drive,SUNYAC,Liberty League,2,1.0,2025
SCK,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,3,4.0,2025
SCK,CU,SUNY Canton Kangaroos,2pMa,To Basket,Bryon Streb,Iso,Right,N/A,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,4,1.0,2025
SCK,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,5,4.0,2025
SCK,CU,SUNY Canton Kangaroos,Turnover,N/A,Kevin Goode Jr,Misc,N/A,N/A,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,7,1.0,2025
SCK,CU,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,8,1.0,2025
SCK,CU,Clarkson University Golden Knights,2pMa,To Basket,Jack Dalgety,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,10,1.0,2025
SCK,CU,SUNY Canton Kangaroos,2pmi,Dribble Jumper,Kevin Goode Jr,Iso,Left,N/A,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,11,3.0,2025
SCK,CU,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,12,1.0,2025
SCK,CU,SUNY Canton Kangaroos,Turnover,N/A,Jevonte Williams,PNR,High,Away,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,13,1.0,2025
SCK,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,14,4.0,2025
SCK,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,16,4.0,2025
SCK,CU,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Post,Right,Right Shoulder,Finn Cork,Cuts,N/A,Basket,SUNYAC,Liberty League,19,1.0,2025
SCK,CU,SUNY Canton Kangaroos,Turnover,N/A,Kevin Goode Jr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,20,1.0,2025
SCK,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,21,4.0,2025
