index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,VC,CU,Vassar Brewers,2pMa,To Basket,Nathan Denham,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-31
1,VC,CU,Clarkson University Golden Knights,2pmi,To Basket,Steve DeRegis,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-31
2,VC,CU,Vassar Brewers,2pmi,To Basket,Shea Fitzgerald,PNR,Right,Off,Nathan Denham,Cuts,N/A,Basket,Liberty League,Liberty League,3,1.0,2025-01-31
3,VC,CU,Vassar Brewers,2pmi,To Basket,Nathan Denham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-31
4,VC,CU,Clarkson University Golden Knights,Turnover,N/A,Lorenzo Rappa,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2025-01-31
5,VC,CU,Vassar Brewers,Turnover,N/A,Sebastian Medina,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-31
6,VC,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-31
7,VC,CU,Vassar Brewers,2pmi,Dribble Jumper,Avery Lee,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,2.0,2025-01-31
8,VC,CU,Clarkson University Golden Knights,Turnover,N/A,Finn Cork,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2025-01-31
9,VC,CU,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2025-01-31
10,VC,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,4.0,2025-01-31
11,VC,CU,Vassar Brewers,Foul,To Basket,Avery Lee,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-31
14,VC,CU,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Jack Dalgety,Post,Left,Left Shoulder,Lorenzo Rappa,Spot Ups,N/A,Shot,Liberty League,Liberty League,15,4.0,2025-01-31
15,VC,CU,Vassar Brewers,Turnover,To Basket,Avery Lee,PNR,High,Away,Nathan Denham,Cuts,N/A,Basket,Liberty League,Liberty League,16,1.0,2025-01-31
16,VC,CU,Clarkson University Golden Knights,Turnover,N/A,Lorenzo Rappa,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-31
17,VC,CU,Vassar Brewers,2pmi,N/A,Shea Fitzgerald,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-31
18,VC,CU,Clarkson University Golden Knights,Turnover,To Basket,Braeden Burns,PNR,Left,Off,Finn Cork,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,19,1.0,2025-01-31
19,VC,CU,Vassar Brewers,Turnover,N/A,Avery Lee,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2025-01-31
20,VC,CU,Clarkson University Golden Knights,Turnover,N/A,Lorenzo Rappa,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2025-01-31
21,VC,CU,Vassar Brewers,3pmi,No Dribble Jumper,Avery Lee,PNR,Right,Off,Alex Walters,Spot Ups,N/A,Shot,Liberty League,Liberty League,22,4.0,2025-01-31
