index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,Hook Shot,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,1,1.0,2024-11-08
1,RIT,FIT,Fitchburg State,2pmi,Dribble Jumper,Braeden White,PNR,High,Off,Kamau Franks,Spot Ups,Right,Drive,Liberty League,UNKNOWN,2,2.0,2024-11-08
4,RIT,FIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,5,4.0,2024-11-08
6,RIT,FIT,Rochester Institute of Technology Tigers,Foul,To Basket,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,1.0,2024-11-08
9,RIT,FIT,Fitchburg State,2pmi,To Basket,Jalen Jackson,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,10,1.0,2024-11-08
10,RIT,FIT,Fitchburg State,Foul,To Basket,Jalen Jackson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,11,1.0,2024-11-08
13,RIT,FIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,14,4.0,2024-11-08
14,RIT,FIT,Fitchburg State,Turnover,N/A,Jeremiah Simeon,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,15,1.0,2024-11-08
15,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Post,Right,Right Shoulder,Chase Dickens,Spot Ups,Right,Drive,Liberty League,UNKNOWN,16,1.0,2024-11-08
16,RIT,FIT,Rochester Institute of Technology Tigers,And1,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,17,1.0,2024-11-08
18,RIT,FIT,Fitchburg State,2pmi,No Dribble Jumper,Alex Moemeka,PNR,Right,Off,Kamau Franks,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,19,3.0,2024-11-08
19,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,20,1.0,2024-11-08
21,RIT,FIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,22,4.0,2024-11-08
22,RIT,FIT,Fitchburg State,2pmi,To Basket,Alex Moemeka,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,23,1.0,2024-11-08
23,RIT,FIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,24,1.0,2024-11-08
24,RIT,FIT,Fitchburg State,2pmi,To Basket,Jalen Jackson,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,25,1.0,2024-11-08
25,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,26,1.0,2024-11-08
26,RIT,FIT,Rochester Institute of Technology Tigers,Foul,To Basket,Chase Dickens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,27,1.0,2024-11-08
32,RIT,FIT,Fitchburg State,Turnover,N/A,Alex Moemeka,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,33,1.0,2024-11-08
33,RIT,FIT,Rochester Institute of Technology Tigers,Turnover,N/A,Nolan Smih,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,34,1.0,2024-11-08
34,RIT,FIT,Fitchburg State,Foul,To Basket,Jalen Jackson,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,35,1.0,2024-11-08
37,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,High,Off,Brody Brown,Spot Ups,Left,Drive,Liberty League,UNKNOWN,38,1.0,2024-11-08
38,RIT,FIT,Rochester Institute of Technology Tigers,Turnover,N/A,Mark Osime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,39,1.0,2024-11-08
39,RIT,FIT,Fitchburg State,2pMa,To Basket,Jalen Jackson,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,40,1.0,2024-11-08
40,RIT,FIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,41,1.0,2024-11-08
41,RIT,FIT,Fitchburg State,Foul,To Basket,Joshua Jean Charles,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,42,1.0,2024-11-08
44,RIT,FIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,PNR,High,Away,Chase Dickens,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,45,4.0,2024-11-08
45,RIT,FIT,Fitchburg State,Turnover,N/A,Matthew Drayton,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,46,1.0,2024-11-08
46,RIT,FIT,Rochester Institute of Technology Tigers,Foul,To Basket,Josiah Turner,Post,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,47,1.0,2024-11-08
49,RIT,FIT,Fitchburg State,2pmi,Dribble Jumper,Nathaniel Semedo,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,50,2.0,2024-11-08
50,RIT,FIT,Rochester Institute of Technology Tigers,Turnover,N/A,Mark Osime,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,51,1.0,2024-11-08
51,RIT,FIT,Fitchburg State,Turnover,To Basket,Jalen Jackson,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,52,1.0,2024-11-08
52,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Mark Osime,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,53,1.0,2024-11-08
53,RIT,FIT,Fitchburg State,3pMa,No Dribble Jumper,Jalen Jackson,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,54,4.0,2024-11-08
54,RIT,FIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,PNR,High,Off,Chase Dickens,Spot Ups,Left,Drive,Liberty League,UNKNOWN,55,1.0,2024-11-08
55,RIT,FIT,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,56,1.0,2024-11-08
56,RIT,FIT,Fitchburg State,2pMa,No Dribble Jumper,Kamau Franks,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,57,3.0,2024-11-08
57,RIT,FIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,58,1.0,2024-11-08
58,RIT,FIT,Fitchburg State,3pMa,No Dribble Jumper,Braeden White,PNR,Left,Off,Kamau Franks,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,59,4.0,2024-11-08
59,RIT,FIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,60,1.0,2024-11-08
60,RIT,FIT,Fitchburg State,3pmi,No Dribble Jumper,Jalen Jackson,Post,Left,Left Shoulder,Braeden White,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,61,4.0,2024-11-08
61,RIT,FIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,62,4.0,2024-11-08
62,RIT,FIT,Fitchburg State,3pmi,No Dribble Jumper,Kamau Franks,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,63,4.0,2024-11-08
63,RIT,FIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,64,1.0,2024-11-08
65,RIT,FIT,Fitchburg State,Turnover,N/A,Braeden White,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,66,1.0,2024-11-08
66,RIT,FIT,Rochester Institute of Technology Tigers,Foul,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,67,1.0,2024-11-08
