index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,IC,HC,Hamilton College,Turnover,N/A,Graham Robinson,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,1.0,2024-12-10
1,IC,HC,Ithaca College,2pMa,To Basket,Evan Cabral,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,1.0,2024-12-10
2,IC,HC,Hamilton College,2pMa,To Basket,Hank Morgan,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,3,1.0,2024-12-10
3,IC,HC,Ithaca College,3pmi,No Dribble Jumper,Aidan Holmes,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,4.0,2024-12-10
4,IC,HC,Hamilton College,2pMa,Dribble Jumper,Hank Morgan,Off Screens,Left,Curl,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,2.0,2024-12-10
5,IC,HC,Ithaca College,Turnover,N/A,Aidan Holmes,Iso,Right,N/A,Evan Cabral,Spot Ups,Right,Drive,Liberty League,Empire 8,6,1.0,2024-12-10
6,IC,HC,Hamilton College,2pMa,To Basket,Teja Singh,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,1.0,2024-12-10
8,IC,HC,Ithaca College,Turnover,N/A,Chris Leysath,Post,Left,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,1.0,2024-12-10
9,IC,HC,Hamilton College,Turnover,N/A,Owen Kane,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,1.0,2024-12-10
10,IC,HC,Ithaca College,3pmi,Dribble Jumper,Evan Cabral,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,4.0,2024-12-10
11,IC,HC,Hamilton College,2pMa,To Basket,Hank Morgan,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,12,1.0,2024-12-10
12,IC,HC,Ithaca College,2pMa,To Basket,Evan Cabral,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,13,1.0,2024-12-10
13,IC,HC,Hamilton College,3pmi,No Dribble Jumper,Graham Robinson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,14,4.0,2024-12-10
14,IC,HC,Ithaca College,3pmi,Dribble Jumper,Aidan Holmes,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,15,4.0,2024-12-10
15,IC,HC,Hamilton College,Turnover,N/A,Owen Kane,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,16,1.0,2024-12-10
16,IC,HC,Ithaca College,3pmi,No Dribble Jumper,Evan Cabral,PNR,High,Off,Aidan Holmes,Spot Ups,N/A,Shot,Liberty League,Empire 8,17,4.0,2024-12-10
18,IC,HC,Hamilton College,2pmi,To Basket,Garret Keyhani,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,19,1.0,2024-12-10
