Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
Bar,HAR,Hartwick,Turnover,N/A,Henry Perkins,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,1.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,1.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Brian Bonin,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,1.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Malachi Polson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,6,4.0,2025
Bar,HAR,Bard College,3pMa,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,4.0,2025
Bar,HAR,Hartwick,3pmi,Dribble Jumper,Malachi Polson,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,8,4.0,2025
Bar,HAR,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,4.0,2025
Bar,HAR,Hartwick,Turnover,N/A,Mike Gitz,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,1.0,2025
Bar,HAR,Bard College,Foul,To Basket,Sean Wilcox,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,1.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Joey Mclaurin,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,14,4.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,15,4.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Sean Wilcox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,16,2.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Malachi Polson,PNR,Right,Away,Joey Mclaurin,Spot Ups,N/A,Shot,Liberty League,Empire 8,17,4.0,2025
Bar,HAR,Bard College,2pMa,Dribble Jumper,Ahmad Rauf,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,18,2.0,2025
Bar,HAR,Hartwick,2pMa,To Basket,Henry Perkins,Post,Right,N/A,Xymier Thomas,Cuts,N/A,Basket,Liberty League,Empire 8,19,1.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,20,1.0,2025
Bar,HAR,Hartwick,3pmi,No Dribble Jumper,Joey Mclaurin,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,21,4.0,2025
Bar,HAR,Hartwick,2pMa,To Basket,Henry Perkins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,22,1.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,23,4.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Xymier Thomas,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,24,1.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,25,4.0,2025
Bar,HAR,Hartwick,3pmi,No Dribble Jumper,Henry Perkins,Post,Right,N/A,Malachi Polson,Spot Ups,N/A,Shot,Liberty League,Empire 8,26,4.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Malachi Polson,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,27,1.0,2025
Bar,HAR,Bard College,2pmi,Dribble Jumper,Lucas Tovar,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,29,2.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Cosmo Hardinson,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,30,1.0,2025
Bar,HAR,Bard College,3pMa,No Dribble Jumper,Max Frei,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,31,4.0,2025
Bar,HAR,Hartwick,2pMa,To Basket,Joey Mclaurin,PNR,Right,Off,Cosmo Hardinson,Cuts,N/A,Basket,Liberty League,Empire 8,32,1.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Lucas Tovar,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,33,1.0,2025
Bar,HAR,Hartwick,2pMa,Dribble Jumper,Joey Mclaurin,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,34,3.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,35,4.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Jalen Umstead,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,37,4.0,2025
Bar,HAR,Hartwick,2pMa,Dribble Jumper,Joey Mclaurin,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,38,2.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,39,1.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Joey Mclaurin,PNR,Right,Away,N/A,N/A,N/A,N/A,Liberty League,Empire 8,40,1.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Iso,Right,N/A,Sean Wilcox,Spot Ups,N/A,Shot,Liberty League,Empire 8,41,4.0,2025
Bar,HAR,Bard College,2pmi,Drop Step,Laz Panagiotounis,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,43,1.0,2025
Bar,HAR,Bard College,2pmi,To Basket,Jalen Umstead,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,44,1.0,2025
Bar,HAR,Hartwick,Foul,To Basket,Joey Mclaurin,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,45,1.0,2025
Bar,HAR,Bard College,Turnover,N/A,Ahmad Rauf,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,48,1.0,2025
