index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SMP,HOB,SUNY Maritime Privateers,2pMa,To Basket,Jake Murphy,PNR,Left,N/A,Jake Devaney,P&R Roll Man,N/A,Slips,UNKNOWN,Liberty League,1,1.0,2024-12-30
1,SMP,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Alex Moesch,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,2.0,2024-12-30
2,SMP,HOB,SUNY Maritime Privateers,2pMa,To Basket,Tyler Anderson,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,3,1.0,2024-12-30
3,SMP,HOB,Hobart College Statesmen,Turnover,N/A,Carter Meshanic,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,1.0,2024-12-30
4,SMP,HOB,SUNY Maritime Privateers,3pmi,No Dribble Jumper,Theo Noble,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,4.0,2024-12-30
5,SMP,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Alex Moesch,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,4.0,2024-12-30
7,SMP,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Hunter Meshanic,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,8,4.0,2024-12-30
8,SMP,HOB,SUNY Maritime Privateers,3pmi,Dribble Jumper,Theo Noble,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,4.0,2024-12-30
9,SMP,HOB,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,PNR,Left,Away,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2024-12-30
10,SMP,HOB,SUNY Maritime Privateers,2pmi,Dribble Jumper,Theo Noble,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,2.0,2024-12-30
11,SMP,HOB,SUNY Maritime Privateers,3pmi,Dribble Jumper,Tyler Anderson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,12,4.0,2024-12-30
12,SMP,HOB,SUNY Maritime Privateers,2pmi,To Basket,Evan Block,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,13,1.0,2024-12-30
14,SMP,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,1.0,2024-12-30
15,SMP,HOB,SUNY Maritime Privateers,3pMa,No Dribble Jumper,Evan Block,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,16,4.0,2024-12-30
16,SMP,HOB,Hobart College Statesmen,2pMa,To Basket,Hunter Meshanic,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,17,1.0,2024-12-30
17,SMP,HOB,SUNY Maritime Privateers,Turnover,N/A,Tyler Anderson,PNR,Left,Off,Theo Noble,Spot Ups,Right,Drive,UNKNOWN,Liberty League,18,1.0,2024-12-30
18,SMP,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Alex Moesch,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,19,4.0,2024-12-30
19,SMP,HOB,SUNY Maritime Privateers,2pMa,N/A,Jake Murphy,Post,Left,Face Up,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,20,1.0,2024-12-30
20,SMP,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,21,4.0,2024-12-30
21,SMP,HOB,SUNY Maritime Privateers,2pmi,To Basket,Tyler Anderson,Iso,Top,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,22,1.0,2024-12-30
22,SMP,HOB,SUNY Maritime Privateers,Turnover,N/A,Jesse Tricario,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,23,1.0,2024-12-30
23,SMP,HOB,Hobart College Statesmen,Turnover,N/A,Pat Healy,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,24,1.0,2024-12-30
