Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
YPA,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Alex Moesch,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,3.0,2025
YPA,HOB,Hobart College Statesmen,Turnover,N/A,Allen Mordi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,1.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Tate Landis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,3,4.0,2025
YPA,HOB,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,PNR,Left,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,1.0,2025
YPA,HOB,York (PA) Spartans,2pMa,To Basket,Kai Cipalla,Post,Left,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,1.0,2025
YPA,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Alex Moesch,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,7,4.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Nick Schroeder,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,8,4.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,To Basket,Alex Moesch,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,1.0,2025
YPA,HOB,York (PA) Spartans,2pMa,To Basket,Jayden Rowe,Hand Offs,Left,Stationary,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,1.0,2025
YPA,HOB,York (PA) Spartans,And1,N/A,Kai Cipalla,Post,Right,Face Up,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,12,1.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,To Basket,Aidan Rodgers,PNR,Right,Off,Carter Meshanic,Spot Ups,Left,Drive,UNKNOWN,Liberty League,14,1.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Jayden Rowe,PNR,High,Off,Tate Landis,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,15,4.0,2025
YPA,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,16,1.0,2025
YPA,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,17,1.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,18,1.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Pat Gilhool,PNR,High,N/A,Jackson Mascari,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,19,4.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Alex Moesch,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,20,3.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Pat Gilhool,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,21,4.0,2025
YPA,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,PNR,Right,Off,Alex Moesch,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,22,4.0,2025
YPA,HOB,York (PA) Spartans,3pMa,Dribble Jumper,Jayden Rowe,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,23,4.0,2025
YPA,HOB,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,24,1.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Jayden Rowe,PNR,Left,Off,Jackson Mascari,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,25,4.0,2025
YPA,HOB,Hobart College Statesmen,2pmi,To Basket,Alex Moesch,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,26,1.0,2025
YPA,HOB,York (PA) Spartans,Turnover,N/A,Jayden Rowe,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,27,1.0,2025
YPA,HOB,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,28,1.0,2025
YPA,HOB,York (PA) Spartans,2pMa,To Basket,Ben Troyer,PNR,High,Off,Tate Landis,Spot Ups,Right,Drive,UNKNOWN,Liberty League,29,1.0,2025
YPA,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Aidan Rodgers,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,30,4.0,2025
YPA,HOB,York (PA) Spartans,3pMa,No Dribble Jumper,Pat Gilhool,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,31,4.0,2025
YPA,HOB,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,33,1.0,2025
YPA,HOB,York (PA) Spartans,3pmi,No Dribble Jumper,Pat Gilhool,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,34,4.0,2025
