index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,HOB,IC,Ithaca College,2pmi,To Basket,Chris Leysath,Post,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-11
1,HOB,IC,Ithaca College,2pmi,To Basket,Chris Leysath,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-11
2,HOB,IC,Ithaca College,3pMa,No Dribble Jumper,Evan Cabral,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2025-01-11
3,HOB,IC,Hobart College Statesmen,2pMa,To Basket,Hunter Meshanic,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-11
4,HOB,IC,Ithaca College,3pMa,No Dribble Jumper,Logan Wendell,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,4.0,2025-01-11
5,HOB,IC,Hobart College Statesmen,2pmi,To Basket,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-11
6,HOB,IC,Ithaca College,3pmi,No Dribble Jumper,Jaylon O'Neal,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-11
7,HOB,IC,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Spot Ups,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-11
8,HOB,IC,Ithaca College,3pMa,No Dribble Jumper,Logan Wendell,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,4.0,2025-01-11
9,HOB,IC,Hobart College Statesmen,3pmi,No Dribble Jumper,Pat Healy,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2025-01-11
10,HOB,IC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,4.0,2025-01-11
13,HOB,IC,Hobart College Statesmen,And1,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2025-01-11
15,HOB,IC,Ithaca College,2pmi,To Basket,Logan Wendell,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2025-01-11
16,HOB,IC,Hobart College Statesmen,Foul,To Basket,Carter Meshanic,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-11
20,HOB,IC,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,4.0,2025-01-11
21,HOB,IC,Ithaca College,2pMa,To Basket,Jaylon O'Neal,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2025-01-11
23,HOB,IC,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025-01-11
24,HOB,IC,Ithaca College,And1,To Basket,Aidan Holmes,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2025-01-11
26,HOB,IC,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2025-01-11
27,HOB,IC,Ithaca College,3pMa,No Dribble Jumper,Evan Cabral,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,4.0,2025-01-11
28,HOB,IC,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,1.0,2025-01-11
29,HOB,IC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,4.0,2025-01-11
30,HOB,IC,Hobart College Statesmen,Turnover,To Basket,Carter Meshanic,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,1.0,2025-01-11
31,HOB,IC,Ithaca College,Foul,To Basket,Aidan Holmes,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,1.0,2025-01-11
34,HOB,IC,Hobart College Statesmen,3pMa,No Dribble Jumper,Monty Nedd,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,4.0,2025-01-11
