index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,HOB,Keu,Keuka,2pmi,Dribble Jumper,Akinlana Popoola,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,3.0,2024-11-22
1,HOB,Keu,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,1.0,2024-11-22
2,HOB,Keu,Keuka,Turnover,N/A,Akinlana Popoola,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,3,1.0,2024-11-22
3,HOB,Keu,Hobart College Statesmen,2pMa,To Basket,Allen Mordi,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,1.0,2024-11-22
4,HOB,Keu,Keuka,2pMa,To Basket,Makya Morrison,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,1.0,2024-11-22
5,HOB,Keu,Hobart College Statesmen,2pMa,To Basket,Alex Moesch,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Empire 8,6,1.0,2024-11-22
6,HOB,Keu,Keuka,2pmi,To Basket,Makya Morrison,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,1.0,2024-11-22
8,HOB,Keu,Keuka,2pMa,Dribble Jumper,Damon Brumfield,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,2.0,2024-11-22
9,HOB,Keu,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,1.0,2024-11-22
11,HOB,Keu,Hobart College Statesmen,2pmi,To Basket,Hunter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,12,1.0,2024-11-22
12,HOB,Keu,Keuka,3pmi,No Dribble Jumper,Damon Brumfield,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,13,4.0,2024-11-22
13,HOB,Keu,Hobart College Statesmen,2pmi,To Basket,Allen Mordi,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,14,1.0,2024-11-22
14,HOB,Keu,Keuka,3pmi,No Dribble Jumper,Will Tehan,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,15,4.0,2024-11-22
15,HOB,Keu,Hobart College Statesmen,3pmi,No Dribble Jumper,Hunter Meshanic,Post,Left,Left Shoulder,Alex Moesch,Spot Ups,N/A,Shot,Liberty League,Empire 8,16,4.0,2024-11-22
16,HOB,Keu,Keuka,2pmi,To Basket,Damon Brumfield,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,17,1.0,2024-11-22
17,HOB,Keu,Hobart College Statesmen,2pmi,To Basket,Allen Mordi,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,18,1.0,2024-11-22
18,HOB,Keu,Keuka,3pmi,No Dribble Jumper,Will Tehan,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,19,4.0,2024-11-22
