Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
Bar,MSM,Mount St. Mary College Blue Knights,3pMa,No Dribble Jumper,Matthew Walsh,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,1,4.0,2025
Bar,MSM,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,2,4.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,2pmi,To Basket,Connor Cyran,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,3,1.0,2025
Bar,MSM,Bard College,3pmi,Dribble Jumper,Ahmad Rauf,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,4,4.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,2pMa,N/A,Josiah Jones,Post,Right,Face Up,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,5,1.0,2025
Bar,MSM,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,6,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,3pmi,No Dribble Jumper,Josiah Jones,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,4.0,2025
Bar,MSM,Bard College,2pMa,To Basket,Rowan Heinze,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,8,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,3pMa,No Dribble Jumper,Connor Cyran,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,9,4.0,2025
Bar,MSM,Bard College,3pmi,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,10,4.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,2pmi,To Basket,Brendan Graham,PNR,High,Off,Matthew Walsh,Spot Ups,Left,Drive,Liberty League,UNKNOWN,11,1.0,2025
Bar,MSM,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,4.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,3pmi,No Dribble Jumper,Ryan Graham,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,13,4.0,2025
Bar,MSM,Bard College,2pMa,To Basket,Ahmad Rauf,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,14,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,3pmi,No Dribble Jumper,Josiah Jones,Post,Right,N/A,Ryan Graham,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,15,4.0,2025
Bar,MSM,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,16,4.0,2025
Bar,MSM,Bard College,Turnover,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,17,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,Turnover,N/A,Connor Cyran,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,18,1.0,2025
Bar,MSM,Bard College,Turnover,N/A,Azriel Almodovar,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,19,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,Turnover,N/A,JP Egan,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,20,1.0,2025
Bar,MSM,Bard College,3pmi,No Dribble Jumper,Azriel Almodovar,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,21,4.0,2025
Bar,MSM,Bard College,3pMa,No Dribble Jumper,Joshua Bayne,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,22,4.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,3pmi,No Dribble Jumper,Justin Rivera,PNR,Left,Off,Liam Lynch,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,23,4.0,2025
Bar,MSM,Bard College,Turnover,N/A,Max Frei,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,24,1.0,2025
Bar,MSM,Mount St. Mary College Blue Knights,2pmi,To Basket,Rob Geremino,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,26,1.0,2025
