index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,VC,ONU,Ohio Northern Polar Bears,2pMa,To Basket,Mason Studer,PNR,Left,Off,William Miller,Spot Ups,Right,Drive,Liberty League,UNKNOWN,1,1.0,2024-11-08
1,VC,ONU,Vassar Brewers,3pmi,No Dribble Jumper,Eric Zhang,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,2,4.0,2024-11-08
2,VC,ONU,Ohio Northern Polar Bears,3pmi,No Dribble Jumper,Theo Maag,Post,Left,N/A,William Miller,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,3,4.0,2024-11-08
4,VC,ONU,Ohio Northern Polar Bears,3pmi,No Dribble Jumper,Mason Studer,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,5,4.0,2024-11-08
6,VC,ONU,Ohio Northern Polar Bears,2pMa,Hook Shot,Theo Maag,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,1.0,2024-11-08
7,VC,ONU,Vassar Brewers,Turnover,N/A,Nathan Denham,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,8,1.0,2024-11-08
9,VC,ONU,Ohio Northern Polar Bears,2pMa,To Basket,Blake Michael,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,10,1.0,2024-11-08
10,VC,ONU,Vassar Brewers,2pmi,N/A,Shea Fitzgerald,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,11,1.0,2024-11-08
11,VC,ONU,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,1.0,2024-11-08
12,VC,ONU,Ohio Northern Polar Bears,3pMa,No Dribble Jumper,Carter Reese,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,13,4.0,2024-11-08
14,VC,ONU,Vassar Brewers,Turnover,N/A,Kreekor Karageuzian,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,15,1.0,2024-11-08
15,VC,ONU,Ohio Northern Polar Bears,Foul,Dribble Jumper,Mason Studer,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,16,2.0,2024-11-08
18,VC,ONU,Vassar Brewers,3pMa,No Dribble Jumper,Alex Walters,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,19,4.0,2024-11-08
