Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SLS,OST,St. Lawrence Saints,2pMa,To Basket,Aiden Macaulay,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,2,1.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Steven Bradley,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,3,4.0,2025
SLS,OST,Oswego State Lakers,Turnover,N/A,Ahkee Anderson,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,5,1.0,2025
SLS,OST,St. Lawrence Saints,2pMa,To Basket,Gavin Macaulay,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,6,1.0,2025
SLS,OST,Oswego State Lakers,Turnover,N/A,Steven Bradley,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,7,1.0,2025
SLS,OST,St. Lawrence Saints,3pmi,Dribble Jumper,Dan Anderson,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,8,4.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Billy Reyes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,10,4.0,2025
SLS,OST,St. Lawrence Saints,3pmi,No Dribble Jumper,Gavin Macaulay,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,11,4.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Cole Kattan,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,12,4.0,2025
SLS,OST,Oswego State Lakers,2pmi,To Basket,Deacon Judd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,13,1.0,2025
SLS,OST,Oswego State Lakers,2pMa,To Basket,Ahkee Anderson,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,14,1.0,2025
SLS,OST,St. Lawrence Saints,2pmi,Dribble Jumper,Aiden Macaulay,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,15,3.0,2025
SLS,OST,St. Lawrence Saints,2pmi,To Basket,Aiden Macaulay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,16,1.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Billy Reyes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,17,4.0,2025
SLS,OST,St. Lawrence Saints,Foul,To Basket,Andrew Cowan,Post,Middle,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,19,1.0,2025
SLS,OST,Oswego State Lakers,2pmi,To Basket,Billy Reyes,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,22,1.0,2025
SLS,OST,St. Lawrence Saints,3pmi,No Dribble Jumper,Adam Dudzinski,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,23,4.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Xavier Allen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,24,4.0,2025
SLS,OST,St. Lawrence Saints,Foul,To Basket,Andrew Cowan,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,25,1.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Ahkee Anderson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,29,4.0,2025
SLS,OST,Oswego State Lakers,Turnover,N/A,Ahkee Anderson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,31,1.0,2025
SLS,OST,St. Lawrence Saints,2pmi,Dribble Jumper,Adam Dudzinski,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,32,2.0,2025
SLS,OST,Oswego State Lakers,2pmi,To Basket,Ahkee Anderson,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,33,1.0,2025
SLS,OST,Oswego State Lakers,3pMa,No Dribble Jumper,Billy Reyes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,36,4.0,2025
SLS,OST,St. Lawrence Saints,3pmi,No Dribble Jumper,Dan Anderson,PNR,High,Away,Adam Dudzinski,Spot Ups,N/A,Shot,Liberty League,SUNYAC,37,4.0,2025
SLS,OST,St. Lawrence Saints,3pmi,No Dribble Jumper,Troy McPherson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,38,4.0,2025
SLS,OST,St. Lawrence Saints,2pMa,Dribble Jumper,Troy McPherson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,40,2.0,2025
SLS,OST,Oswego State Lakers,2pMa,Dribble Jumper,Ahkee Anderson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,41,2.0,2025
SLS,OST,St. Lawrence Saints,2pMa,To Basket,Gavin Macaulay,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,42,1.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Ahkee Anderson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,43,4.0,2025
SLS,OST,St. Lawrence Saints,3pmi,No Dribble Jumper,Dan Anderson,PNR,High,Off,Colton Suriano,Spot Ups,N/A,Shot,Liberty League,SUNYAC,44,4.0,2025
SLS,OST,Oswego State Lakers,2pMa,To Basket,Ahkee Anderson,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,45,1.0,2025
SLS,OST,St. Lawrence Saints,2pmi,To Basket,Dan Anderson,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,46,1.0,2025
SLS,OST,Oswego State Lakers,3pmi,Dribble Jumper,Billy Reyes,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,47,4.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Billy Reyes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,49,4.0,2025
SLS,OST,St. Lawrence Saints,2pmi,Dribble Jumper,Jack Wirtanen,Post,Left,Left Shoulder,Gavin Macaulay,Spot Ups,Right,Drive,Liberty League,SUNYAC,50,3.0,2025
SLS,OST,Oswego State Lakers,Turnover,N/A,Arthur Foster,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,52,1.0,2025
SLS,OST,St. Lawrence Saints,Turnover,N/A,Jack Wirtanen,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,53,1.0,2025
SLS,OST,Oswego State Lakers,2pMa,Dribble Jumper,Gary Mclane,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,54,2.0,2025
SLS,OST,St. Lawrence Saints,Turnover,N/A,Aiden Macaulay,PNR,Right,Off,Gavin Macaulay,Spot Ups,Left,Drive,Liberty League,SUNYAC,55,1.0,2025
SLS,OST,Oswego State Lakers,Turnover,N/A,Gary Mclane,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,56,1.0,2025
SLS,OST,St. Lawrence Saints,Turnover,N/A,Aiden Macaulay,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,57,1.0,2025
SLS,OST,Oswego State Lakers,3pMa,No Dribble Jumper,Xavier Allen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,58,4.0,2025
SLS,OST,St. Lawrence Saints,2pMa,To Basket,Brayden Shepardson,PNR,Left,Off,Andrew Cowan,P&R Roll Man,N/A,Roll,Liberty League,SUNYAC,61,1.0,2025
SLS,OST,Oswego State Lakers,2pMa,Dribble Jumper,Ahkee Anderson,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,63,2.0,2025
SLS,OST,St. Lawrence Saints,3pmi,Dribble Jumper,Adam Dudzinski,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,64,4.0,2025
SLS,OST,Oswego State Lakers,3pmi,No Dribble Jumper,Steven Bradley,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,65,4.0,2025
