Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
HOB,PSC,PennState-Behrend,3pmi,No Dribble Jumper,Dolan Waldo,Post,Right,Face Up,Matthew McDonough,Spot Ups,N/A,Shot,Liberty League,SUNYAC,1,4.0,2025
HOB,PSC,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,2,1.0,2025
HOB,PSC,Hobart College Statesmen,2pmi,To Basket,Hunter Meshanic,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,4,1.0,2025
HOB,PSC,PennState-Behrend,2pmi,No Dribble Jumper,Mason Blankenberg,PNR,Right,Off,Dolan Waldo,P&R Roll Man,N/A,Slips,Liberty League,SUNYAC,5,2.0,2025
HOB,PSC,Hobart College Statesmen,3pmi,No Dribble Jumper,Aidan Rodgers,Off Screens,Left,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,6,4.0,2025
HOB,PSC,PennState-Behrend,3pmi,No Dribble Jumper,Matthew McDonough,PNR,High,Off,Mason Blankenberg,Spot Ups,N/A,Shot,Liberty League,SUNYAC,7,4.0,2025
HOB,PSC,Hobart College Statesmen,2pMa,To Basket,Allen Mordi,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,8,1.0,2025
HOB,PSC,PennState-Behrend,2pMa,Dribble Jumper,Dolan Waldo,Post,Left,Left Shoulder,Mason Blankenberg,Spot Ups,Left,Drive,Liberty League,SUNYAC,9,2.0,2025
HOB,PSC,Hobart College Statesmen,Foul,To Basket,Carter Meshanic,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,10,1.0,2025
HOB,PSC,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,14,1.0,2025
HOB,PSC,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,15,1.0,2025
HOB,PSC,PennState-Behrend,2pmi,To Basket,Tommy DiRienzo,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,16,1.0,2025
HOB,PSC,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,17,1.0,2025
HOB,PSC,PennState-Behrend,Turnover,N/A,Tommy DiRienzo,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,18,1.0,2025
HOB,PSC,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,19,1.0,2025
HOB,PSC,PennState-Behrend,Turnover,To Basket,Tommy DiRienzo,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,20,1.0,2025
HOB,PSC,PennState-Behrend,2pmi,To Basket,Tommy DiRienzo,PNR,Right,Off,Matthew McDonough,Spot Ups,Left,Drive,Liberty League,SUNYAC,22,1.0,2025
