index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,Bar,RPI,Bard College,3pMa,Dribble Jumper,Laz Panagiotounis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,4.0,2025-01-18
1,Bar,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,4.0,2025-01-18
2,Bar,RPI,Bard College,3pmi,Dribble Jumper,Laz Panagiotounis,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2025-01-18
3,Bar,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,PNR,High,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2025-01-18
5,Bar,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Andrew Deppe,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,4.0,2025-01-18
6,Bar,RPI,Bard College,Turnover,N/A,Sean Wilcox,Post,Right,N/A,Rowan Heinze,Spot Ups,Left,Drive,Liberty League,Liberty League,7,1.0,2025-01-18
7,Bar,RPI,Rensselaer Polytechnic,Foul,To Basket,Dylan Matchett,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-18
10,Bar,RPI,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Iso,Top,N/A,Ahmad Rauf,Spot Ups,N/A,Shot,Liberty League,Liberty League,11,4.0,2025-01-18
11,Bar,RPI,Rensselaer Polytechnic,2pmi,To Basket,Avery Eugster,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-18
13,Bar,RPI,Rensselaer Polytechnic,2pMa,To Basket,Chuck Clemons,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2025-01-18
16,Bar,RPI,Bard College,3pMa,Dribble Jumper,Laz Panagiotounis,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,4.0,2025-01-18
17,Bar,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,PJ Scalisi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,4.0,2025-01-18
18,Bar,RPI,Bard College,2pMa,To Basket,Laz Panagiotounis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2025-01-18
19,Bar,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Chuck Clemons,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,2.0,2025-01-18
20,Bar,RPI,Bard College,2pmi,To Basket,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2025-01-18
21,Bar,RPI,Rensselaer Polytechnic,And1,To Basket,Chuck Clemons,Post,Left,N/A,Andrew Deppe,Cuts,N/A,Basket,Liberty League,Liberty League,22,1.0,2025-01-18
24,Bar,RPI,Bard College,2pMa,To Basket,Sean Wilcox,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2025-01-18
25,Bar,RPI,Rensselaer Polytechnic,Turnover,N/A,Avery Eugster,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2025-01-18
26,Bar,RPI,Bard College,2pmi,To Basket,Laz Panagiotounis,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2025-01-18
27,Bar,RPI,Rensselaer Polytechnic,2pMa,To Basket,Pat White,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,1.0,2025-01-18
28,Bar,RPI,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,4.0,2025-01-18
30,Bar,RPI,Rensselaer Polytechnic,Turnover,To Basket,Pat White,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,1.0,2025-01-18
32,Bar,RPI,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,4.0,2025-01-18
33,Bar,RPI,Rensselaer Polytechnic,Foul,Drop Step,Dylan Matchett,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,1.0,2025-01-18
36,Bar,RPI,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,4.0,2025-01-18
37,Bar,RPI,Rensselaer Polytechnic,2pmi,To Basket,Pat White,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,38,1.0,2025-01-18
38,Bar,RPI,Bard College,Foul,To Basket,Max Frei,PNR,High,Off,Lucas Tovar,Cuts,N/A,Basket,Liberty League,Liberty League,39,1.0,2025-01-18
41,Bar,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,42,4.0,2025-01-18
42,Bar,RPI,Bard College,Foul,To Basket,Laz Panagiotounis,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,1.0,2025-01-18
46,Bar,RPI,Rensselaer Polytechnic,Foul,To Basket,Yechiel Stewart,PNR,Right,Away,Pat White,Cuts,N/A,Basket,Liberty League,Liberty League,47,1.0,2025-01-18
49,Bar,RPI,Bard College,2pmi,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,1.0,2025-01-18
50,Bar,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,PJ Scalisi,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,51,4.0,2025-01-18
51,Bar,RPI,Bard College,3pMa,Dribble Jumper,Laz Panagiotounis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,52,4.0,2025-01-18
52,Bar,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,PJ Scalisi,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,53,4.0,2025-01-18
53,Bar,RPI,Bard College,Turnover,N/A,Rowan Heinze,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,1.0,2025-01-18
54,Bar,RPI,Rensselaer Polytechnic,2pMa,To Basket,Dylan Matchett,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,55,1.0,2025-01-18
55,Bar,RPI,Bard College,3pmi,Dribble Jumper,Laz Panagiotounis,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,56,4.0,2025-01-18
56,Bar,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,4.0,2025-01-18
