index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
1,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Jack Dalgety,Post,Middle,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2024-12-07
2,CU,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Chuck Clemons,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2024-12-07
3,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2024-12-07
5,CU,RPI,Rensselaer Polytechnic,Foul,To Basket,Avery Eugster,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2024-12-07
8,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Braeden Burns,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024-12-07
9,CU,RPI,Rensselaer Polytechnic,3pMa,Dribble Jumper,Chuck Clemons,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,4.0,2024-12-07
10,CU,RPI,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,4.0,2024-12-07
11,CU,RPI,Rensselaer Polytechnic,2pMa,To Basket,PJ Scalisi,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2024-12-07
12,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2024-12-07
13,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,4.0,2024-12-07
15,CU,RPI,Clarkson University Golden Knights,2pmi,Hook Shot,Finn Cork,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2024-12-07
16,CU,RPI,Rensselaer Polytechnic,2pmi,To Basket,Chuck Clemons,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2024-12-07
17,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,4.0,2024-12-07
18,CU,RPI,Rensselaer Polytechnic,2pmi,To Basket,Andrew Deppe,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2024-12-07
19,CU,RPI,Rensselaer Polytechnic,Foul,To Basket,Andrew Deppe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2024-12-07
22,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,4.0,2024-12-07
24,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Braeden Burns,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2024-12-07
25,CU,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Dylan Matchett,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,4.0,2024-12-07
26,CU,RPI,Clarkson University Golden Knights,3pmi,Dribble Jumper,Braeden Burns,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,4.0,2024-12-07
27,CU,RPI,Clarkson University Golden Knights,2pmi,Dribble Jumper,Ben Rappa,PNR,High,Off,Jack Dalgety,Spot Ups,Left,Drive,Liberty League,Liberty League,28,2.0,2024-12-07
28,CU,RPI,Rensselaer Polytechnic,2pMa,To Basket,PJ Scalisi,PNR,High,Off,Dylan Matchett,Cuts,N/A,Basket,Liberty League,Liberty League,29,1.0,2024-12-07
29,CU,RPI,Clarkson University Golden Knights,Foul,To Basket,Braeden Burns,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2024-12-07
34,CU,RPI,Clarkson University Golden Knights,Foul,To Basket,Jack Dalgety,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,1.0,2024-12-07
37,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Yechiel Stewart,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,38,4.0,2024-12-07
38,CU,RPI,Clarkson University Golden Knights,Turnover,N/A,Jack Dalgety,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,39,1.0,2024-12-07
39,CU,RPI,Rensselaer Polytechnic,Foul,To Basket,Nate Tawiah-Boateng,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,1.0,2024-12-07
42,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Ben Phillips,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,4.0,2024-12-07
44,CU,RPI,Rensselaer Polytechnic,3pmi,Dribble Jumper,Chuck Clemons,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,4.0,2024-12-07
45,CU,RPI,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Iso,Right,N/A,Matt Toscano,Spot Ups,N/A,Shot,Liberty League,Liberty League,46,4.0,2024-12-07
46,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Nate Tawiah-Boateng,Post,Right,Left Shoulder,Chuck Clemons,Spot Ups,N/A,Shot,Liberty League,Liberty League,47,4.0,2024-12-07
48,CU,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,1.0,2024-12-07
49,CU,RPI,Clarkson University Golden Knights,2pmi,To Basket,Ben Rappa,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,1.0,2024-12-07
50,CU,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Yechiel Stewart,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,51,3.0,2024-12-07
51,CU,RPI,Rensselaer Polytechnic,Foul,To Basket,Pat White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,52,1.0,2024-12-07
54,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,55,1.0,2024-12-07
55,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Yechiel Stewart,PNR,Right,Away,Nate Tawiah-Boateng,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,56,4.0,2024-12-07
56,CU,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,1.0,2024-12-07
57,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Post,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,58,1.0,2024-12-07
58,CU,RPI,Rensselaer Polytechnic,Turnover,To Basket,Yechiel Stewart,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,59,1.0,2024-12-07
59,CU,RPI,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,60,1.0,2024-12-07
60,CU,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Pat White,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,61,4.0,2024-12-07
61,CU,RPI,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,62,4.0,2024-12-07
62,CU,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Yechiel Stewart,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,63,4.0,2024-12-07
63,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Matt Toscano,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,64,4.0,2024-12-07
64,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Pat White,Post,Left,Left Shoulder,Nate Tawiah-Boateng,Spot Ups,N/A,Shot,Liberty League,Liberty League,65,4.0,2024-12-07
65,CU,RPI,Clarkson University Golden Knights,Turnover,N/A,Jeff Dewar,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,66,1.0,2024-12-07
66,CU,RPI,Rensselaer Polytechnic,Foul,To Basket,Chuck Clemons,PNR,Left,N/A,Nate Tawiah-Boateng,P&R Roll Man,N/A,Slips,Liberty League,Liberty League,67,1.0,2024-12-07
69,CU,RPI,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,70,4.0,2024-12-07
70,CU,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Yechiel Stewart,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,71,4.0,2024-12-07
