index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,HOB,RPI,Hobart College Statesmen,2pMa,Dribble Jumper,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,2.0,2025-01-04
1,HOB,RPI,Rensselaer Polytechnic,Turnover,N/A,Andrew Deppe,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-04
3,HOB,RPI,Hobart College Statesmen,2pmi,Dribble Jumper,Alex Moesch,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,2.0,2025-01-04
5,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,4.0,2025-01-04
6,HOB,RPI,Rensselaer Polytechnic,2pmi,No Dribble Jumper,Andrew Deppe,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,3.0,2025-01-04
7,HOB,RPI,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-04
8,HOB,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,PJ Scalisi,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,4.0,2025-01-04
9,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,PNR,Left,Off,Hunter Meshanic,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,10,4.0,2025-01-04
10,HOB,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Avery Eugster,PNR,Left,N/A,Chuck Clemons,Spot Ups,N/A,Shot,Liberty League,Liberty League,11,4.0,2025-01-04
11,HOB,RPI,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-04
13,HOB,RPI,Rensselaer Polytechnic,Foul,To Basket,Andrew Deppe,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2025-01-04
16,HOB,RPI,Hobart College Statesmen,2pmi,Dribble Jumper,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,3.0,2025-01-04
17,HOB,RPI,Rensselaer Polytechnic,2pMa,N/A,Chuck Clemons,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-04
18,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,PNR,High,Off,Pat Healy,Spot Ups,N/A,Shot,Liberty League,Liberty League,19,4.0,2025-01-04
19,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,PNR,High,Off,Andrew Deppe,Spot Ups,N/A,Shot,Liberty League,Liberty League,20,4.0,2025-01-04
21,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Alex Moesch,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,4.0,2025-01-04
22,HOB,RPI,Rensselaer Polytechnic,2pmi,To Basket,PJ Scalisi,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,1.0,2025-01-04
23,HOB,RPI,Hobart College Statesmen,3pmi,No Dribble Jumper,Pat Healy,PNR,High,Off,Hunter Meshanic,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,24,4.0,2025-01-04
24,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,4.0,2025-01-04
25,HOB,RPI,Rensselaer Polytechnic,And1,To Basket,Pat White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2025-01-04
27,HOB,RPI,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Iso,Top,N/A,Hunter Meshanic,Spot Ups,N/A,N/A,Liberty League,Liberty League,28,1.0,2025-01-04
28,HOB,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Pat White,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,4.0,2025-01-04
29,HOB,RPI,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2025-01-04
30,HOB,RPI,Rensselaer Polytechnic,2pmi,To Basket,Chuck Clemons,PNR,Left,Off,Nate Tawiah-Boateng,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,31,1.0,2025-01-04
31,HOB,RPI,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,1.0,2025-01-04
32,HOB,RPI,Rensselaer Polytechnic,2pmi,To Basket,Chuck Clemons,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,1.0,2025-01-04
33,HOB,RPI,Hobart College Statesmen,Foul,To Basket,Dorian Paki,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,1.0,2025-01-04
36,HOB,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Chuck Clemons,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,3.0,2025-01-04
38,HOB,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Chuck Clemons,PNR,High,N/A,Avery Eugster,Spot Ups,Right,Drive,Liberty League,Liberty League,39,2.0,2025-01-04
39,HOB,RPI,Hobart College Statesmen,Turnover,N/A,Carter Meshanic,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,1.0,2025-01-04
40,HOB,RPI,Rensselaer Polytechnic,2pMa,To Basket,Nate Tawiah-Boateng,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,41,1.0,2025-01-04
41,HOB,RPI,Hobart College Statesmen,3pmi,No Dribble Jumper,Monty Nedd,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,42,4.0,2025-01-04
43,HOB,RPI,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,44,1.0,2025-01-04
44,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,PNR,Right,Away,Tucker Tharpe,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,45,4.0,2025-01-04
45,HOB,RPI,Rensselaer Polytechnic,2pmi,To Basket,Yechiel Stewart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,46,1.0,2025-01-04
46,HOB,RPI,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,1.0,2025-01-04
47,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Yechiel Stewart,PNR,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,4.0,2025-01-04
48,HOB,RPI,Hobart College Statesmen,2pmi,Dribble Jumper,Pat Healy,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,3.0,2025-01-04
49,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,Iso,Top,N/A,Pat White,Spot Ups,N/A,Shot,Liberty League,Liberty League,50,4.0,2025-01-04
51,HOB,RPI,Hobart College Statesmen,2pmi,To Basket,Carter Meshanic,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,52,1.0,2025-01-04
53,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Gabriel Bergeron,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,4.0,2025-01-04
54,HOB,RPI,Rensselaer Polytechnic,2pmi,Hook Shot,Tucker Tharpe,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,55,1.0,2025-01-04
55,HOB,RPI,Hobart College Statesmen,Turnover,To Basket,Monty Nedd,PNR,High,Off,Dorian Paki,Cuts,N/A,Flash,Liberty League,Liberty League,56,1.0,2025-01-04
56,HOB,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,4.0,2025-01-04
58,HOB,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Yechiel Stewart,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,59,4.0,2025-01-04
59,HOB,RPI,Hobart College Statesmen,2pmi,To Basket,Monty Nedd,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,60,1.0,2025-01-04
60,HOB,RPI,Rensselaer Polytechnic,And1,No Dribble Jumper,Andrew Deppe,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,61,4.0,2025-01-04
62,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Gabriel Bergeron,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,63,4.0,2025-01-04
63,HOB,RPI,Rensselaer Polytechnic,Turnover,N/A,Dylan Matchett,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,64,1.0,2025-01-04
64,HOB,RPI,Hobart College Statesmen,3pMa,No Dribble Jumper,Gabriel Bergeron,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,65,4.0,2025-01-04
65,HOB,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Dylan Matchett,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,66,2.0,2025-01-04
66,HOB,RPI,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,67,1.0,2025-01-04
67,HOB,RPI,Hobart College Statesmen,And1,To Basket,Aidan Rodgers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,68,1.0,2025-01-04
69,HOB,RPI,Rensselaer Polytechnic,2pmi,To Basket,Pat White,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,70,1.0,2025-01-04
70,HOB,RPI,Rensselaer Polytechnic,2pmi,Hook Shot,Pat White,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,71,1.0,2025-01-04
71,HOB,RPI,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,72,1.0,2025-01-04
73,HOB,RPI,Rensselaer Polytechnic,Turnover,N/A,Andrew Deppe,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,74,1.0,2025-01-04
74,HOB,RPI,Hobart College Statesmen,2pmi,Dribble Jumper,Pat Healy,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,75,3.0,2025-01-04
76,HOB,RPI,Hobart College Statesmen,3pmi,Dribble Jumper,Aidan Rodgers,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,77,4.0,2025-01-04
77,HOB,RPI,Rensselaer Polytechnic,Turnover,To Basket,Avery Eugster,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,78,1.0,2025-01-04
