index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,PNR,Right,Away,PJ Scalisi,Spot Ups,N/A,Shot,Liberty League,Liberty League,1,4.0,2025-01-31
1,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,2.0,2025-01-31
3,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Nolan Smih,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2025-01-31
5,RIT,RPI,Rensselaer Polytechnic,2pmi,To Basket,Andrew Deppe,Post,Middle,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-31
6,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-31
8,RIT,RPI,Rochester Institute of Technology Tigers,Turnover,To Basket,Matt Caggiano,PNR,Right,N/A,Nolan Smih,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,9,1.0,2025-01-31
9,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Chuck Clemons,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2025-01-31
10,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,Hook Shot,Kenny Wilburn,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-31
12,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,PNR,High,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-31
14,RIT,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,PJ Scalisi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,4.0,2025-01-31
15,RIT,RPI,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,4.0,2025-01-31
