index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
1,SCK,RPI,Rensselaer Polytechnic,2pMa,Dribble Jumper,Chuck Clemons,PNR,Right,Off,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,2,2.0,2024-12-29
2,SCK,RPI,SUNY Canton Kangaroos,3pmi,No Dribble Jumper,Jevonte Williams,PNR,Left,Away,Kevin Goode Jr,Spot Ups,N/A,Shot,SUNYAC,Liberty League,3,4.0,2024-12-29
3,SCK,RPI,Rensselaer Polytechnic,2pmi,Drop Step,PJ Scalisi,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,4,1.0,2024-12-29
4,SCK,RPI,SUNY Canton Kangaroos,2pmi,Dribble Jumper,Moe Biao,PNR,Right,Off,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,5,3.0,2024-12-29
5,SCK,RPI,Rensselaer Polytechnic,2pmi,To Basket,Andrew Deppe,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,6,1.0,2024-12-29
8,SCK,RPI,SUNY Canton Kangaroos,2pmi,To Basket,Moe Biao,Post,Middle,Left Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,9,1.0,2024-12-29
9,SCK,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,10,4.0,2024-12-29
10,SCK,RPI,SUNY Canton Kangaroos,2pmi,To Basket,Jevonte Williams,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,11,1.0,2024-12-29
12,SCK,RPI,SUNY Canton Kangaroos,2pMa,To Basket,Bryon Streb,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,13,1.0,2024-12-29
14,SCK,RPI,Rensselaer Polytechnic,2pMa,To Basket,Dylan Matchett,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,15,1.0,2024-12-29
15,SCK,RPI,SUNY Canton Kangaroos,2pmi,To Basket,Tanner Sullivan,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,16,1.0,2024-12-29
16,SCK,RPI,Rensselaer Polytechnic,Foul,To Basket,Andrew Deppe,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,17,1.0,2024-12-29
19,SCK,RPI,SUNY Canton Kangaroos,2pmi,Dribble Jumper,Jevonte Williams,PNR,Right,Off,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,20,3.0,2024-12-29
20,SCK,RPI,Rensselaer Polytechnic,Turnover,To Basket,Chuck Clemons,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,21,1.0,2024-12-29
21,SCK,RPI,SUNY Canton Kangaroos,2pMa,To Basket,Tanner Sullivan,PNR,Left,Off,Bryon Streb,Spot Ups,Left,Drive,SUNYAC,Liberty League,22,1.0,2024-12-29
22,SCK,RPI,Rensselaer Polytechnic,2pmi,To Basket,Dylan Matchett,PNR,Right,Off,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,23,1.0,2024-12-29
23,SCK,RPI,SUNY Canton Kangaroos,Turnover,To Basket,Eli Larson,Post,Middle,Dribble,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,24,1.0,2024-12-29
24,SCK,RPI,Rensselaer Polytechnic,Turnover,To Basket,Avery Eugster,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,25,1.0,2024-12-29
25,SCK,RPI,SUNY Canton Kangaroos,Turnover,N/A,Eli Larson,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,26,1.0,2024-12-29
