index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pmi,Dribble Jumper,Elijah Morris,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,3.0,2024-11-23
1,SCF,RPI,Rensselaer Polytechnic,Turnover,To Basket,Andrew Deppe,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,2,1.0,2024-11-23
2,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Chalik Rush,Iso,Right,N/A,Jermaine Wheeler,Cuts,N/A,Basket,UNKNOWN,Liberty League,3,1.0,2024-11-23
3,SCF,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Dylan Matchett,PNR,Left,Away,Avery Eugster,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,4,4.0,2024-11-23
4,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,Dribble Jumper,Chalik Rush,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,2.0,2024-11-23
5,SCF,RPI,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Avery Eugster,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,4.0,2024-11-23
6,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Quanire Greene,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,7,1.0,2024-11-23
7,SCF,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,8,1.0,2024-11-23
8,SCF,RPI,SUNY Cobleskill Fighting Tigers,Turnover,To Basket,Devin Dennard,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,1.0,2024-11-23
9,SCF,RPI,Rensselaer Polytechnic,2pMa,To Basket,Andrew Deppe,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,10,1.0,2024-11-23
10,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pmi,Dribble Jumper,Elijah Morris,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,3.0,2024-11-23
11,SCF,RPI,Rensselaer Polytechnic,2pmi,To Basket,Andrew Deppe,Post,Right,N/A,Chuck Clemons,Cuts,N/A,Basket,UNKNOWN,Liberty League,12,1.0,2024-11-23
12,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Quanire Greene,PNR,High,Away,Jermaine Wheeler,P&R Roll Man,N/A,Roll,UNKNOWN,Liberty League,13,1.0,2024-11-23
13,SCF,RPI,Rensselaer Polytechnic,2pmi,Drop Step,Andrew Deppe,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,14,1.0,2024-11-23
14,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pmi,To Basket,Jermaine Wheeler,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,1.0,2024-11-23
16,SCF,RPI,Rensselaer Polytechnic,Turnover,N/A,Pat White,PNR,High,N/A,Andrew Deppe,P&R Roll Man,N/A,Slips,UNKNOWN,Liberty League,17,1.0,2024-11-23
17,SCF,RPI,SUNY Cobleskill Fighting Tigers,And1,To Basket,Quanire Greene,PNR,High,Away,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,18,1.0,2024-11-23
19,SCF,RPI,Rensselaer Polytechnic,2pmi,To Basket,Andrew Deppe,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,20,1.0,2024-11-23
20,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Elijah Morris,PNR,High,Off,Rowan Morel,Cuts,N/A,Basket,UNKNOWN,Liberty League,21,1.0,2024-11-23
21,SCF,RPI,Rensselaer Polytechnic,Foul,To Basket,Abubacarr Camara,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,22,1.0,2024-11-23
24,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Elijah Morris,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,25,1.0,2024-11-23
26,SCF,RPI,Rensselaer Polytechnic,Turnover,N/A,Nate Tawiah-Boateng,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,27,1.0,2024-11-23
27,SCF,RPI,SUNY Cobleskill Fighting Tigers,3pmi,Dribble Jumper,Quanire Greene,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,28,4.0,2024-11-23
28,SCF,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Yechiel Stewart,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,29,2.0,2024-11-23
30,SCF,RPI,Rensselaer Polytechnic,Foul,To Basket,Yechiel Stewart,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,31,1.0,2024-11-23
34,SCF,RPI,Rensselaer Polytechnic,Turnover,N/A,Pat White,Spot Ups,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,35,1.0,2024-11-23
35,SCF,RPI,SUNY Cobleskill Fighting Tigers,2pMa,To Basket,Tristian George,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,36,1.0,2024-11-23
36,SCF,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,37,4.0,2024-11-23
37,SCF,RPI,SUNY Cobleskill Fighting Tigers,Turnover,N/A,Tristian George,PNR,Left,Away,Chace Peterson,P&R Roll Man,Right,Pop,UNKNOWN,Liberty League,38,1.0,2024-11-23
38,SCF,RPI,Rensselaer Polytechnic,Turnover,N/A,Yechiel Stewart,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,39,1.0,2024-11-23
39,SCF,RPI,SUNY Cobleskill Fighting Tigers,And1,To Basket,Nasir Snell,PNR,High,Off,Marquay Tanksley,Spot Ups,Straight,Drive,UNKNOWN,Liberty League,40,1.0,2024-11-23
42,SCF,RPI,Rensselaer Polytechnic,Foul,No Dribble Jumper,Yechiel Stewart,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,43,4.0,2024-11-23
46,SCF,RPI,SUNY Cobleskill Fighting Tigers,3pmi,Dribble Jumper,Nasir Snell,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,47,4.0,2024-11-23
47,SCF,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Post,Right,Face Up,Yechiel Stewart,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,48,4.0,2024-11-23
49,SCF,RPI,Rensselaer Polytechnic,2pmi,To Basket,Yechiel Stewart,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,50,1.0,2024-11-23
