index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,VC,RPI,Vassar Brewers,2pMa,To Basket,Nathan Denham,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-17
1,VC,RPI,Rensselaer Polytechnic,2pmi,N/A,Andrew Deppe,Post,Left,Face Up,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-17
2,VC,RPI,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-17
3,VC,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-17
4,VC,RPI,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,PNR,Left,Off,Nathan Denham,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,5,1.0,2025-01-17
7,VC,RPI,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-17
8,VC,RPI,Rensselaer Polytechnic,Turnover,N/A,Chuck Clemons,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2025-01-17
9,VC,RPI,Vassar Brewers,2pmi,Dribble Jumper,Avery Lee,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,2.0,2025-01-17
10,VC,RPI,Rensselaer Polytechnic,2pmi,To Basket,Avery Eugster,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-17
11,VC,RPI,Vassar Brewers,Turnover,N/A,Avery Lee,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-17
12,VC,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-17
14,VC,RPI,Rensselaer Polytechnic,Turnover,N/A,Dylan Matchett,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025-01-17
15,VC,RPI,Vassar Brewers,3pMa,No Dribble Jumper,Avery Lee,PNR,Left,Away,Shea Fitzgerald,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,16,4.0,2025-01-17
17,VC,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Chuck Clemons,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,2.0,2025-01-17
18,VC,RPI,Vassar Brewers,2pmi,To Basket,Shea Fitzgerald,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2025-01-17
