index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,BRO,RIT,Brockport Golden Eagles,2pMa,To Basket,Alex Tavarez,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,1,1.0,2024-12-03
1,BRO,RIT,Rochester Institute of Technology Tigers,2pMa,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,2,3.0,2024-12-03
2,BRO,RIT,Brockport Golden Eagles,2pmi,Dribble Jumper,Tony Arnold,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,3,2.0,2024-12-03
3,BRO,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,4,1.0,2024-12-03
4,BRO,RIT,Brockport Golden Eagles,3pMa,No Dribble Jumper,Zachary Rice,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Empire 8,Liberty League,5,4.0,2024-12-03
6,BRO,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,7,4.0,2024-12-03
7,BRO,RIT,Brockport Golden Eagles,2pmi,To Basket,Tony Arnold,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,8,1.0,2024-12-03
8,BRO,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Matt Caggiano,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Empire 8,Liberty League,9,4.0,2024-12-03
11,BRO,RIT,Brockport Golden Eagles,2pmi,To Basket,Adewale Fasanmi,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,12,1.0,2024-12-03
13,BRO,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,14,1.0,2024-12-03
14,BRO,RIT,Brockport Golden Eagles,2pMa,Dribble Jumper,Tony Arnold,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,15,3.0,2024-12-03
15,BRO,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,16,4.0,2024-12-03
16,BRO,RIT,Brockport Golden Eagles,2pmi,To Basket,Colby Jordan,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,17,1.0,2024-12-03
17,BRO,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,18,1.0,2024-12-03
18,BRO,RIT,Brockport Golden Eagles,3pmi,Dribble Jumper,Zachary Rice,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,19,4.0,2024-12-03
19,BRO,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Nolan Smih,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,20,1.0,2024-12-03
20,BRO,RIT,Brockport Golden Eagles,3pmi,No Dribble Jumper,Alex Tavarez,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,21,4.0,2024-12-03
21,BRO,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,Iso,Right,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,22,2.0,2024-12-03
22,BRO,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,23,1.0,2024-12-03
24,BRO,RIT,Brockport Golden Eagles,2pmi,To Basket,Colby Jordan,PNR,Left,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,25,1.0,2024-12-03
25,BRO,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,26,1.0,2024-12-03
28,BRO,RIT,Brockport Golden Eagles,2pmi,Dribble Jumper,Tony Arnold,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,29,3.0,2024-12-03
29,BRO,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,30,4.0,2024-12-03
30,BRO,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,31,1.0,2024-12-03
33,BRO,RIT,Brockport Golden Eagles,Foul,Drop Step,Christian Amica,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,34,1.0,2024-12-03
