index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SGK,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,1,1.0,2025-01-03
1,SGK,RIT,SUNY Geneseo Knights,2pmi,To Basket,Robert Perocolosi,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,2,1.0,2025-01-03
2,SGK,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Empire 8,Liberty League,3,1.0,2025-01-03
3,SGK,RIT,SUNY Geneseo Knights,3pMa,No Dribble Jumper,James Burton,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,4,4.0,2025-01-03
4,SGK,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,5,1.0,2025-01-03
7,SGK,RIT,SUNY Geneseo Knights,2pMa,N/A,Colin Gentile,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,8,1.0,2025-01-03
8,SGK,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Matt Caggiano,PNR,High,Off,Brock Bowen,Spot Ups,Left,Drive,Empire 8,Liberty League,9,4.0,2025-01-03
9,SGK,RIT,SUNY Geneseo Knights,3pMa,No Dribble Jumper,Colin Gentile,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,10,4.0,2025-01-03
10,SGK,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,Iso,Top,N/A,Brock Bowen,Spot Ups,N/A,Shot,Empire 8,Liberty League,11,4.0,2025-01-03
11,SGK,RIT,SUNY Geneseo Knights,3pmi,No Dribble Jumper,Sebastian Pacheco,Iso,Top,N/A,Colin Gentile,Spot Ups,N/A,Shot,Empire 8,Liberty League,12,4.0,2025-01-03
13,SGK,RIT,SUNY Geneseo Knights,2pmi,To Basket,Colin Gentile,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,14,1.0,2025-01-03
14,SGK,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brock Bowen,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Empire 8,Liberty League,15,1.0,2025-01-03
16,SGK,RIT,SUNY Geneseo Knights,2pmi,No Dribble Jumper,Robert Perocolosi,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,17,2.0,2025-01-03
17,SGK,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,18,1.0,2025-01-03
18,SGK,RIT,SUNY Geneseo Knights,3pMa,No Dribble Jumper,Sebastian Pacheco,PNR,High,Off,James Burton,P&R Roll Man,N/A,Pop,Empire 8,Liberty League,19,4.0,2025-01-03
19,SGK,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll,Empire 8,Liberty League,20,1.0,2025-01-03
21,SGK,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Luke Granto,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,22,4.0,2025-01-03
22,SGK,RIT,SUNY Geneseo Knights,Foul,To Basket,Sebastian Pacheco,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,23,1.0,2025-01-03
25,SGK,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Nolan Smih,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Empire 8,Liberty League,26,1.0,2025-01-03
26,SGK,RIT,SUNY Geneseo Knights,Turnover,N/A,Sebastian Pacheco,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,27,1.0,2025-01-03
27,SGK,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Nolan Smih,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,28,4.0,2025-01-03
28,SGK,RIT,SUNY Geneseo Knights,3pMa,No Dribble Jumper,Sebastian Pacheco,Iso,Right,N/A,Robert Perocolosi,Spot Ups,N/A,Shot,Empire 8,Liberty League,29,4.0,2025-01-03
29,SGK,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,Left,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,30,1.0,2025-01-03
30,SGK,RIT,SUNY Geneseo Knights,Foul,To Basket,Justin Yearwood,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Empire 8,Liberty League,31,1.0,2025-01-03
33,SGK,RIT,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brock Bowen,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,34,4.0,2025-01-03
34,SGK,RIT,SUNY Geneseo Knights,2pMa,Dribble Jumper,Jackson Casey,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,35,2.0,2025-01-03
35,SGK,RIT,Rochester Institute of Technology Tigers,2pMa,N/A,Josiah Turner,Post,Left,Face Up,N/A,N/A,N/A,N/A,Empire 8,Liberty League,36,1.0,2025-01-03
36,SGK,RIT,SUNY Geneseo Knights,2pMa,To Basket,Sebastian Pacheco,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,37,1.0,2025-01-03
37,SGK,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,38,1.0,2025-01-03
