index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brody Brown,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-18
1,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,4.0,2025-01-18
2,VC,RIT,Rochester Institute of Technology Tigers,2pmi,N/A,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-18
3,VC,RIT,Vassar Brewers,2pMa,Dribble Jumper,Avery Lee,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,2.0,2025-01-18
4,VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,Right,Off,Brock Bowen,Spot Ups,Left,Drive,Liberty League,Liberty League,5,1.0,2025-01-18
5,VC,RIT,Vassar Brewers,Turnover,N/A,Sebastian Medina,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-18
6,VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,4.0,2025-01-18
7,VC,RIT,Vassar Brewers,2pmi,To Basket,Avery Lee,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-18
8,VC,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2025-01-18
9,VC,RIT,Vassar Brewers,2pMa,To Basket,Avery Lee,PNR,Right,Off,Nathan Denham,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,10,1.0,2025-01-18
10,VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,High,Off,Josiah Turner,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,11,1.0,2025-01-18
11,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Alex Walters,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,4.0,2025-01-18
12,VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-18
13,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Alex Walters,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,4.0,2025-01-18
14,VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025-01-18
15,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Alex Walters,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,4.0,2025-01-18
16,VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-18
17,VC,RIT,Vassar Brewers,Turnover,N/A,Nathan Denham,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-18
18,VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2025-01-18
19,VC,RIT,Vassar Brewers,Foul,To Basket,Avery Lee,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,1.0,2025-01-18
22,VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,4.0,2025-01-18
23,VC,RIT,Vassar Brewers,2pmi,Dribble Jumper,Luke Adams,PNR,Left,Off,Eric Zhang,Spot Ups,Right,Drive,Liberty League,Liberty League,24,2.0,2025-01-18
24,VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,4.0,2025-01-18
25,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Luke Adams,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,4.0,2025-01-18
26,VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Luke Granto,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2025-01-18
27,VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Luke Adams,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,4.0,2025-01-18
29,VC,RIT,Vassar Brewers,2pmi,To Basket,Shea Fitzgerald,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2025-01-18
