index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,IC,RU,Rowan University,2pmi,To Basket,Danny Fleming,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,1,1.0,2024-11-09
1,IC,RU,Ithaca College,2pMa,To Basket,Evan Cabral,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,2,1.0,2024-11-09
2,IC,RU,Rowan University,3pMa,No Dribble Jumper,Brycen Williams,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,3,4.0,2024-11-09
3,IC,RU,Ithaca College,2pMa,To Basket,Chris Leysath,Post,Right,N/A,Jaylon O'Neal,Cuts,N/A,Basket,Liberty League,UNKNOWN,4,1.0,2024-11-09
4,IC,RU,Rowan University,2pMa,To Basket,Tyrese Myrick,Iso,Left,N/A,Danny Fleming,Cuts,N/A,Flash,Liberty League,UNKNOWN,5,1.0,2024-11-09
5,IC,RU,Ithaca College,Turnover,N/A,Chris Leysath,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,6,1.0,2024-11-09
6,IC,RU,Rowan University,2pMa,Dribble Jumper,Brycen Williams,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,3.0,2024-11-09
7,IC,RU,Ithaca College,Foul,To Basket,Evan Cabral,PNR,High,Off,Logan Wendell,Cuts,N/A,Flash,Liberty League,UNKNOWN,8,1.0,2024-11-09
10,IC,RU,Rowan University,Turnover,N/A,Brycen Williams,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,11,1.0,2024-11-09
11,IC,RU,Ithaca College,2pMa,To Basket,Jaylon O'Neal,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,1.0,2024-11-09
12,IC,RU,Rowan University,2pMa,To Basket,Danny Fleming,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,13,1.0,2024-11-09
