Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SLS,SUP,St. Lawrence Saints,3pmi,Dribble Jumper,Daimarr Miller,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,4.0,2025
SLS,SUP,SUNY Polytechnic Wildcats,3pmi,No Dribble Jumper,Aiden Macaulay,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,4.0,2025
SLS,SUP,SUNY Polytechnic Wildcats,Turnover,N/A,Aiden Macaulay,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,1.0,2025
SLS,SUP,St. Lawrence Saints,2pmi,To Basket,Cheickne Toure,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,1.0,2025
SLS,SUP,St. Lawrence Saints,Turnover,N/A,Daimarr Miller,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,6,1.0,2025
SLS,SUP,SUNY Polytechnic Wildcats,2pMa,To Basket,Gavin Macaulay,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,1.0,2025
SLS,SUP,St. Lawrence Saints,3pmi,No Dribble Jumper,Daimarr Miller,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,8,4.0,2025
SLS,SUP,SUNY Polytechnic Wildcats,Turnover,N/A,Andrew Cowan,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,1.0,2025
SLS,SUP,St. Lawrence Saints,2pMa,To Basket,Jackson Casey,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,1.0,2025
SLS,SUP,SUNY Polytechnic Wildcats,2pMa,N/A,Adam Dudzinski,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,12,1.0,2025
