index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RPI,SCD,Rensselaer Polytechnic,And1,To Basket,Chuck Clemons,PNR,High,N/A,Andrew Deppe,P&R Roll Man,N/A,Slips,Liberty League,SUNYAC,1,1.0,2024-11-08
2,RPI,SCD,SUNY Cortland Dragons,2pMa,Dribble Jumper,Isaiah Austin,PNR,High,Off,Kendall Arcuri,P&R Roll Man,N/A,Slips,Liberty League,SUNYAC,3,3.0,2024-11-08
3,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Avery Eugster,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,4,4.0,2024-11-08
4,RPI,SCD,SUNY Cortland Dragons,2pmi,Dribble Jumper,Joel Davis,Post,Right,Dribble,Isaiah Austin,Spot Ups,Left,Drive,Liberty League,SUNYAC,5,2.0,2024-11-08
5,RPI,SCD,Rensselaer Polytechnic,2pMa,Hook Shot,Avery Eugster,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,6,1.0,2024-11-08
6,RPI,SCD,SUNY Cortland Dragons,3pMa,No Dribble Jumper,Kendall Arcuri,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,7,4.0,2024-11-08
7,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,PNR,High,Off,Dylan Matchett,Spot Ups,N/A,Shot,Liberty League,SUNYAC,8,4.0,2024-11-08
8,RPI,SCD,SUNY Cortland Dragons,2pmi,To Basket,Joel Davis,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,9,1.0,2024-11-08
9,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,10,4.0,2024-11-08
10,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Jaylen Warmack,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,11,1.0,2024-11-08
11,RPI,SCD,Rensselaer Polytechnic,Foul,To Basket,Andrew Deppe,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,12,1.0,2024-11-08
14,RPI,SCD,SUNY Cortland Dragons,3pmi,Dribble Jumper,Isaiah Austin,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,15,4.0,2024-11-08
15,RPI,SCD,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Andrew Deppe,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,16,4.0,2024-11-08
17,RPI,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,Kendall Arcuri,PNR,High,Off,Aaron Coston,P&R Roll Man,N/A,Pop,Liberty League,SUNYAC,18,4.0,2024-11-08
19,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Kendall Arcuri,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,20,1.0,2024-11-08
20,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,21,4.0,2024-11-08
22,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,PNR,Left,N/A,Dylan Matchett,Spot Ups,N/A,Shot,Liberty League,SUNYAC,23,4.0,2024-11-08
23,RPI,SCD,SUNY Cortland Dragons,3pmi,Dribble Jumper,Jaylen Warmack,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,24,4.0,2024-11-08
24,RPI,SCD,Rensselaer Polytechnic,3pMa,Dribble Jumper,Chuck Clemons,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,25,4.0,2024-11-08
25,RPI,SCD,SUNY Cortland Dragons,3pMa,No Dribble Jumper,Gaige Armbrewster,PNR,Left,Off,Kendall Arcuri,Spot Ups,N/A,Shot,Liberty League,SUNYAC,26,4.0,2024-11-08
26,RPI,SCD,Rensselaer Polytechnic,Foul,To Basket,Pat White,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,27,1.0,2024-11-08
29,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Kendall Arcuri,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,30,1.0,2024-11-08
30,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,31,4.0,2024-11-08
32,RPI,SCD,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Pat White,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,33,4.0,2024-11-08
33,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Gerrad Beaubrun,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,34,1.0,2024-11-08
34,RPI,SCD,Rensselaer Polytechnic,Turnover,N/A,Nate Tawiah-Boateng,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,35,1.0,2024-11-08
35,RPI,SCD,SUNY Cortland Dragons,2pmi,Dribble Jumper,Jaylen Warmack,PNR,Right,Away,Aaron Coston,P&R Roll Man,Left,Pop,Liberty League,SUNYAC,36,2.0,2024-11-08
37,RPI,SCD,SUNY Cortland Dragons,And1,No Dribble Jumper,Gerrad Beaubrun,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,38,4.0,2024-11-08
39,RPI,SCD,Rensselaer Polytechnic,Turnover,N/A,Avery Eugster,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,40,1.0,2024-11-08
40,RPI,SCD,SUNY Cortland Dragons,2pMa,To Basket,Jaylen Warmack,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,41,1.0,2024-11-08
41,RPI,SCD,Rensselaer Polytechnic,Turnover,N/A,Dylan Matchett,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,42,1.0,2024-11-08
42,RPI,SCD,SUNY Cortland Dragons,2pmi,To Basket,Aaron Coston,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,43,1.0,2024-11-08
46,RPI,SCD,Rensselaer Polytechnic,2pMa,To Basket,Pat White,PNR,High,N/A,Nate Tawiah-Boateng,P&R Roll Man,N/A,Slips,Liberty League,SUNYAC,47,1.0,2024-11-08
47,RPI,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,TayShaun Hawkins,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,48,4.0,2024-11-08
48,RPI,SCD,Rensselaer Polytechnic,Foul,To Basket,Yechiel Stewart,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,49,1.0,2024-11-08
51,RPI,SCD,SUNY Cortland Dragons,2pmi,To Basket,Joel Davis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,52,1.0,2024-11-08
53,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,TayShaun Hawkins,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,54,1.0,2024-11-08
54,RPI,SCD,Rensselaer Polytechnic,Foul,To Basket,Pat White,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,55,1.0,2024-11-08
57,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Gaige Armbrewster,PNR,High,Off,TayShaun Hawkins,Spot Ups,N/A,N/A,Liberty League,SUNYAC,58,1.0,2024-11-08
58,RPI,SCD,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,59,1.0,2024-11-08
59,RPI,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,Pierre Hajjar,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,60,4.0,2024-11-08
60,RPI,SCD,Rensselaer Polytechnic,And1,To Basket,Nate Tawiah-Boateng,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,61,1.0,2024-11-08
62,RPI,SCD,SUNY Cortland Dragons,Turnover,N/A,Joel Davis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,63,1.0,2024-11-08
63,RPI,SCD,Rensselaer Polytechnic,2pmi,To Basket,Yechiel Stewart,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,64,1.0,2024-11-08
65,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,PJ Scalisi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,66,4.0,2024-11-08
67,RPI,SCD,Rensselaer Polytechnic,2pMa,To Basket,PJ Scalisi,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,68,1.0,2024-11-08
68,RPI,SCD,SUNY Cortland Dragons,2pmi,Dribble Jumper,Isaiah Austin,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,69,3.0,2024-11-08
70,RPI,SCD,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Yechiel Stewart,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,71,4.0,2024-11-08
71,RPI,SCD,SUNY Cortland Dragons,3pMa,No Dribble Jumper,Pierre Hajjar,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,72,4.0,2024-11-08
72,RPI,SCD,Rensselaer Polytechnic,Turnover,N/A,Yechiel Stewart,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,73,1.0,2024-11-08
73,RPI,SCD,SUNY Cortland Dragons,2pMa,To Basket,Joel Davis,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,74,1.0,2024-11-08
74,RPI,SCD,Rensselaer Polytechnic,Turnover,N/A,Chuck Clemons,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,75,1.0,2024-11-08
