Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
CU,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Aidan Roy,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,3.0,2025
CU,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,PNR,High,Off,Hakeem Daphnis,Spot Ups,N/A,Shot,Liberty League,Liberty League,3,4.0,2025
CU,SKD,Clarkson University Golden Knights,2pmi,Dribble Jumper,Braeden Burns,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,2.0,2025
CU,SKD,Skidmore Thoroughbreds,Turnover,N/A,Charlie Fantom,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2025
CU,SKD,Clarkson University Golden Knights,3pMa,Dribble Jumper,Lorenzo Rappa,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,4.0,2025
CU,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Alexei Downie,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,1.0,2025
CU,SKD,,Foul,To Basket,Braeden Burns,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025
CU,SKD,Skidmore Thoroughbreds,2pmi,No Dribble Jumper,Alexei Downie,Post,Middle,N/A,Joey Skoric,Spot Ups,N/A,Shot,Liberty League,Liberty League,11,3.0,2025
CU,SKD,Clarkson University Golden Knights,2pMa,To Basket,Steve DeRegis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025
CU,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025
CU,SKD,Clarkson University Golden Knights,3pmi,Dribble Jumper,Braeden Burns,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,4.0,2025
CU,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Alexei Downie,Post,Left,Dribble,Joey Skoric,Cuts,N/A,Basket,Liberty League,Liberty League,15,1.0,2025
CU,SKD,Clarkson University Golden Knights,2pmi,To Basket,Finn Cork,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2025
CU,SKD,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Braeden Burns,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,4.0,2025
CU,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Charlie Fantom,PNR,Right,Off,Aidan Roy,P&R Roll Man,Left,Pop,Liberty League,Liberty League,19,2.0,2025
CU,SKD,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,4.0,2025
CU,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Hakeem Daphnis,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,4.0,2025
CU,SKD,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,4.0,2025
CU,SKD,Clarkson University Golden Knights,3pmi,Dribble Jumper,Jack Dalgety,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,4.0,2025
