Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
PSC,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,Iso,Top,N/A,Charlie Fantom,Spot Ups,N/A,Shot,SUNYAC,Liberty League,1,4.0,2025
PSC,SKD,Plattsburgh State Cardinals,2pmi,Dribble Jumper,Franklin Infante,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,2,2.0,2025
PSC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Aidan Roy,PNR,Right,Off,Charlie Fantom,Spot Ups,Right,Drive,SUNYAC,Liberty League,3,1.0,2025
PSC,SKD,Plattsburgh State Cardinals,2pMa,To Basket,Ikechukwu Ezike,Misc,N/A,N/A,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,4,1.0,2025
PSC,SKD,Skidmore Thoroughbreds,Turnover,To Basket,Alexei Downie,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,5,1.0,2025
PSC,SKD,Plattsburgh State Cardinals,2pmi,Dribble Jumper,Kevin Tabb,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,6,3.0,2025
PSC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Aidan Roy,PNR,High,Off,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,9,1.0,2025
PSC,SKD,Plattsburgh State Cardinals,3pmi,Dribble Jumper,Ikechukwu Ezike,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,10,4.0,2025
PSC,SKD,Plattsburgh State Cardinals,2pmi,To Basket,Jeremiah Smith,Iso,Right,N/A,Franklin Infante,Cuts,N/A,Basket,SUNYAC,Liberty League,12,1.0,2025
PSC,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Hakeem Daphnis,PNR,Right,Off,Charlie Fantom,Spot Ups,Left,Drive,SUNYAC,Liberty League,13,3.0,2025
PSC,SKD,Plattsburgh State Cardinals,2pMa,To Basket,Ladan Graves,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,14,1.0,2025
PSC,SKD,Plattsburgh State Cardinals,3pmi,No Dribble Jumper,Kevin Tabb,PNR,High,Off,Ladan Graves,P&R Roll Man,N/A,Pop,SUNYAC,Liberty League,17,4.0,2025
PSC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Alexei Downie,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,18,1.0,2025
PSC,SKD,Plattsburgh State Cardinals,Turnover,N/A,Jeremiah Smith,Off Screens,Left,Curl,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,19,1.0,2025
PSC,SKD,Skidmore Thoroughbreds,2pmi,No Dribble Jumper,Alexei Downie,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,20,3.0,2025
PSC,SKD,Plattsburgh State Cardinals,3pMa,Dribble Jumper,Ikechukwu Ezike,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,SUNYAC,Liberty League,21,4.0,2025
PSC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Aidan Roy,PNR,High,Off,Charlie Fantom,Spot Ups,Left,Drive,SUNYAC,Liberty League,22,1.0,2025
