index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,PPC,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,4.0,2025-01-04
1,PPC,SKD,Pomona-Pitzer Saghens,2pMa,To Basket,Peyton Mullarkey,PNR,High,N/A,Pete Boyle,Cuts,N/A,Basket,UNKNOWN,Liberty League,2,1.0,2025-01-04
2,PPC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Alexei Downie,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,3,1.0,2025-01-04
3,PPC,SKD,Pomona-Pitzer Saghens,3pmi,No Dribble Jumper,Peyton Mullarkey,PNR,Left,Off,Pete Boyle,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,4,4.0,2025-01-04
4,PPC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Charlie Fantom,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,5,1.0,2025-01-04
5,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Lind Sam,Hand Offs,Right,Stationary,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,6,1.0,2025-01-04
6,PPC,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Alexei Downie,Post,Right,N/A,Charlie Fantom,Spot Ups,Left,Drive,UNKNOWN,Liberty League,7,3.0,2025-01-04
7,PPC,SKD,Pomona-Pitzer Saghens,3pMa,No Dribble Jumper,Peyton Mullarkey,PNR,Right,Off,Lind Sam,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,8,4.0,2025-01-04
8,PPC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Aidan Roy,Iso,Right,N/A,Joey Skoric,Spot Ups,Left,Drive,UNKNOWN,Liberty League,9,1.0,2025-01-04
9,PPC,SKD,Pomona-Pitzer Saghens,3pMa,No Dribble Jumper,Peyton Mullarkey,PNR,High,Off,Pete Boyle,P&R Roll Man,N/A,Pop,UNKNOWN,Liberty League,10,4.0,2025-01-04
10,PPC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Charlie Fantom,PNR,High,Away,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,1.0,2025-01-04
11,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Ty Bergman,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,12,1.0,2025-01-04
12,PPC,SKD,Skidmore Thoroughbreds,2pMa,Dribble Jumper,Hakeem Daphnis,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,13,3.0,2025-01-04
13,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Pete Boyle,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,14,1.0,2025-01-04
14,PPC,SKD,Pomona-Pitzer Saghens,2pMa,To Basket,Ty Bergman,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,1.0,2025-01-04
15,PPC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Aidan Roy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,16,1.0,2025-01-04
16,PPC,SKD,Pomona-Pitzer Saghens,3pmi,No Dribble Jumper,Peyton Mullarkey,PNR,High,Off,Ty Bergman,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,17,4.0,2025-01-04
17,PPC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Alexei Downie,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,18,1.0,2025-01-04
19,PPC,SKD,Pomona-Pitzer Saghens,3pmi,No Dribble Jumper,Samir Obrien,PNR,High,Off,Matthew Diekmann,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,20,4.0,2025-01-04
20,PPC,SKD,Skidmore Thoroughbreds,3pmi,Dribble Jumper,Charlie Fantom,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,21,4.0,2025-01-04
21,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Joe Cookson,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,22,1.0,2025-01-04
22,PPC,SKD,Pomona-Pitzer Saghens,2pMa,Hook Shot,Ty Bergman,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,23,1.0,2025-01-04
23,PPC,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Jake Walsh,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,24,3.0,2025-01-04
25,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Samir Obrien,PNR,Right,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,26,1.0,2025-01-04
28,PPC,SKD,Pomona-Pitzer Saghens,2pmi,Dribble Jumper,Matthew Diekmann,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,29,3.0,2025-01-04
29,PPC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Nick Padilla,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,30,1.0,2025-01-04
30,PPC,SKD,Pomona-Pitzer Saghens,3pmi,Dribble Jumper,Peyton Mullarkey,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,31,4.0,2025-01-04
31,PPC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Nick Padilla,PNR,High,Off,Jack LaGarde,P&R Roll Man,N/A,Roll,UNKNOWN,Liberty League,32,1.0,2025-01-04
32,PPC,SKD,Pomona-Pitzer Saghens,3pMa,No Dribble Jumper,Owen Avdalovic,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,33,4.0,2025-01-04
33,PPC,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Fumani Sithole,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,34,4.0,2025-01-04
34,PPC,SKD,Pomona-Pitzer Saghens,3pmi,No Dribble Jumper,Owen Avdalovic,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,35,4.0,2025-01-04
35,PPC,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Nick Padilla,PNR,High,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,36,3.0,2025-01-04
36,PPC,SKD,Pomona-Pitzer Saghens,3pmi,No Dribble Jumper,Peyton Mullarkey,PNR,Left,Off,Owen Avdalovic,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,37,4.0,2025-01-04
38,PPC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Nick Padilla,PNR,High,Off,Jack LaGarde,P&R Roll Man,N/A,Roll,UNKNOWN,Liberty League,39,1.0,2025-01-04
39,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Pete Boyle,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,40,1.0,2025-01-04
40,PPC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Harry Luo,PNR,Left,Off,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,41,1.0,2025-01-04
41,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Matthew Diekmann,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,42,1.0,2025-01-04
43,PPC,SKD,Pomona-Pitzer Saghens,2pmi,To Basket,Peyton Mullarkey,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,44,1.0,2025-01-04
44,PPC,SKD,Pomona-Pitzer Saghens,2pmi,N/A,Joe Cookson,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,45,1.0,2025-01-04
45,PPC,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Hakeem Daphnis,PNR,High,Off,Nick Padilla,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,46,4.0,2025-01-04
46,PPC,SKD,Pomona-Pitzer Saghens,3pmi,Dribble Jumper,Peyton Mullarkey,PNR,High,Off,Joe Cookson,Spot Ups,Straight,Drive,UNKNOWN,Liberty League,47,4.0,2025-01-04
48,PPC,SKD,Pomona-Pitzer Saghens,3pMa,No Dribble Jumper,Joe Cookson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,49,4.0,2025-01-04
49,PPC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Alexei Downie,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,50,1.0,2025-01-04
