Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,4.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Aiden Macaulay,PNR,Right,Off,Gavin Macaulay,Spot Ups,N/A,Shot,Liberty League,Liberty League,2,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,Dribble Jumper,Gavin Macaulay,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,2.0,2025
SLS,SKD,St. Lawrence Saints,3pMa,No Dribble Jumper,Gavin Macaulay,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Joey Skoric,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,1.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Gavin Macaulay,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,4.0,2025
SLS,SKD,St. Lawrence Saints,2pMa,Dribble Jumper,Adam Dudzinski,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,3.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Aidan Roy,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Andrew Cowan,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Hakeem Daphnis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,N/A,Adam Dudzinski,Post,Right,Face Up,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,Dribble Jumper,Aidan Roy,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,4.0,2025
SLS,SKD,St. Lawrence Saints,Foul,To Basket,Gavin Macaulay,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,4.0,2025
SLS,SKD,St. Lawrence Saints,3pMa,No Dribble Jumper,Adam Dudzinski,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Joey Skoric,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,1.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Gavin Macaulay,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Chris Downs Jr.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,Dribble Jumper,Hakeem Daphnis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Hakeem Daphnis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Joey Skoric,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2025
SLS,SKD,St. Lawrence Saints,3pMa,No Dribble Jumper,Gavin Macaulay,PNR,Right,Off,Troy McPherson,Spot Ups,N/A,Shot,Liberty League,Liberty League,31,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Alexei Downie,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,1.0,2025
SLS,SKD,St. Lawrence Saints,2pMa,No Dribble Jumper,Dan Anderson,Iso,Top,N/A,Chris Downs Jr.,Spot Ups,N/A,Shot,Liberty League,Liberty League,35,3.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Joey Skoric,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,36,1.0,2025
SLS,SKD,St. Lawrence Saints,3pMa,No Dribble Jumper,Dan Anderson,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,39,4.0,2025
SLS,SKD,St. Lawrence Saints,Foul,To Basket,Alexi Twahili,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Nick Padilla,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,4.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,Dribble Jumper,Troy McPherson,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,44,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Nick Padilla,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,1.0,2025
SLS,SKD,St. Lawrence Saints,2pMa,To Basket,Troy McPherson,PNR,Left,Off,Andrew Cowan,Cuts,N/A,Basket,Liberty League,Liberty League,46,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Aidan Roy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,3.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Aidan Roy,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Aidan Roy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,1.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Andrew Cowan,Post,Right,N/A,Alexi Twahili,Spot Ups,N/A,Shot,Liberty League,Liberty League,51,4.0,2025
SLS,SKD,St. Lawrence Saints,Turnover,N/A,Troy McPherson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,52,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Nick Padilla,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,53,1.0,2025
SLS,SKD,St. Lawrence Saints,3pMa,No Dribble Jumper,Chris Downs Jr.,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Nick Padilla,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,55,4.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,Dribble Jumper,Aiden Macaulay,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,57,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Jake Walsh,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,58,1.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Dan Anderson,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,59,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Nick Padilla,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,60,1.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Dan Anderson,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,61,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Nick Padilla,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,62,1.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Dan Anderson,PNR,High,Off,Adam Dudzinski,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,63,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Joey Skoric,Transition,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,64,1.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Dan Anderson,PNR,High,Off,Chris Downs Jr.,Cuts,N/A,Flash,Liberty League,Liberty League,65,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,66,4.0,2025
SLS,SKD,St. Lawrence Saints,Turnover,To Basket,Patrick Mulholland,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,68,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,69,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,Foul,To Basket,Joey Skoric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,70,1.0,2025
SLS,SKD,St. Lawrence Saints,Turnover,To Basket,Aiden Macaulay,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,73,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Alexei Downie,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,74,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,77,4.0,2025
SLS,SKD,St. Lawrence Saints,3pmi,No Dribble Jumper,Adam Dudzinski,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,78,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Andrew Cowan,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,80,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,Turnover,N/A,Hakeem Daphnis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,81,1.0,2025
SLS,SKD,St. Lawrence Saints,2pMa,To Basket,Dan Anderson,PNR,Left,Off,Adam Dudzinski,P&R Roll Man,Left,Pop,Liberty League,Liberty League,82,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Aidan Roy,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,83,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,To Basket,Chris Downs Jr.,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,84,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,Dribble Jumper,Charlie Fantom,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,85,4.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Hakeem Daphnis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,86,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,Dribble Jumper,Troy McPherson,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,87,2.0,2025
SLS,SKD,St. Lawrence Saints,2pMa,To Basket,Chris Downs Jr.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,88,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,No Dribble Jumper,Joey Skoric,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,89,3.0,2025
SLS,SKD,St. Lawrence Saints,Foul,N/A,Gavin Macaulay,PNR,High,Off,Adam Dudzinski,Spot Ups,Right,Drive,Liberty League,Liberty League,90,1.0,2025
SLS,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Hakeem Daphnis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,95,3.0,2025
SLS,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Charlie Fantom,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,97,4.0,2025
SLS,SKD,St. Lawrence Saints,2pmi,N/A,Andrew Cowan,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,98,1.0,2025
